Time_recorded,METAR
2026-05-02 15:35:00,METAR KSSI 021535Z AUTO 01007KT 2SM VCTS RA BR SCT006 BKN018 OVC025 18/18 A2981 RMK AO2 LTG DSNT SW
2026-05-02 15:15:00,METAR KSSI 021515Z AUTO 02008G13KT 3SM -RA BR SCT005 BKN009 BKN013 18/18 A2983 RMK AO2
2026-05-02 14:55:00,METAR KSSI 021455Z AUTO VRB03KT 5SM -RA BR SCT006 BKN009 OVC019 18/18 A2982 RMK AO2
2026-05-02 14:35:00,METAR KSSI 021435Z AUTO 36007KT 3SM -RA BR SCT004 SCT019 18/18 A2983 RMK AO2 LTG DSNT SW
2026-05-02 14:15:00,METAR KSSI 021415Z AUTO 03005KT 4SM -RA BR FEW005 FEW017 SCT028 18/17 A2984 RMK AO2
2026-05-02 13:55:00,METAR KSSI 021355Z AUTO 01003KT 3SM -RA BR FEW005 SCT017 BKN024 18/17 A2986 RMK AO2
2026-05-02 13:35:00,METAR KSSI 021335Z AUTO 35004KT 4SM -RA BR SCT007 SCT010 OVC017 18/17 A2986 RMK AO2
2026-05-02 12:55:00,METAR KSSI 021255Z AUTO 32006KT 1 3/4SM VCTS RA BR SCT003 BKN007 OVC012 18/17 A2985 RMK AO2 LTG DSNT NE AND SW AND NW
2026-05-02 12:35:00,METAR KSSI 021235Z AUTO 32006KT 10SM BKN010 OVC016 19/17 A2983 RMK AO2
2026-05-02 12:15:00,METAR KSSI 021215Z AUTO 31008KT 10SM BKN012 OVC023 19/17 A2982 RMK AO2
2026-05-02 11:55:00,METAR KSSI 021155Z AUTO 29006KT 10SM FEW013 OVC025 19/17 A2983 RMK AO2
2026-05-02 11:35:00,METAR KSSI 021135Z AUTO 00000KT 10SM OVC025 19/16 A2981 RMK AO2
2026-05-02 11:15:00,METAR KSSI 021115Z AUTO 00000KT 10SM OVC027 19/16 A2981 RMK AO2
2026-05-02 10:55:00,METAR KSSI 021055Z AUTO 00000KT 10SM SCT028 OVC038 18/16 A2979 RMK AO2
2026-05-02 10:35:00,METAR KSSI 021035Z AUTO 00000KT 10SM OVC036 18/16 A2978 RMK AO2
2026-05-02 10:15:00,METAR KSSI 021015Z AUTO 36005KT 10SM FEW030 OVC037 18/16 A2978 RMK AO2
2026-05-02 09:55:00,METAR KSSI 020955Z AUTO 35006KT 10SM BKN039 BKN049 18/16 A2979 RMK AO2
2026-05-02 09:35:00,METAR KSSI 020935Z AUTO 33005KT 10SM FEW041 SCT049 18/16 A2979 RMK AO2
2026-05-02 09:15:00,METAR KSSI 020915Z AUTO 35005KT 10SM FEW028 BKN041 BKN090 18/15 A2978 RMK AO2
2026-05-02 08:55:00,METAR KSSI 020855Z AUTO 35008KT 10SM FEW015 SCT028 OVC037 18/15 A2980 RMK AO2
2026-05-02 08:35:00,METAR KSSI 020835Z AUTO 32006KT 10SM OVC036 18/15 A2983 RMK AO2
2026-05-02 08:15:00,METAR KSSI 020815Z AUTO 34005KT 10SM OVC038 18/15 A2982 RMK AO2
