Time_recorded,METAR
2026-05-02 15:00:00,METAR TVSA 021500Z 05008KT 9999 FEW024 31/22 Q1015 NOSIG 
2026-05-02 14:00:00,METAR TVSA 021400Z 06006KT 9999 FEW024 30/21 Q1016 NOSIG 
2026-05-02 13:00:00,METAR TVSA 021300Z 07006KT 9999 FEW024 29/21 Q1016 NOSIG 
2026-05-02 12:00:00,METAR TVSA 021200Z 07006KT 9999 FEW020 29/22 Q1015 NOSIG 
2026-05-02 11:00:00,METAR TVSA 021100Z 08008KT 9999 SCT020 28/22 Q1014 NOSIG 
2026-05-02 10:00:00,METAR TVSA 021000Z 06006KT 9999 SCT018 26/22 Q1013 NOSIG 
2026-05-01 23:00:00,METAR TVSA 012300Z 09003KT 9999 -SHRA VCSH BKN018 27/23 Q1012 TEMPO SHRA 
2026-05-01 22:25:00,SPECI TVSA 012225Z 04005KT 9999 FC VCSH SCT018 27/23 Q1012 
2026-05-01 22:00:00,METAR TVSA 012200Z 04006KT 9999 SCT020 27/22 Q1012 NOSIG 
2026-05-01 21:00:00,METAR TVSA 012100Z 05005KT 9999 FEW022 28/22 Q1011 NOSIG 
2026-05-01 20:00:00,METAR TVSA 012000Z 07004KT 9999 FEW022 29/22 Q1011 NOSIG 
2026-05-01 19:00:00,METAR TVSA 011900Z 05005KT 9999 FEW023 29/21 Q1012 NOSIG 
2026-05-01 18:00:00,METAR TVSA 011800Z 08004KT 9999 FEW022 30/21 Q1012 NOSIG 
2026-05-01 17:00:00,METAR TVSA 011700Z 08006KT 9999 FEW021 32/22 Q1013 NOSIG 
2026-05-01 16:00:00,METAR TVSA 011600Z 08005KT 9999 FEW021 31/21 Q1014 NOSIG 
2026-05-01 15:00:00,METAR TVSA 011500Z 06005KT 9999 FEW021 30/22 Q1014 NOSIG 
2026-05-01 14:00:00,METAR TVSA 011400Z 06007KT 9999 FEW020 30/22 Q1014 NOSIG 
2026-05-01 13:00:00,METAR TVSA 011300Z 06006KT 9999 FEW020 30/22 Q1014 NOSIG 
2026-05-01 12:00:00,METAR TVSA 011200Z 05008KT 9999 FEW020 29/21 Q1014 NOSIG 
2026-05-01 11:00:00,METAR TVSA 011100Z 05007KT 9999 FEW020 28/20 Q1013 NOSIG 
2026-05-01 10:00:00,METAR TVSA 011000Z 05005KT 9999 FEW020 26/20 Q1012 NOSIG 
2026-04-30 23:00:00,METAR TVSA 302300Z 05004KT 9999 FEW022 27/22 Q1011 NOSIG 
2026-04-30 22:00:00,METAR TVSA 302200Z 07003KT 9999 FEW022 27/21 Q1010 NOSIG 
2026-04-30 21:00:00,METAR TVSA 302100Z 08003KT 9999 FEW022 28/22 Q1010 NOSIG 
2026-04-30 20:00:00,METAR TVSA 302000Z 07004KT 9999 FEW024 29/22 Q1010 NOSIG 
2026-04-30 19:00:00,METAR TVSA 301900Z 09004KT 9999 SCT024 30/22 Q1011 NOSIG 
