Time_recorded,METAR
2026-05-02 15:52:00,METAR KTRM 021552Z AUTO 34006KT 10SM CLR 29/04 A2985 RMK AO2 SLP109 T02890044 TSNO $
2026-05-02 14:52:00,METAR KTRM 021452Z AUTO 32006KT 10SM CLR 24/08 A2984 RMK AO2 SLP108 T02440078 51014 TSNO $
2026-05-02 13:52:00,METAR KTRM 021352Z AUTO 30005KT 10SM CLR 19/08 A2983 RMK AO2 SLP114 T01890083 TSNO $
2026-05-02 12:52:00,METAR KTRM 021252Z AUTO 00000KT 10SM CLR 16/08 A2982 RMK AO2 SLP108 T01560083 TSNO
2026-05-02 11:52:00,METAR KTRM 021152Z AUTO 36005KT 10SM CLR 19/08 A2980 RMK AO2 SLP094 T01940078 10289 20167 53005 TSNO
2026-05-02 10:52:00,METAR KTRM 021052Z AUTO 35003KT 10SM CLR 22/09 A2979 RMK AO2 SLP091 T02220089 TSNO
2026-05-02 09:52:00,METAR KTRM 020952Z AUTO 35005KT 10SM CLR 23/08 A2979 RMK AO2 SLP089 T02330083 TSNO
2026-05-02 08:52:00,METAR KTRM 020852Z AUTO 33007KT 10SM CLR 25/09 A2979 RMK AO2 SLP089 T02500094 50004 TSNO
2026-05-02 07:52:00,METAR KTRM 020752Z AUTO 32007KT 10SM CLR 26/08 A2979 RMK AO2 SLP090 T02610083 403610200 TSNO
2026-05-02 06:52:00,METAR KTRM 020652Z AUTO 34009KT 10SM CLR 27/08 A2978 RMK AO2 SLP087 T02720078 TSNO
2026-05-02 05:52:00,METAR KTRM 020552Z AUTO 33011KT 10SM CLR 29/07 A2978 RMK AO2 SLP086 T02890067 10356 20267 51021 TSNO
2026-05-02 04:52:00,METAR KTRM 020452Z AUTO 32011KT 10SM CLR 30/05 A2977 RMK AO2 SLP082 T03000050 TSNO
2026-05-02 03:52:00,METAR KTRM 020352Z AUTO 31004KT 10SM CLR 30/02 A2975 RMK AO2 SLP077 T03000022 TSNO
2026-05-02 02:52:00,METAR KTRM 020252Z AUTO 26004KT 10SM CLR 30/03 A2972 RMK AO2 SLP065 T03000033 53006 TSNO
2026-05-02 01:52:00,METAR KTRM 020152Z AUTO 14005KT 10SM CLR 32/03 A2969 RMK AO2 SLP057 T03220028 TSNO
2026-05-02 00:52:00,METAR KTRM 020052Z AUTO 13008KT 10SM CLR 35/01 A2969 RMK AO2 SLP057 T03500011 TSNO
2026-05-01 23:52:00,METAR KTRM 012352Z AUTO 13007KT 10SM CLR 36/01 A2970 RMK AO2 SLP059 T03560011 10361 20283 56023 TSNO
2026-05-01 22:52:00,METAR KTRM 012252Z AUTO 16008KT 10SM CLR 36/02 A2971 RMK AO2 SLP063 T03560017 TSNO
2026-05-01 21:52:00,METAR KTRM 012152Z AUTO 15010G17KT 10SM CLR 35/06 A2974 RMK AO2 SLP073 T03500061 TSNO
2026-05-01 20:52:00,METAR KTRM 012052Z AUTO 12010KT 10SM CLR 34/08 A2977 RMK AO2 SLP082 T03390083 56023 TSNO
2026-05-01 19:52:00,METAR KTRM 011952Z AUTO 15009KT 10SM CLR 33/10 A2978 RMK AO2 SLP087 T03280100 TSNO
2026-05-01 18:52:00,METAR KTRM 011852Z AUTO VRB04KT 10SM CLR 31/09 A2981 RMK AO2 SLP098 T03060094 TSNO
2026-05-01 17:52:00,METAR KTRM 011752Z AUTO VRB04KT 10SM CLR 29/10 A2984 RMK AO2 SLP105 T02940100 10294 20200 50002 TSNO
2026-05-01 16:52:00,METAR KTRM 011652Z AUTO 00000KT 10SM CLR 26/11 A2985 RMK AO2 SLP118 T02610106 TSNO
2026-05-01 15:52:00,METAR KTRM 011552Z AUTO VRB05KT 10SM CLR 25/13 A2985 RMK AO2 SLP109 T02500133 TSNO
2026-05-01 14:52:00,METAR KTRM 011452Z AUTO 03004KT 10SM CLR 22/11 A2983 RMK AO2 SLP112 T02220111 53023 TSNO
2026-05-01 13:52:00,METAR KTRM 011352Z AUTO 34006KT 10SM CLR 21/11 A2980 RMK AO2 SLP092 T02060111 TSNO
2026-05-01 12:52:00,METAR KTRM 011252Z AUTO 33008KT 10SM CLR 20/11 A2977 RMK AO2 SLP085 T02000106 TSNO
2026-05-01 11:52:00,METAR KTRM 011152Z AUTO 32007KT 10SM CLR 21/11 A2976 RMK AO2 SLP080 T02110106 10239 20211 53009 TSNO
2026-05-01 10:52:00,METAR KTRM 011052Z AUTO 33007KT 10SM CLR 22/11 A2974 RMK AO2 SLP074 T02170106 TSNO
2026-05-01 09:52:00,METAR KTRM 010952Z AUTO 33010KT 10SM CLR 21/11 A2974 RMK AO2 SLP071 T02110106 TSNO
2026-05-01 08:52:00,METAR KTRM 010852Z AUTO 33012KT 10SM CLR 22/11 A2973 RMK AO2 SLP071 T02220106 50007 TSNO
2026-05-01 07:52:00,METAR KTRM 010752Z AUTO 32012G20KT 10SM CLR 23/10 A2974 RMK AO2 SLP072 T02280100 403610194 TSNO
2026-05-01 06:52:00,METAR KTRM 010652Z AUTO 33013G23KT 10SM CLR 24/10 A2973 RMK AO2 PK WND 33026/0633 SLP068 T02390100 TSNO
