Time_recorded,METAR
2026-05-02 15:50:00,METAR LSZH 021550Z 36004KT 320V030 CAVOK 25/08 Q1018 NOSIG
2026-05-02 15:20:00,METAR LSZH 021520Z VRB02KT 9999 FEW070 25/06 Q1018 NOSIG
2026-05-02 14:50:00,METAR LSZH 021450Z VRB03KT 9999 FEW070 25/06 Q1018 NOSIG
2026-05-02 14:20:00,METAR LSZH 021420Z 35004KT 270V040 9999 FEW070 25/06 Q1019 NOSIG
2026-05-02 13:50:00,METAR LSZH 021350Z VRB03KT 9999 FEW070 25/05 Q1019 NOSIG
2026-05-02 13:20:00,METAR LSZH 021320Z VRB03KT 9999 FEW060 25/08 Q1020 NOSIG
2026-05-02 12:50:00,METAR LSZH 021250Z VRB03KT 9999 FEW060 24/08 Q1020 NOSIG
2026-05-02 12:20:00,METAR LSZH 021220Z VRB02KT 9999 FEW060 23/08 Q1021 NOSIG
2026-05-02 11:50:00,METAR LSZH 021150Z VRB03KT 9999 FEW060 23/09 Q1021 NOSIG
2026-05-02 11:20:00,METAR LSZH 021120Z VRB02KT 9999 FEW060 22/09 Q1022 NOSIG
2026-05-02 10:50:00,METAR LSZH 021050Z VRB03KT 9999 FEW060 21/09 Q1022 NOSIG
2026-05-02 10:20:00,METAR LSZH 021020Z VRB03KT 9999 FEW060 21/08 Q1022 NOSIG
2026-05-02 09:50:00,METAR LSZH 020950Z 22005KT 190V270 CAVOK 20/08 Q1023 NOSIG
2026-05-02 09:20:00,METAR LSZH 020920Z VRB03KT CAVOK 20/08 Q1023 NOSIG
2026-05-02 08:50:00,METAR LSZH 020850Z VRB02KT CAVOK 18/08 Q1023 NOSIG
2026-05-02 08:20:00,METAR LSZH 020820Z VRB02KT CAVOK 16/07 Q1024 NOSIG
2026-05-02 07:50:00,METAR LSZH 020750Z VRB02KT CAVOK 15/07 Q1024 NOSIG
2026-05-02 07:20:00,METAR LSZH 020720Z VRB01KT CAVOK 14/05 Q1024 NOSIG
2026-05-02 06:50:00,METAR LSZH 020650Z VRB01KT CAVOK 12/06 Q1024 NOSIG
2026-05-02 06:20:00,METAR LSZH 020620Z VRB02KT CAVOK 10/05 Q1024 NOSIG
2026-05-02 05:50:00,METAR LSZH 020550Z VRB01KT CAVOK 10/05 Q1024 NOSIG
2026-05-02 05:20:00,METAR LSZH 020520Z 03002KT CAVOK 08/05 Q1024 NOSIG
2026-05-02 04:50:00,METAR LSZH 020450Z 32002KT CAVOK 05/03 Q1024 NOSIG
2026-05-02 04:20:00,METAR LSZH 020420Z VRB02KT CAVOK 05/03 Q1024 NOSIG
2026-05-02 03:50:00,METAR LSZH 020350Z VRB01KT CAVOK 05/04 Q1024 NOSIG
2026-05-02 03:20:00,METAR LSZH 020320Z AUTO VRB01KT CAVOK 05/04 Q1024 NOSIG
2026-05-02 02:50:00,METAR LSZH 020250Z AUTO VRB01KT CAVOK 05/03 Q1024 NOSIG
2026-05-02 02:20:00,METAR LSZH 020220Z AUTO VRB01KT CAVOK 05/04 Q1024 NOSIG
2026-05-02 01:50:00,METAR LSZH 020150Z AUTO VRB01KT CAVOK 06/04 Q1024 NOSIG
2026-05-02 01:20:00,METAR LSZH 020120Z AUTO VRB01KT CAVOK 06/04 Q1024 NOSIG
2026-05-02 00:50:00,METAR LSZH 020050Z AUTO VRB01KT CAVOK 07/04 Q1024 NOSIG
2026-05-02 00:20:00,METAR LSZH 020020Z AUTO 32002KT CAVOK 07/03 Q1024 NOSIG
2026-05-01 23:50:00,METAR LSZH 012350Z AUTO 34002KT CAVOK 06/03 Q1024 NOSIG
2026-05-01 23:20:00,METAR LSZH 012320Z AUTO VRB01KT CAVOK 07/03 Q1024 NOSIG
2026-05-01 22:50:00,METAR LSZH 012250Z AUTO VRB01KT CAVOK 09/04 Q1024 NOSIG
2026-05-01 22:20:00,METAR LSZH 012220Z AUTO 34003KT CAVOK 09/04 Q1024 NOSIG
2026-05-01 21:50:00,METAR LSZH 012150Z AUTO 31003KT CAVOK 09/04 Q1023 NOSIG
2026-05-01 21:20:00,METAR LSZH 012120Z VRB02KT CAVOK 10/03 Q1023 NOSIG
2026-05-01 20:50:00,METAR LSZH 012050Z VRB02KT CAVOK 12/03 Q1023 NOSIG
2026-05-01 20:20:00,METAR LSZH 012020Z VRB01KT CAVOK 11/03 Q1023 NOSIG
2026-05-01 19:50:00,METAR LSZH 011950Z 02002KT CAVOK 14/03 Q1023 NOSIG
2026-05-01 19:20:00,METAR LSZH 011920Z 01003KT 320V040 CAVOK 15/03 Q1023 NOSIG
2026-05-01 18:50:00,METAR LSZH 011850Z VRB02KT CAVOK 16/02 Q1023 NOSIG
2026-05-01 18:20:00,METAR LSZH 011820Z 08004KT 050V200 CAVOK 19/01 Q1023 NOSIG
2026-05-01 17:50:00,METAR LSZH 011750Z 07004KT 020V110 CAVOK 21/M01 Q1023 NOSIG
2026-05-01 17:20:00,METAR LSZH 011720Z 04006KT 010V080 CAVOK 21/M00 Q1023 NOSIG
2026-05-01 16:50:00,METAR LSZH 011650Z 04007KT CAVOK 21/02 Q1023 NOSIG
2026-05-01 16:20:00,METAR LSZH 011620Z 04007KT 010V070 CAVOK 21/04 Q1023 NOSIG
2026-05-01 15:50:00,METAR LSZH 011550Z 04008KT CAVOK 22/05 Q1023 NOSIG
2026-05-01 15:20:00,METAR LSZH 011520Z 06005KT 350V110 CAVOK 21/05 Q1023 NOSIG
2026-05-01 14:50:00,METAR LSZH 011450Z 05007KT 020V090 CAVOK 21/05 Q1023 NOSIG
2026-05-01 14:20:00,METAR LSZH 011420Z 04007KT 360V100 CAVOK 21/05 Q1024 NOSIG
2026-05-01 13:50:00,METAR LSZH 011350Z 06006KT 360V100 CAVOK 21/06 Q1024 NOSIG
2026-05-01 13:20:00,METAR LSZH 011320Z 05006KT 350V090 CAVOK 20/05 Q1024 NOSIG
2026-05-01 12:50:00,METAR LSZH 011250Z 05004KT 010V100 CAVOK 20/06 Q1025 NOSIG
2026-05-01 12:20:00,METAR LSZH 011220Z 04005KT 350V100 CAVOK 19/04 Q1025 NOSIG
2026-05-01 11:50:00,METAR LSZH 011150Z 05008KT 010V090 CAVOK 18/04 Q1025 NOSIG
2026-05-01 11:20:00,METAR LSZH 011120Z 05005KT 010V100 CAVOK 17/03 Q1025 NOSIG
2026-05-01 10:50:00,METAR LSZH 011050Z 05004KT 310V120 CAVOK 17/03 Q1026 NOSIG
2026-05-01 10:20:00,METAR LSZH 011020Z 05005KT 360V100 CAVOK 16/02 Q1026 NOSIG
2026-05-01 09:50:00,METAR LSZH 010950Z 02004KT 320V110 CAVOK 15/M00 Q1026 NOSIG
2026-05-01 09:20:00,METAR LSZH 010920Z 36004KT 270V060 CAVOK 14/M01 Q1026 NOSIG
2026-05-01 08:50:00,METAR LSZH 010850Z 14003KT 030V190 CAVOK 13/M01 Q1026 NOSIG
2026-05-01 08:20:00,METAR LSZH 010820Z 04005KT 360V090 CAVOK 12/M02 Q1026 NOSIG
2026-05-01 07:50:00,METAR LSZH 010750Z 04004KT 340V120 CAVOK 12/M02 Q1026 NOSIG
2026-05-01 07:20:00,METAR LSZH 010720Z 04005KT 010V090 CAVOK 10/M04 Q1026 NOSIG
2026-05-01 06:50:00,METAR LSZH 010650Z VRB02KT CAVOK 09/M04 Q1026 NOSIG
