time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:01:56,BIO,0.75,9,2,0.14,11,0,0.31,up,0.42,5,3,0.09,7,0,0.1,down,0,7,2026-05-02T21:01:56Z
2026-05-02 20:09:03,BIO,1.17,14,4,0.1,8,0,0.31,down,0.42,5,2,0.05,4,0,0.1,down,0,14,2026-05-02T19:09:03Z
2026-05-02 20:01:09,BIO,1.17,14,4,0.1,8,0,0.31,down,0.42,5,2,0.05,4,0,0.1,down,0,7,2026-05-02T19:01:09Z
2026-05-02 18:02:21,BIO,0.58,7,1,0.05,4,0,0.31,down,0.42,5,1,0.03,2,0,0.1,down,0,11,2026-05-02T17:02:21Z
2026-05-02 16:16:06,BIO,0.46,6,0,0.03,2,0,0.31,up,0.42,5,1,0.01,1,0,0.1,down,0,11,2026-05-02T15:16:06Z
2026-05-02 14:01:04,BIO,0.46,6,1,0.01,1,0,0.31,down,0.0,0,0,0.0,0,0,0.1,down,0,18,2026-05-02T13:01:04Z
2026-05-02 12:00:55,BIO,0.0,0,0,0.0,0,0,0.31,down,0.0,0,0,0.0,0,0,0.1,down,0,18,2026-05-02T11:00:55Z
2026-05-02 10:10:21,BIO,0.0,0,0,0.0,0,0,0.31,down,0.0,0,0,0.0,0,0,0.1,down,0,18,2026-05-02T09:10:21Z
2026-05-02 08:01:27,BIO,0.0,0,0,0.0,0,0,0.31,down,0.0,0,0,0.0,0,0,0.1,down,0,18,2026-05-02T07:01:27Z
2026-05-02 06:03:18,BIO,0.0,0,0,0.0,0,0,0.31,down,0.42,5,0,0.0,0,0,0.1,down,0,7,2026-05-02T05:03:18Z
2026-05-01 22:06:16,BIO,1.33,16,5,0.2,18,0,0.37,down,0.42,5,1,0.05,4,0,0.1,down,0,18,2026-05-01T21:06:16Z
2026-05-01 20:11:49,BIO,0.83,10,2,0.15,13,0,0.37,down,0.42,5,2,0.02,2,0,0.1,down,0,11,2026-05-01T19:11:49Z
2026-05-01 17:45:46,BIO,0.83,10,3,0.09,8,0,0.37,down,0.0,0,0,0.0,0,0,0.1,up,0,7,2026-05-01T16:45:46Z
2026-05-01 16:02:37,BIO,0.58,7,2,0.05,4,0,0.37,down,0.42,5,0,0.0,0,0,0.1,down,0,7,2026-05-01T15:02:37Z
2026-05-01 14:06:24,BIO,0.79,10,2,0.02,2,0,0.37,down,0.0,0,0,0.0,0,0,0.1,up,0,4,2026-05-01T13:06:24Z
2026-05-01 12:05:59,BIO,0.0,0,0,0.0,0,0,0.37,down,0.0,0,0,0.0,0,0,0.1,down,0,4,2026-05-01T11:05:59Z
2026-05-01 10:01:34,BIO,0.0,0,0,0.0,0,0,0.37,down,0.0,0,0,0.0,0,0,0.1,down,0,4,2026-05-01T09:01:34Z
2026-05-01 08:03:33,BIO,0.0,0,0,0.0,0,0,0.37,down,0.0,0,0,0.0,0,0,0.1,down,0,4,2026-05-01T07:03:33Z
2026-05-01 06:02:39,BIO,0.0,0,0,0.0,0,0,0.37,down,0.42,5,0,0.0,0,0,0.1,down,0,4,2026-05-01T05:02:39Z
