time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:07:42,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-03T05:07:42Z
2026-05-02 20:14:32,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-03T03:14:32Z
2026-05-02 20:06:52,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-03T03:06:52Z
2026-05-02 18:07:24,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-03T01:07:24Z
2026-05-02 16:21:47,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T23:21:47Z
2026-05-02 14:06:40,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T21:06:40Z
2026-05-02 12:06:47,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T19:06:47Z
2026-05-02 10:16:16,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T17:16:16Z
2026-05-02 08:07:24,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T15:07:24Z
2026-05-02 06:08:57,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T13:08:57Z
2026-05-01 22:12:10,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T05:12:10Z
2026-05-01 20:17:20,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T03:17:20Z
2026-05-01 17:52:12,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-02T00:52:12Z
2026-05-01 16:08:14,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T23:08:14Z
2026-05-01 14:12:03,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T21:12:03Z
2026-05-01 12:11:54,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T19:11:54Z
2026-05-01 10:07:27,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T17:07:27Z
2026-05-01 08:09:34,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T15:09:34Z
2026-05-01 06:08:51,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-01T13:08:51Z
2026-04-30 22:24:53,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T05:24:53Z
2026-04-30 20:16:14,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T03:16:14Z
2026-04-30 18:25:27,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-01T01:25:27Z
2026-04-30 16:12:11,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T23:12:11Z
2026-04-30 14:15:56,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T21:15:56Z
2026-04-30 12:07:03,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-30T19:07:03Z
2026-04-30 10:06:47,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T17:06:47Z
2026-04-30 06:08:46,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T13:08:46Z
2026-04-29 22:06:39,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T05:06:39Z
2026-04-29 20:07:25,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-30T03:07:25Z
2026-04-29 18:06:18,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-30T01:06:18Z
2026-04-29 16:21:32,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T23:21:32Z
2026-04-29 14:07:49,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T21:07:49Z
2026-04-29 12:05:45,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-29T19:05:45Z
2026-04-29 10:07:31,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T17:07:31Z
2026-04-29 08:09:22,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-29T15:09:22Z
2026-04-29 06:10:02,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T13:10:02Z
2026-04-28 23:18:43,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-29T06:18:43Z
2026-04-28 20:06:02,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T03:06:02Z
2026-04-28 18:23:20,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T01:23:20Z
2026-04-28 16:24:24,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-28T23:24:24Z
2026-04-28 14:10:16,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-28T21:10:16Z
2026-04-28 12:06:06,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-28T19:06:06Z
2026-04-28 10:12:56,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-28T17:12:56Z
2026-04-28 08:07:17,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T15:07:17Z
2026-04-28 06:12:58,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-28T13:12:58Z
2026-04-27 22:08:41,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-28T05:08:41Z
2026-04-27 18:08:09,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-28T01:08:09Z
2026-04-27 16:12:23,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T23:12:23Z
2026-04-27 14:05:38,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-27T21:05:38Z
2026-04-27 12:12:56,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T19:12:56Z
2026-04-27 10:06:01,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-27T17:06:01Z
2026-04-27 08:07:11,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-27T15:07:11Z
2026-04-27 06:11:28,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T13:11:28Z
2026-04-26 22:38:33,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-27T05:38:33Z
2026-04-26 20:29:34,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T03:29:34Z
2026-04-26 18:26:08,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T01:26:08Z
2026-04-26 16:06:03,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-26T23:06:03Z
2026-04-26 14:09:32,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T21:09:32Z
2026-04-26 12:05:39,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T19:05:39Z
2026-04-26 10:18:49,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T17:18:49Z
2026-04-26 08:12:31,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T15:12:31Z
2026-04-26 06:12:49,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T13:12:49Z
2026-04-25 23:01:04,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T06:01:04Z
2026-04-25 20:06:14,CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T03:06:14Z
