time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:03:21,DUB,1.83,22,34,0.41,156,0,0.65,up,0.42,5,7,0.08,31,0,0.14,down,0,11,2026-05-02T22:03:21Z
2026-05-02 20:10:26,DUB,1.5,18,22,0.31,116,0,0.65,down,0.42,5,5,0.06,24,0,0.14,down,0,11,2026-05-02T20:10:26Z
2026-05-02 20:02:37,DUB,1.5,18,22,0.31,116,0,0.65,down,0.42,5,5,0.06,24,0,0.14,down,0,11,2026-05-02T20:02:37Z
2026-05-02 18:03:39,DUB,1.63,20,32,0.24,90,0,0.65,up,0.42,5,4,0.04,16,0,0.14,down,0,11,2026-05-02T18:03:39Z
2026-05-02 16:17:33,DUB,1.17,14,17,0.14,53,0,0.65,down,0.42,5,2,0.03,10,0,0.14,down,0,11,2026-05-02T16:17:33Z
2026-05-02 14:02:31,DUB,1.25,15,26,0.08,29,0,0.65,up,0.0,0,0,0.02,8,0,0.14,up,0,7,2026-05-02T14:02:31Z
2026-05-02 12:02:16,DUB,0.0,0,0,0.0,0,0,0.65,down,0.0,0,0,0.02,8,0,0.14,up,0,7,2026-05-02T12:02:16Z
2026-05-02 10:11:41,DUB,0.0,0,0,0.0,0,0,0.65,down,0.0,0,0,0.02,8,0,0.14,down,0,7,2026-05-02T10:11:41Z
2026-05-02 08:02:48,DUB,0.0,0,0,0.0,0,0,0.65,down,0.42,5,8,0.02,8,0,0.14,down,0,7,2026-05-02T08:02:48Z
2026-05-02 06:04:41,DUB,1.67,20,5,0.65,269,0,0.57,down,0.42,5,5,0.14,58,0,0.1,down,0,14,2026-05-02T06:04:41Z
2026-05-01 22:07:47,DUB,1.33,16,22,0.43,178,0,0.57,down,0.42,5,8,0.06,27,0,0.1,down,0,14,2026-05-01T22:07:47Z
2026-05-01 20:13:11,DUB,1.88,22,31,0.36,149,0,0.57,up,0.42,5,1,0.04,18,0,0.1,down,0,7,2026-05-01T20:13:11Z
2026-05-01 17:47:11,DUB,1.58,19,26,0.25,105,0,0.57,up,0.42,5,8,0.03,13,0,0.1,down,0,14,2026-05-01T17:47:11Z
2026-05-01 16:04:02,DUB,1.92,23,31,0.17,72,0,0.57,down,0.53,5,2,0.01,4,0,0.1,down,0,4,2026-05-01T16:04:02Z
2026-05-01 14:07:49,DUB,1.08,13,24,0.07,29,0,0.57,up,0.42,5,1,0.0,2,0,0.1,down,0,7,2026-05-01T14:07:49Z
2026-05-01 12:07:19,DUB,0.0,0,0,0.0,0,0,0.57,down,0.42,5,0,0.0,1,0,0.1,down,0,11,2026-05-01T12:07:19Z
2026-05-01 10:02:55,DUB,0.0,0,0,0.0,0,0,0.57,down,0.0,0,0,0.0,1,0,0.1,down,0,11,2026-05-01T10:02:55Z
2026-05-01 08:04:57,DUB,0.17,2,1,0.0,0,0,0.57,down,0.42,5,2,0.0,0,0,0.1,down,0,11,2026-05-01T08:04:57Z
2026-05-01 06:04:06,DUB,2.21,26,7,0.56,220,0,0.54,down,0.42,5,3,0.09,37,0,0.09,down,0,4,2026-05-01T06:04:06Z
2026-04-30 22:20:38,DUB,1.17,14,19,0.38,146,0,0.54,up,0.42,5,3,0.05,19,0,0.09,down,0,22,2026-04-30T22:20:38Z
2026-04-30 20:11:58,DUB,1.17,14,15,0.31,119,0,0.54,up,0.42,5,4,0.04,16,0,0.09,down,0,25,2026-04-30T20:11:58Z
2026-04-30 18:21:18,DUB,1.54,18,26,0.25,98,0,0.54,up,0.42,5,2,0.03,12,0,0.09,down,0,25,2026-04-30T18:21:18Z
2026-04-30 16:07:52,DUB,1.38,16,21,0.17,68,0,0.54,up,0.42,5,2,0.02,7,0,0.09,down,0,25,2026-04-30T16:07:52Z
2026-04-30 14:11:49,DUB,1.54,18,31,0.1,40,0,0.54,up,0.42,5,0,0.01,5,0,0.09,down,0,22,2026-04-30T14:11:49Z
2026-04-30 12:02:52,DUB,0.0,0,0,0.01,2,0,0.54,down,0.42,5,1,0.01,4,0,0.09,down,0,25,2026-04-30T12:02:52Z
2026-04-30 10:02:33,DUB,0.0,0,0,0.0,1,0,0.54,down,0.0,0,0,0.01,3,0,0.09,down,0,25,2026-04-30T10:02:33Z
2026-04-30 06:05:07,DUB,0.75,9,2,0.54,195,0,0.46,down,0.42,5,3,0.08,31,0,0.09,down,0,29,2026-04-30T06:05:07Z
2026-04-29 22:02:14,DUB,1.33,16,19,0.36,130,0,0.46,down,0.42,5,2,0.05,17,0,0.09,down,0,32,2026-04-29T22:02:14Z
