time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:04:42,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T02:04:42Z
2026-05-02 20:11:45,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T00:11:45Z
2026-05-02 20:03:56,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-03T00:03:56Z
2026-05-02 18:04:48,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T22:04:48Z
2026-05-02 16:18:53,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T20:18:53Z
2026-05-02 14:03:49,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T18:03:49Z
2026-05-02 12:03:35,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T16:03:35Z
2026-05-02 10:13:02,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T14:13:02Z
2026-05-02 08:04:08,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T12:04:08Z
2026-05-02 06:06:01,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T10:06:01Z
2026-05-01 22:09:08,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T02:09:08Z
2026-05-01 20:14:28,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T00:14:28Z
2026-05-01 17:48:45,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T21:48:45Z
2026-05-01 16:05:19,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T20:05:19Z
2026-05-01 14:09:08,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T18:09:08Z
2026-05-01 12:08:39,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T16:08:39Z
2026-05-01 10:04:14,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T14:04:14Z
2026-05-01 08:06:17,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T12:06:17Z
2026-05-01 06:05:34,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-01T10:05:34Z
2026-04-30 22:22:00,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T02:22:00Z
2026-04-30 20:13:17,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T00:13:17Z
2026-04-30 18:22:35,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T22:22:35Z
2026-04-30 16:09:13,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T20:09:13Z
2026-04-30 14:13:06,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T18:13:06Z
2026-04-30 12:04:11,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T16:04:11Z
2026-04-30 10:03:50,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T14:03:50Z
2026-04-30 06:06:15,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T10:06:15Z
2026-04-29 22:03:37,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-30T02:03:37Z
2026-04-29 20:04:26,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T00:04:26Z
2026-04-29 18:03:22,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T22:03:22Z
2026-04-29 16:18:16,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T20:18:16Z
2026-04-29 14:04:33,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T18:04:33Z
2026-04-29 12:03:17,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T16:03:17Z
2026-04-29 10:04:40,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T14:04:40Z
2026-04-29 08:06:35,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-29T12:06:35Z
2026-04-29 06:07:32,SVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T10:07:32Z
