time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:07:37,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-03T01:07:37Z
2026-05-02 20:14:27,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T23:14:27Z
2026-05-02 20:06:47,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T23:06:47Z
2026-05-02 18:07:20,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T21:07:20Z
2026-05-02 16:21:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T19:21:42Z
2026-05-02 14:06:35,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T17:06:35Z
2026-05-02 12:06:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T15:06:42Z
2026-05-02 10:16:11,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T13:16:11Z
2026-05-02 08:07:18,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T11:07:18Z
2026-05-02 06:08:52,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T09:08:52Z
2026-05-01 22:12:05,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T01:12:05Z
2026-05-01 20:17:14,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-01T23:17:14Z
2026-05-01 17:52:06,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-01T20:52:06Z
2026-05-01 16:08:09,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T19:08:09Z
2026-05-01 14:11:58,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-05-01T17:11:58Z
2026-05-01 12:11:48,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-05-01T15:11:48Z
2026-05-01 10:07:21,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2026-05-01T13:07:21Z
2026-05-01 08:09:29,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-05-01T11:09:29Z
2026-05-01 06:08:46,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T09:08:46Z
2026-04-30 22:24:48,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-05-01T01:24:48Z
2026-04-30 20:16:09,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-30T23:16:09Z
2026-04-30 18:25:22,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T21:25:22Z
2026-04-30 16:12:06,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T19:12:06Z
2026-04-30 14:15:51,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T17:15:51Z
2026-04-30 12:06:59,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T15:06:59Z
2026-04-30 10:06:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T13:06:42Z
2026-04-30 06:08:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T09:08:42Z
2026-04-29 22:06:34,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-30T01:06:34Z
2026-04-29 20:07:20,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-29T23:07:20Z
2026-04-29 18:06:12,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-29T21:06:12Z
2026-04-29 16:21:27,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T19:21:27Z
2026-04-29 14:07:43,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-29T17:07:43Z
2026-04-29 12:05:41,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-29T15:05:41Z
2026-04-29 10:07:26,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T13:07:26Z
2026-04-29 08:09:17,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T11:09:17Z
2026-04-29 06:09:58,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-29T09:09:58Z
2026-04-28 23:18:38,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-29T02:18:38Z
2026-04-28 20:05:57,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T23:05:57Z
2026-04-28 18:23:14,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T21:23:14Z
2026-04-28 16:24:19,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T19:24:19Z
2026-04-28 14:10:12,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T17:10:12Z
2026-04-28 12:06:01,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T15:06:01Z
2026-04-28 10:12:51,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T13:12:51Z
2026-04-28 08:07:13,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-28T11:07:13Z
2026-04-28 06:12:54,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T09:12:54Z
2026-04-27 22:08:36,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-28T01:08:36Z
2026-04-27 18:08:04,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-27T21:08:04Z
2026-04-27 16:12:18,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T19:12:18Z
2026-04-27 14:05:33,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T17:05:33Z
2026-04-27 12:12:52,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-27T15:12:52Z
2026-04-27 10:05:57,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T13:05:57Z
2026-04-27 08:07:05,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T11:07:05Z
2026-04-27 06:11:23,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T09:11:23Z
2026-04-26 22:38:28,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-27T01:38:28Z
2026-04-26 20:29:30,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T23:29:30Z
2026-04-26 18:26:03,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-26T21:26:03Z
2026-04-26 16:05:59,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-26T19:05:59Z
2026-04-26 14:09:27,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T17:09:27Z
2026-04-26 12:05:35,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-26T15:05:35Z
2026-04-26 10:18:45,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T13:18:45Z
2026-04-26 08:12:26,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T11:12:26Z
2026-04-26 06:12:44,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T09:12:44Z
2026-04-25 23:01:00,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-26T02:01:00Z
2026-04-25 20:06:09,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-04-25T23:06:09Z
2026-04-25 18:10:02,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-25T21:10:02Z
2026-04-25 16:08:17,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-25T19:08:17Z
2026-04-25 14:06:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-25T17:06:42Z
2026-04-25 12:06:23,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T15:06:23Z
2026-04-25 10:14:51,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-25T13:14:51Z
2026-04-25 08:11:01,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-25T11:11:01Z
2026-04-25 06:07:48,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-25T09:07:48Z
2026-04-24 22:06:54,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-25T01:06:54Z
2026-04-24 20:10:37,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-24T23:10:37Z
2026-04-24 18:06:55,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-24T21:06:55Z
2026-04-24 16:25:32,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-24T19:25:32Z
2026-04-24 14:13:13,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-24T17:13:13Z
2026-04-24 12:36:33,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-24T15:36:33Z
2026-04-24 10:09:58,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-24T13:09:58Z
2026-04-24 08:24:51,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-24T11:24:51Z
2026-04-24 06:08:42,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-24T09:08:42Z
2026-04-23 22:06:44,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-24T01:06:44Z
2026-04-23 20:25:40,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-23T23:25:40Z
2026-04-23 18:12:26,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-23T21:12:26Z
2026-04-23 14:05:55,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-23T17:05:55Z
2026-04-23 12:05:36,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-23T15:05:36Z
2026-04-23 10:06:35,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-23T13:06:35Z
2026-04-23 08:15:50,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-23T11:15:50Z
2026-04-23 08:07:32,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-23T11:07:32Z
2026-04-23 06:08:19,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-23T09:08:19Z
2026-04-22 22:06:16,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-23T01:06:16Z
2026-04-22 20:08:24,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-22T23:08:24Z
2026-04-22 18:06:03,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-22T21:06:03Z
2026-04-22 16:20:58,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-22T19:20:58Z
2026-04-22 14:06:58,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-22T17:06:58Z
2026-04-22 12:06:32,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-22T15:06:32Z
2026-04-22 10:06:41,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-22T13:06:41Z
2026-04-22 08:06:25,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-22T11:06:25Z
2026-04-22 06:09:26,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-22T09:09:26Z
2026-04-21 22:16:39,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-22T01:16:39Z
2026-04-21 20:06:51,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-21T23:06:51Z
2026-04-21 18:15:07,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-21T21:15:07Z
2026-04-21 16:21:11,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-21T19:21:11Z
2026-04-21 14:06:07,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-21T17:06:07Z
2026-04-21 12:06:29,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-21T15:06:29Z
2026-04-21 10:09:07,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-21T13:09:07Z
2026-04-21 08:37:08,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-21T11:37:08Z
2026-04-21 06:44:18,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-21T09:44:18Z
2026-04-20 22:15:32,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-21T01:15:32Z
2026-04-20 20:17:54,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-20T23:17:54Z
2026-04-20 18:36:41,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-20T21:36:41Z
2026-04-20 16:09:47,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-20T19:09:47Z
2026-04-20 14:13:49,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-20T17:13:49Z
2026-04-20 12:40:25,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-20T15:40:25Z
2026-04-20 10:12:06,YSJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-04-20T13:12:06Z
