DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
02/05,QH1125,UIH,SGN,0h45m,13:00,14:07,14:15,Landed 21:52,yellow,2026-05-02 14:52,45.0,2026-05-02 13:00:00,2026-05-02 14:07:00,2026-05-02 14:15:00,2026-05-02 14:52:00,13,67.0,2026-05-02 12:30:00,2026-05-02 13:15:00,71.0,30.0,-15.0,52.0,1,0,51,6,130.0
02/05,QH1124,SGN,UIH,0h49m,11:15,12:26,12:30,Landed 20:15,yellow,2026-05-02 13:15,49.0,2026-05-02 11:15:00,2026-05-02 12:26:00,2026-05-02 12:30:00,2026-05-02 13:15:00,11,71.0,2026-05-02 10:35:00,2026-05-02 11:02:00,23.0,40.0,13.0,84.0,1,0,51,5,59.0
02/05,QH261,HAN,SGN,2h19m,08:20,08:43,10:35,Landed 18:02,yellow,2026-05-02 11:02,139.0,2026-05-02 08:20:00,2026-05-02 08:43:00,2026-05-02 10:35:00,2026-05-02 11:02:00,8,23.0,2026-05-02 07:40:00,2026-05-02 07:35:00,14.0,40.0,45.0,68.0,1,0,51,4,36.0
02/05,QH1414,CXR,HAN,1h41m,05:40,05:54,07:40,Landed 14:35,green,2026-05-02 07:35,101.0,2026-05-02 05:40:00,2026-05-02 05:54:00,2026-05-02 07:40:00,2026-05-02 07:35:00,5,14.0,2026-05-02 05:10:00,2026-05-02 04:56:00,9.0,30.0,44.0,58.0,1,0,51,3,22.0
02/05,QH1413,HAN,CXR,1h37m,03:10,03:19,05:10,Landed 11:56,green,2026-05-02 04:56,97.0,2026-05-02 03:10:00,2026-05-02 03:19:00,2026-05-02 05:10:00,2026-05-02 04:56:00,3,9.0,2026-05-02 02:20:00,2026-05-02 02:10:00,13.0,50.0,60.0,69.0,1,0,51,2,13.0
02/05,QH204,SGN,HAN,1h47m,00:10,00:23,02:20,Landed 09:10,green,2026-05-02 02:10,107.0,2026-05-02 00:10:00,2026-05-02 00:23:00,2026-05-02 02:20:00,2026-05-02 02:10:00,0,13.0,2026-05-01 13:15:00,2026-05-01 12:57:00,4.0,655.0,673.0,686.0,1,1,51,1,0.0
01/05,QH1125,UIH,SGN,0h53m,12:00,12:04,13:15,Landed 19:57,green,2026-05-01 12:57,53.0,2026-05-01 12:00:00,2026-05-01 12:04:00,2026-05-01 13:15:00,2026-05-01 12:57:00,12,4.0,2026-05-01 11:30:00,2026-05-01 11:04:00,1.0,30.0,56.0,60.0,1,0,50,6,56.0
01/05,QH1124,SGN,UIH,0h48m,10:15,10:16,11:30,Landed 18:04,green,2026-05-01 11:04,48.0,2026-05-01 10:15:00,2026-05-01 10:16:00,2026-05-01 11:30:00,2026-05-01 11:04:00,10,1.0,2026-05-01 09:00:00,2026-05-01 08:45:00,10.0,75.0,90.0,91.0,1,0,50,5,55.0
01/05,QH251,HAN,SGN,1h50m,06:45,06:55,09:00,Landed 15:45,green,2026-05-01 08:45,110.0,2026-05-01 06:45:00,2026-05-01 06:55:00,2026-05-01 09:00:00,2026-05-01 08:45:00,6,10.0,2026-05-01 05:35:00,2026-05-01 05:35:00,17.0,70.0,70.0,80.0,1,0,50,4,45.0
01/05,QH224,SGN,HAN,1h53m,03:25,03:42,05:35,Landed 12:35,green,2026-05-01 05:35,113.0,2026-05-01 03:25:00,2026-05-01 03:42:00,2026-05-01 05:35:00,2026-05-01 05:35:00,3,17.0,2026-05-01 02:40:00,2026-05-01 02:26:00,14.0,45.0,59.0,76.0,1,0,50,3,28.0
