Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR VAAH 021530Z 16010G20KT 4000 HZ NSC 30/24 Q1002 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 15:00:00,METAR VAAH 021500Z 16010G20KT 4000 HZ NSC 31/24 Q1001 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 14:30:00,METAR VAAH 021430Z 15010G20KT 4000 HZ NSC 31/23 Q1001 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 14:00:00,METAR VAAH 021400Z 16010G20KT 4000 FU NSC 32/23 Q1001 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 13:30:00,METAR VAAH 021330Z 17010G20KT 4000 FU NSC 33/23 Q1001 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 13:00:00,METAR VAAH 021300Z 18010G20KT 4000 FU NSC 34/23 Q1000 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 12:30:00,METAR VAAH 021230Z 19010G20KT 4000 FU NSC 36/21 Q1000 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-02 12:00:00,METAR VAAH 021200Z 19011G21KT 5000 FU NSC 36/21 Q1000 BECMG 4000,0,11.0,1,5000,0,0,0,
2026-05-02 11:30:00,METAR VAAH 021130Z 15010G20KT 5000 FU NSC 38/20 Q1000 NOSIG,0,10.0,1,5000,0,0,0,
2026-05-02 11:00:00,METAR VAAH 021100Z 17010G20KT 5000 FU NSC 39/17 Q1000 NOSIG,0,10.0,1,5000,0,0,0,
2026-05-02 10:30:00,METAR VAAH 021030Z 17016KT 5000 FU NSC 39/17 Q1000 NOSIG,0,16.0,0,5000,0,0,0,
2026-05-02 10:00:00,METAR VAAH 021000Z 16015KT 5000 FU NSC 40/14 Q1000 NOSIG,0,15.0,0,5000,0,0,0,
2026-05-02 09:30:00,METAR VAAH 020930Z 20010G20KT 5000 FU NSC 40/13 Q1001 NOSIG,0,10.0,1,5000,0,0,0,
2026-05-02 09:00:00,METAR VAAH 020900Z 22010G20KT 5000 FU NSC 39/13 Q1001 NOSIG,0,10.0,1,5000,0,0,0,
2026-05-02 08:30:00,METAR VAAH 020830Z 22010KT 4000 FU NSC 39/16 Q1002 TEMPO 21010G20KT,0,10.0,0,4000,0,0,0,
2026-05-02 08:00:00,METAR VAAH 020800Z 19016KT 4000 FU NSC 38/18 Q1003 TEMPO 20016G26KT,0,16.0,0,4000,0,0,0,
2026-05-02 07:30:00,METAR VAAH 020730Z 18015KT 4000 FU NSC 37/18 Q1003 TEMPO 20014G24KT,0,15.0,0,4000,0,0,0,
2026-05-02 07:00:00,METAR VAAH 020700Z 20012KT 4000 FU NSC 36/18 Q1004 TEMPO 18012G22KT,0,12.0,0,4000,0,0,0,
2026-05-02 06:30:00,METAR VAAH 020630Z 21011KT 4000 FU NSC 34/19 Q1004 NOSIG,0,11.0,0,4000,0,0,0,
2026-05-02 06:00:00,METAR VAAH 020600Z 22007KT 4000 FU NSC 34/19 Q1005 NOSIG,0,7.0,0,4000,0,0,0,
2026-05-02 05:30:00,METAR VAAH 020530Z 17008KT 4000 FU NSC 33/21 Q1005 NOSIG,0,8.0,0,4000,0,0,0,
2026-05-02 05:00:00,METAR VAAH 020500Z 14010KT 3500 FU NSC 32/22 Q1005 NOSIG,0,10.0,0,3500,0,0,0,
2026-05-02 04:30:00,METAR VAAH 020430Z 18012KT 3500 HZ NSC 31/22 Q1006 NOSIG,0,12.0,0,3500,0,0,0,
2026-05-02 04:00:00,METAR VAAH 020400Z 18010KT 3000 HZ NSC 30/22 Q1006 NOSIG,0,10.0,0,3000,0,0,0,
2026-05-02 03:30:00,METAR VAAH 020330Z 18012KT 3000 HZ NSC 30/22 Q1006 NOSIG,0,12.0,0,3000,0,0,0,
2026-05-02 03:00:00,METAR VAAH 020300Z 17013KT 3000 HZ NSC 29/22 Q1005 NOSIG,0,13.0,0,3000,0,0,0,
2026-05-02 02:30:00,METAR VAAH 020230Z 17013KT 3000 HZ NSC 28/22 Q1005 NOSIG,0,13.0,0,3000,0,0,0,
2026-05-02 02:00:00,METAR VAAH 020200Z 19016KT 3000 HZ NSC 28/22 Q1004 NOSIG,0,16.0,0,3000,0,0,0,
2026-05-02 01:30:00,METAR VAAH 020130Z 18012KT 3000 HZ NSC 28/22 Q1004 NOSIG,0,12.0,0,3000,0,0,0,
2026-05-02 01:00:00,METAR VAAH 020100Z 16012KT 3000 HZ NSC 27/22 Q1004 TEMPO 2000 HZ,0,12.0,0,3000,0,0,0,
2026-05-02 00:30:00,METAR VAAH 020030Z 19014KT 3000 HZ NSC 27/22 Q1004 TEMPO 2000 HZ,0,14.0,0,3000,0,0,0,
2026-05-02 00:00:00,METAR VAAH 020000Z 19013KT 4000 HZ NSC 28/22 Q1003 NOSIG,0,13.0,0,4000,0,0,0,
2026-05-01 23:30:00,METAR VAAH 012330Z 19011KT 4000 HZ NSC 28/22 Q1003 NOSIG,0,11.0,0,4000,0,0,0,
2026-05-01 23:00:00,METAR VAAH 012300Z 18013KT 4000 HZ NSC 28/22 Q1003 NOSIG,0,13.0,0,4000,0,0,0,
2026-05-01 22:30:00,METAR VAAH 012230Z 19009KT 4000 HZ NSC 29/22 Q1003 NOSIG,0,9.0,0,4000,0,0,0,
2026-05-01 22:00:00,METAR VAAH 012200Z 19009KT 4000 HZ NSC 29/23 Q1003 NOSIG,0,9.0,0,4000,0,0,0,
2026-05-01 21:30:00,METAR VAAH 012130Z 18003KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,3.0,0,4000,0,0,0,
2026-05-01 21:00:00,METAR VAAH 012100Z 15004KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,4.0,0,4000,0,0,0,
2026-05-01 20:30:00,METAR VAAH 012030Z 16004KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,4.0,0,4000,0,0,0,
2026-05-01 20:00:00,METAR VAAH 012000Z 16006KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,6.0,0,4000,0,0,0,
2026-05-01 19:30:00,METAR VAAH 011930Z 17007KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,7.0,0,4000,0,0,0,
2026-05-01 19:00:00,METAR VAAH 011900Z 18008KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,8.0,0,4000,0,0,0,
2026-05-01 18:30:00,METAR VAAH 011830Z 15008KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,8.0,0,4000,0,0,0,
2026-05-01 18:00:00,METAR VAAH 011800Z 17008KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,8.0,0,4000,0,0,0,
2026-05-01 17:30:00,METAR VAAH 011730Z 18011KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,11.0,0,4000,0,0,0,
2026-05-01 17:00:00,METAR VAAH 011700Z 16010KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,10.0,0,4000,0,0,0,
2026-05-01 16:30:00,METAR VAAH 011630Z 16015KT 4000 HZ NSC 29/24 Q1004 NOSIG,0,15.0,0,4000,0,0,0,
2026-05-01 16:00:00,METAR VAAH 011600Z 17010G20KT 4000 HZ NSC 29/24 Q1003 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-01 15:30:00,METAR VAAH 011530Z 16008G18KT 4000 HZ NSC 30/24 Q1003 NOSIG,0,8.0,1,4000,0,0,0,
2026-05-01 15:00:00,METAR VAAH 011500Z 17010G20KT 4000 HZ NSC 30/24 Q1003 NOSIG,0,10.0,1,4000,0,0,0,
2026-05-01 14:30:00,METAR VAAH 011430Z 18018KT 4000 HZ NSC 31/23 Q1003 TEMPO 18018G28KT,0,18.0,0,4000,0,0,0,
2026-05-01 14:00:00,METAR VAAH 011400Z 18018KT 3500 HZ NSC 31/23 Q1002 TEMPO 18018G28KT,0,18.0,0,3500,0,0,0,
