Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR LEBB 021530Z 13003KT 060V210 9999 -RA FEW025 SCT070 18/17 Q1014 RERA TEMPO TS SCT045CB,0,3,0,10000,1,0,0,"-RA,RA,TS"
2026-05-02 15:00:00,METAR LEBB 021500Z 19003KT 150V220 4000 RA FEW019 SCT048 BKN070 17/15 Q1015 TEMPO TS SCT045CB,0,3,0,4000,1,0,0,"RA,TS"
2026-05-02 14:30:00,METAR LEBB 021430Z VRB02KT 9999 FEW039 18/16 Q1015 TEMPO TS SCT045CB,0,2,0,10000,1,0,0,TS
2026-05-02 14:00:00,METAR LEBB 021400Z 35003KT 290V070 9999 FEW045 17/15 Q1015 TEMPO TS SCT045CB,0,3,0,10000,1,0,0,TS
2026-05-02 13:30:00,METAR LEBB 021330Z VRB03KT 9999 VCTS -SHRA FEW030 FEW045CB BKN047 16/14 Q1016 RETSRA NOSIG,0,3,0,10000,1,0,0,"RA,TS,VC"
2026-05-02 13:15:00,SPECI LEBB 021315Z 25011KT 200V290 6000 2500NW +TSRA FEW016 SCT036CB BKN047 16/13 Q1016 TEMPO NSW,0,11,0,6000,1,0,0,RA
2026-05-02 13:09:00,SPECI LEBB 021309Z 28014G25KT 9999 3000NW TSRA FEW020 SCT037CB BKN056 17/14 Q1016 TEMPO NSW,0,14,1,10000,1,0,0,"RA,TS"
2026-05-02 13:00:00,METAR LEBB 021300Z 28011G21KT 9999 VCTS -SHRA FEW026CB BKN047 19/13 Q1016 TEMPO TS,0,11,1,10000,1,0,0,"RA,TS,VC"
2026-05-02 12:30:00,METAR LEBB 021230Z 16007KT 120V200 9999 FEW030 21/15 Q1015 TEMPO TS SCT045CB,0,7,0,10000,1,0,0,TS
2026-05-02 12:00:00,METAR LEBB 021200Z 10004KT 060V170 9999 FEW030 20/18 Q1015 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 11:30:00,METAR LEBB 021130Z 09004KT 060V130 9999 FEW014 SCT070 18/17 Q1015 RESHRA NOSIG,0,4,0,10000,0,0,0,RA
2026-05-02 11:00:00,METAR LEBB 021100Z 11005KT 070V150 6000 -SHRA VCTS FEW018 FEW040CB BKN060 18/17 Q1016 RETS TEMPO NSW,0,5,0,6000,1,0,0,"RA,TS,VC"
2026-05-02 10:48:00,SPECI LEBB 021048Z 20003KT 150V280 4500 TSRA FEW020 SCT040CB BKN058 18/16 Q1017 NOSIG,0,3,0,4500,1,0,0,"RA,TS"
2026-05-02 10:30:00,METAR LEBB 021030Z 28004KT 230V310 9999 FEW020 FEW035CB BKN049 19/15 Q1017 TEMPO TS,0,4,0,10000,1,0,0,TS
2026-05-02 10:00:00,METAR LEBB 021000Z 29006KT 230V330 9999 FEW019 BKN041 19/16 Q1017 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 09:30:00,METAR LEBB 020930Z 31008KT 290V350 9999 FEW019 BKN044 19/15 Q1017 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 09:00:00,METAR LEBB 020900Z 32012KT 250V340 9999 FEW015 BKN042 19/15 Q1017 NOSIG,0,12,0,10000,0,0,0,
2026-05-02 08:30:00,METAR LEBB 020830Z 11006KT 080V150 9999 FEW045 21/14 Q1016 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 08:00:00,METAR LEBB 020800Z 12006KT 080V160 9999 FEW030 20/14 Q1017 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 07:30:00,METAR LEBB 020730Z 14007KT 110V170 9999 FEW025 20/14 Q1016 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 07:00:00,METAR LEBB 020700Z 12010KT 080V160 9999 FEW025 19/13 Q1016 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 06:30:00,METAR LEBB 020630Z 11010KT 070V140 9999 FEW025 19/13 Q1016 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 06:00:00,METAR LEBB 020600Z 12009KT 070V150 9999 FEW025 19/13 Q1016 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 05:30:00,METAR LEBB 020530Z 14010KT 110V170 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 05:00:00,METAR LEBB 020500Z 14011KT 110V180 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 04:30:00,METAR LEBB 020430Z 14009G19KT 110V210 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 04:00:00,METAR LEBB 020400Z 15009G20KT 120V190 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 03:30:00,METAR LEBB 020330Z 14011KT 120V190 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 03:00:00,METAR LEBB 020300Z 14014KT 100V170 CAVOK 20/13 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 02:30:00,METAR LEBB 020230Z AUTO 14010KT 080V170 CAVOK 20/13 Q1016,1,0,0,9999,0,0,0,
2026-05-02 02:00:00,METAR LEBB 020200Z AUTO 16008KT 120V200 CAVOK 21/13 Q1016,1,0,0,9999,0,0,0,
2026-05-02 01:30:00,METAR LEBB 020130Z AUTO 16009G20KT 120V210 CAVOK 21/12 Q1016,1,0,0,9999,0,0,0,
2026-05-02 01:00:00,METAR LEBB 020100Z AUTO 15008KT 100V210 CAVOK 21/13 Q1016,1,0,0,9999,0,0,0,
2026-05-02 00:30:00,METAR LEBB 020030Z AUTO 13008KT 080V170 CAVOK 21/13 Q1016,1,0,0,9999,0,0,0,
2026-05-02 00:00:00,METAR LEBB 020000Z AUTO 14010KT 110V180 CAVOK 21/14 Q1017,1,0,0,9999,0,0,0,
2026-05-01 23:30:00,METAR LEBB 012330Z AUTO VRB01KT CAVOK 20/15 Q1017,1,0,0,9999,0,0,0,
2026-05-01 23:00:00,METAR LEBB 012300Z AUTO VRB03KT CAVOK 21/14 Q1017,1,0,0,9999,0,0,0,
2026-05-01 22:30:00,METAR LEBB 012230Z AUTO VRB03KT CAVOK 17/16 Q1017,1,0,0,9999,0,0,0,
2026-05-01 22:00:00,METAR LEBB 012200Z AUTO 27003KT 220V290 CAVOK 18/16 Q1017,1,0,0,9999,0,0,0,
2026-05-01 21:30:00,METAR LEBB 012130Z 27005KT 230V290 CAVOK 19/17 Q1017 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 21:00:00,METAR LEBB 012100Z 16005KT 100V230 CAVOK 20/16 Q1017 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 20:30:00,METAR LEBB 012030Z 14007KT 080V190 CAVOK 23/15 Q1017 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 20:00:00,METAR LEBB 012000Z 15005KT 110V190 CAVOK 23/15 Q1017 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 19:30:00,METAR LEBB 011930Z 13007KT 080V160 CAVOK 23/15 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 19:00:00,METAR LEBB 011900Z 14008KT 110V170 CAVOK 24/15 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 18:30:00,METAR LEBB 011830Z 13009KT 080V170 CAVOK 25/15 Q1016 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 18:00:00,METAR LEBB 011800Z 13007KT 080V190 9999 FEW065 25/15 Q1016 NOSIG,0,7,0,10000,0,0,0,
2026-05-01 17:30:00,METAR LEBB 011730Z 09009KT 050V160 CAVOK 25/17 Q1016 NOSIG,1,0,0,9999,0,0,0,
