Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR YBBN 021530Z AUTO 20007KT 9999 // NCD 18/17 Q1021,0,7,0,10000,0,0,0,
2026-05-02 15:00:00,METAR YBBN 021500Z AUTO 21007KT 9999 // NCD 18/18 Q1021,0,7,0,10000,0,0,0,
2026-05-02 14:30:00,METAR YBBN 021430Z AUTO 20005KT 9999 // BKN048 18/17 Q1021,0,5,0,10000,0,0,0,
2026-05-02 14:00:00,METAR YBBN 021400Z 13005KT 9999 FEW042 19/18 Q1021,0,5,0,10000,0,0,0,
2026-05-02 13:30:00,METAR YBBN 021330Z 12005KT 9999 FEW035 SCT045 19/17 Q1021,0,5,0,10000,0,0,0,
2026-05-02 13:00:00,METAR YBBN 021300Z 14004KT 9999 SCT037 BKN045 20/18 Q1021,0,4,0,10000,0,0,0,
2026-05-02 12:30:00,METAR YBBN 021230Z 12005KT 9999 SCT034 22/18 Q1021,0,5,0,10000,0,0,0,
2026-05-02 12:00:00,METAR YBBN 021200Z 13006KT 9999 BKN044 BKN070 22/18 Q1021,0,6,0,10000,0,0,0,
2026-05-02 11:30:00,METAR YBBN 021130Z 13006KT 9999 -SHRA SCT027 BKN066 22/19 Q1021,0,6,0,10000,0,0,0,RA
2026-05-02 11:00:00,METAR YBBN 021100Z 13005KT 9999 FEW031 BKN036 BKN042 21/19 Q1021,0,5,0,10000,0,0,0,
2026-05-02 10:30:00,METAR YBBN 021030Z AUTO 12005KT 9999 -RA SCT033 BKN038 BKN046 22/18 Q1021,0,5,0,10000,0,0,0,-RA
2026-05-02 10:00:00,METAR YBBN 021000Z AUTO 12005KT 9999 // BKN043 OVC049 22/18 Q1021,0,5,0,10000,0,0,0,
2026-05-02 09:30:00,METAR YBBN 020930Z AUTO 11006KT 9999 // BKN045 BKN052 22/19 Q1021,0,6,0,10000,0,0,0,
2026-05-02 09:00:00,METAR YBBN 020900Z AUTO 11007KT 9999 // SCT045 22/19 Q1020,0,7,0,10000,0,0,0,
2026-05-02 08:30:00,METAR YBBN 020830Z AUTO 11006KT 9999 // NCD 22/19 Q1020,0,6,0,10000,0,0,0,
2026-05-02 08:00:00,METAR YBBN 020800Z AUTO 12006KT 9999 // FEW036 BKN044 22/19 Q1020,0,6,0,10000,0,0,0,
2026-05-02 07:30:00,METAR YBBN 020730Z 11007KT 9999 FEW025 23/19 Q1020,0,7,0,10000,0,0,0,
2026-05-02 07:00:00,METAR YBBN 020700Z 13007KT 9999 FEW025 SCT320 23/19 Q1020,0,7,0,10000,0,0,0,
2026-05-02 06:30:00,METAR YBBN 020630Z 11009KT 9999 VCSH SCT025 SCT320 23/19 Q1019,0,9,0,10000,0,0,0,"SH,VC"
2026-05-02 06:00:00,METAR YBBN 020600Z 11006KT 9999 FEW025 SCT032 24/19 Q1019,0,6,0,10000,0,0,0,
2026-05-02 05:30:00,METAR YBBN 020530Z 14007KT 090V150 9999 -SHRA FEW017 BKN024 23/19 Q1019,0,7,0,10000,0,0,0,RA
2026-05-02 05:00:00,METAR YBBN 020500Z 13008KT 9999 -SHRA FEW017 SCT027 24/19 Q1020,0,8,0,10000,0,0,0,RA
2026-05-02 04:30:00,METAR YBBN 020430Z 13008KT 9999 VCSH FEW030 SCT075 25/20 Q1019,0,8,0,10000,0,0,0,"SH,VC"
2026-05-02 04:00:00,METAR YBBN 020400Z 12011KT 9999 VCSH FEW030 SCT350 25/19 Q1020,0,11,0,10000,0,0,0,"SH,VC"
2026-05-02 03:30:00,METAR YBBN 020330Z 12010KT 9999 FEW030 25/19 Q1020,0,10,0,10000,0,0,0,
2026-05-02 03:00:00,METAR YBBN 020300Z 12010KT 9999 FEW030 25/19 Q1020,0,10,0,10000,0,0,0,
2026-05-02 02:30:00,METAR YBBN 020230Z 12010KT 9999 FEW030 SCT070 25/19 Q1020,0,10,0,10000,0,0,0,
2026-05-02 02:00:00,METAR YBBN 020200Z 12011KT 9999 FEW030 25/19 Q1021,0,11,0,10000,0,0,0,
2026-05-02 01:30:00,METAR YBBN 020130Z 12011KT 9999 VCSH SCT030 SCT350 24/19 Q1021,0,11,0,10000,0,0,0,"SH,VC"
2026-05-02 01:00:00,METAR YBBN 020100Z 12010KT 9999 FEW030 25/19 Q1022,0,10,0,10000,0,0,0,
2026-05-02 00:30:00,METAR YBBN 020030Z 12010KT 9999 FEW030 25/19 Q1022,0,10,0,10000,0,0,0,
2026-05-02 00:00:00,METAR YBBN 020000Z 13008KT 9999 FEW027 24/19 Q1022,0,8,0,10000,0,0,0,
2026-05-01 23:30:00,METAR YBBN 012330Z 13009KT 9999 BKN027 24/19 Q1022,0,9,0,10000,0,0,0,
2026-05-01 23:00:00,METAR YBBN 012300Z 12009KT 9999 FEW025 23/19 Q1022,0,9,0,10000,0,0,0,
2026-05-01 22:30:00,METAR YBBN 012230Z 12009KT 9999 FEW025 23/19 Q1022,0,9,0,10000,0,0,0,
2026-05-01 22:00:00,METAR YBBN 012200Z 13007KT 9999 VCSH FEW025 23/20 Q1021,0,7,0,10000,0,0,0,"SH,VC"
2026-05-01 21:30:00,METAR YBBN 012130Z 10005KT 9999 VCSH FEW015 SCT024 BKN053 22/20 Q1021,0,5,0,10000,0,0,0,"SH,VC"
2026-05-01 21:00:00,METAR YBBN 012100Z 13007KT 9999 VCSH FEW016 SCT025 BKN051 21/19 Q1021,0,7,0,10000,0,0,0,"SH,VC"
2026-05-01 20:30:00,METAR YBBN 012030Z 15005KT 9999 -SHRA FEW016 SCT020 BKN050 21/19 Q1021,0,5,0,10000,0,0,0,RA
2026-05-01 20:00:00,METAR YBBN 012000Z 18004KT 9999 VCSH FEW016 SCT020 BKN050 20/20 Q1021,0,4,0,10000,0,0,0,"SH,VC"
2026-05-01 19:30:00,METAR YBBN 011930Z AUTO 19005KT 9999 // FEW023 SCT034 20/20 Q1021,0,5,0,10000,0,0,0,
2026-05-01 19:00:00,METAR YBBN 011900Z AUTO 19005KT 9999 // FEW024 SCT038 20/19 Q1020,0,5,0,10000,0,0,0,
2026-05-01 18:30:00,METAR YBBN 011830Z AUTO 16005KT 9999 // SCT022 BKN033 BKN044 20/19 Q1020,0,5,0,10000,0,0,0,
2026-05-01 18:00:00,METAR YBBN 011800Z AUTO 15006KT 9999 // FEW024 SCT029 BKN052 20/19 Q1020,0,6,0,10000,0,0,0,
2026-05-01 17:30:00,METAR YBBN 011730Z AUTO 15008KT 9999 -SHRA FEW022 BKN032 BKN042 20/19 Q1020,0,8,0,10000,0,0,0,RA
2026-05-01 17:00:00,METAR YBBN 011700Z AUTO 15007KT 9999 // BKN036 BKN047 OVC057 20/19 Q1020,0,7,0,10000,0,0,0,
2026-05-01 16:46:00,SPECI YBBN 011646Z AUTO 14008KT 9999 -SHRA FEW019 SCT037 BKN048 20/19 Q1021,0,8,0,10000,0,0,0,RA
2026-05-01 16:34:00,SPECI YBBN 011634Z AUTO 14009KT 6000 -RA FEW015 SCT040 BKN046 20/20 Q1021,0,9,0,6000,0,0,0,-RA
2026-05-01 16:25:00,SPECI YBBN 011625Z AUTO 15007KT 9999 -RA SCT014 BKN026 BKN041 20/20 Q1021,0,7,0,10000,0,0,0,-RA
2026-05-01 16:06:00,SPECI YBBN 011606Z AUTO 14006KT 6000 RA FEW016 BKN027 BKN038 20/20 Q1021,0,6,0,6000,0,0,0,RA
2026-05-01 16:00:00,METAR YBBN 011600Z AUTO 17005KT 120V210 9999 -RA SCT021 BKN029 BKN036 20/20 Q1021,0,5,0,10000,0,0,0,-RA
2026-05-01 15:30:00,METAR YBBN 011530Z AUTO 22006KT 9999 // FEW043 OVC050 20/20 Q1021,0,6,0,10000,0,0,0,
2026-05-01 15:00:00,METAR YBBN 011500Z AUTO 22006KT 9999 // BKN050 19/19 Q1022,0,6,0,10000,0,0,0,
2026-05-01 14:30:00,METAR YBBN 011430Z AUTO 21007KT 9999 // FEW022 SCT046 18/18 Q1022,0,7,0,10000,0,0,0,
2026-05-01 14:00:00,METAR YBBN 011400Z 21006KT 9999 FEW045 19/19 Q1022,0,6,0,10000,0,0,0,
2026-05-01 13:30:00,METAR YBBN 011330Z 20006KT 9999 SCT038 BKN050 19/19 Q1022,0,6,0,10000,0,0,0,
2026-05-01 13:00:00,METAR YBBN 011300Z 20005KT 9999 SCT025 BKN046 19/19 Q1022,0,5,0,10000,0,0,0,
2026-05-01 12:30:00,METAR YBBN 011230Z 21006KT 9999 -SHRA FEW020 BKN028 BKN033 19/19 Q1022,0,6,0,10000,0,0,0,RA
2026-05-01 12:00:00,METAR YBBN 011200Z 21006KT 9999 -SHRA FEW017 SCT023 BKN078 19/19 Q1022,0,6,0,10000,0,0,0,RA
2026-05-01 11:30:00,METAR YBBN 011130Z 20006KT 9999 -SHRA FEW015 SCT028 BKN042 19/19 Q1022,0,6,0,10000,0,0,0,RA
2026-05-01 11:00:00,METAR YBBN 011100Z 17007KT 9999 +SHRA SCT015 SCT027 BKN037 19/19 Q1023,0,7,0,10000,0,0,0,RA
2026-05-01 10:34:00,SPECI YBBN 011034Z AUTO 18007KT 6000 SHRA SCT019 BKN051 BKN071 19/19 Q1022,0,7,0,6000,0,0,0,"RA,SH"
2026-05-01 10:20:00,SPECI YBBN 011020Z AUTO 18007KT 9000 SHRA SCT018 SCT060 BKN089 19/19 Q1022,0,7,0,9000,0,0,0,"RA,SH"
2026-05-01 10:05:00,SPECI YBBN 011005Z AUTO 18008KT 9999 SHRA BKN014 BKN029 BKN060 20/19 Q1022,0,8,0,10000,0,0,0,"RA,SH"
2026-05-01 09:30:00,METAR YBBN 010930Z AUTO 19006KT 9999 -SHRA SCT027 BKN032 OVC054 20/19 Q1022,0,6,0,10000,0,0,0,RA
2026-05-01 09:00:00,METAR YBBN 010900Z AUTO 19008KT 9999 -DZ FEW028 BKN038 BKN047 20/18 Q1022,0,8,0,10000,0,0,0,DZ
2026-05-01 08:30:00,METAR YBBN 010830Z AUTO 19008KT 9999 // BKN038 21/18 Q1022,0,8,0,10000,0,0,0,
2026-05-01 08:00:00,METAR YBBN 010800Z AUTO 17006KT 9999 // FEW031 BKN038 BKN047 21/19 Q1022,0,6,0,10000,0,0,0,
2026-05-01 07:47:00,SPECI YBBN 010747Z AUTO 18007KT 9999 -SHRA SCT032 BKN041 OVC050 20/19 Q1022,0,7,0,10000,0,0,0,RA
2026-05-01 07:35:00,SPECI YBBN 010735Z AUTO 15009KT 6000 -SHRA BKN037 BKN046 OVC052 20/19 Q1022,0,9,0,6000,0,0,0,RA
2026-05-01 07:30:00,METAR YBBN 010730Z 14009KT 9999 -SHRA FEW025 SCT033 BKN040 21/18 Q1022,0,9,0,10000,0,0,0,RA
2026-05-01 07:00:00,METAR YBBN 010700Z 13009KT 9999 -SHRA FEW028 SCT045 BKN055 23/18 Q1021,0,9,0,10000,0,0,0,RA
2026-05-01 06:30:00,METAR YBBN 010630Z 16007KT 9999 FEW030 BKN060 23/17 Q1021,0,7,0,10000,0,0,0,
2026-05-01 06:00:00,METAR YBBN 010600Z 16007KT 9999 FEW030 SCT060 BKN095 24/17 Q1021,0,7,0,10000,0,0,0,
2026-05-01 05:30:00,METAR YBBN 010530Z 15009KT 9999 VCSH FEW030 SCT065 BKN085 24/17 Q1021,0,9,0,10000,0,0,0,"SH,VC"
2026-05-01 05:00:00,METAR YBBN 010500Z 15011KT 9999 FEW032 SCT070 BKN100 25/17 Q1021,0,11,0,10000,0,0,0,
2026-05-01 04:30:00,METAR YBBN 010430Z 15010KT 9999 FEW032 BKN068 25/17 Q1021,0,10,0,10000,0,0,0,
2026-05-01 04:00:00,METAR YBBN 010400Z 14010KT 9999 FEW033 25/17 Q1021,0,10,0,10000,0,0,0,
2026-05-01 03:30:00,METAR YBBN 010330Z 15011G21KT 9999 FEW033 24/17 Q1022,0,11,1,10000,0,0,0,
2026-05-01 03:00:00,METAR YBBN 010300Z 15011KT 9999 FEW034 25/17 Q1022,0,11,0,10000,0,0,0,
2026-05-01 02:30:00,METAR YBBN 010230Z 15012KT 9999 SCT030 SCT080 25/17 Q1022,0,12,0,10000,0,0,0,
2026-05-01 02:00:00,METAR YBBN 010200Z 15010KT 9999 VCSH SCT028 BKN040 24/17 Q1023,0,10,0,10000,0,0,0,"SH,VC"
2026-05-01 01:30:00,METAR YBBN 010130Z 17008KT 9999 -SHRA SCT025 SCT030 BKN042 23/18 Q1024,0,8,0,10000,0,0,0,RA
2026-05-01 01:00:00,METAR YBBN 010100Z 17009KT 9999 SCT027 SCT065 BKN075 24/18 Q1024,0,9,0,10000,0,0,0,
2026-05-01 00:30:00,METAR YBBN 010030Z 17007KT 9999 FEW026 SCT075 24/18 Q1024,0,7,0,10000,0,0,0,
2026-05-01 00:00:00,METAR YBBN 010000Z 19009KT 9999 FEW032 SCT075 23/18 Q1025,0,9,0,10000,0,0,0,
2026-04-30 23:30:00,METAR YBBN 302330Z 19008KT 9999 FEW032 SCT043 23/19 Q1025,0,8,0,10000,0,0,0,
2026-04-30 23:00:00,METAR YBBN 302300Z 20007KT 9999 FEW030 SCT042 21/18 Q1025,0,7,0,10000,0,0,0,
2026-04-30 22:30:00,METAR YBBN 302230Z 20007KT 9999 FEW025 20/18 Q1025,0,7,0,10000,0,0,0,
2026-04-30 22:00:00,METAR YBBN 302200Z 22010KT 9999 FEW025 19/17 Q1024,0,10,0,10000,0,0,0,
2026-04-30 21:30:00,METAR YBBN 302130Z 22010KT 9999 FEW015 SCT070 18/18 Q1024,0,10,0,10000,0,0,0,
2026-04-30 21:00:00,METAR YBBN 302100Z 22008KT 9999 FEW015 SCT090 18/17 Q1024,0,8,0,10000,0,0,0,
