Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 14:54:00,METAR KBOS 021454Z VRB03KT 10SM FEW025 SCT060 BKN080 BKN250 11/07 A2989 RMK AO2 SLP120 60001 T01110067 58000,0,3.0,0,16090,0,0,0,
2026-05-02 13:54:00,METAR KBOS 021354Z VRB03KT 10SM FEW025 SCT055 BKN075 BKN250 10/06 A2989 RMK AO2 RAB00E53 SLP122 P0001 T01000061,0,3.0,0,16090,0,0,0,RA
2026-05-02 12:54:00,METAR KBOS 021254Z 28008G17KT 10SM FEW023 SCT060 BKN075 BKN250 11/06 A2991 RMK AO2 RAE04B32E49 SLP128 P0000 T01060061,0,8.0,1,16090,0,0,0,RA
2026-05-02 11:54:00,METAR KBOS 021154Z 22008KT 10SM -RA FEW055 SCT070 BKN090 BKN250 10/06 A2989 RMK AO2 RAE35B54 SLP120 P0000 60000 T01000061 10111 20089 53008,0,8.0,0,16090,0,0,0,"-RA,RA"
2026-05-02 10:54:00,METAR KBOS 021054Z 21008KT 10SM -RA FEW070 BKN090 BKN250 10/06 A2989 RMK AO2 RAB49 SLP120 P0000 T01000056,0,8.0,0,16090,0,0,0,-RA
2026-05-02 09:54:00,METAR KBOS 020954Z 28003KT 10SM SCT060 BKN080 BKN250 11/05 A2986 RMK AO2 RAB08E29 SLP110 P0000 T01060050,0,3.0,0,16090,0,0,0,RA
2026-05-02 08:54:00,METAR KBOS 020854Z 20007KT 10SM BKN080 10/04 A2986 RMK AO2 SLP112 60000 T01000039 55003,0,7.0,0,16090,0,0,0,
2026-05-02 07:54:00,METAR KBOS 020754Z 22008KT 10SM SCT080 10/04 A2986 RMK AO2 RAB18E28 SLP110 P0000 T01000039,0,8.0,0,16090,0,0,0,RA
2026-05-02 06:54:00,METAR KBOS 020654Z 22008KT 10SM SCT090 BKN120 10/03 A2987 RMK AO2 SLP115 T01000028,0,8.0,0,16090,0,0,0,
2026-05-02 05:54:00,METAR KBOS 020554Z 00000KT 10SM SCT085 11/02 A2987 RMK AO2 SLP115 T01060017 10161 20094 58000,0,0.0,0,16090,0,0,0,
2026-05-02 04:54:00,METAR KBOS 020454Z 25006KT 10SM SCT085 12/01 A2988 RMK AO2 SLP116 T01170006 401830083,0,6.0,0,16090,0,0,0,
2026-05-02 03:54:00,METAR KBOS 020354Z 19005KT 10SM BKN085 11/03 A2988 RMK AO2 SLP117 T01110028,0,5.0,0,16090,0,0,0,
2026-05-02 02:54:00,METAR KBOS 020254Z 17005KT 10SM SCT150 10/04 A2987 RMK AO2 SLP115 T01000044 51016,0,5.0,0,16090,0,0,0,
2026-05-02 01:54:00,METAR KBOS 020154Z 12006KT 10SM CLR 11/04 A2987 RMK AO2 SLP115 T01110039,0,6.0,0,16090,0,0,0,
2026-05-02 00:54:00,METAR KBOS 020054Z 01004KT 10SM CLR 14/M03 A2986 RMK AO2 SLP109 T01391028,0,4.0,0,16090,0,0,0,
2026-05-01 23:54:00,METAR KBOS 012354Z 31006KT 10SM FEW075 16/M04 A2983 RMK AO2 SLP100 T01611039 10183 20156 53017,0,6.0,0,16090,0,0,0,
2026-05-01 22:54:00,METAR KBOS 012254Z 32011KT 10SM FEW080 17/M03 A2980 RMK AO2 SLP091 T01671033,0,11.0,0,16090,0,0,0,
2026-05-01 21:54:00,METAR KBOS 012154Z 28009G19KT 10SM FEW085 17/M03 A2979 RMK AO2 SLP087 T01721033,0,9.0,1,16090,0,0,0,
2026-05-01 20:54:00,METAR KBOS 012054Z 23016G26KT 10SM FEW080 18/M02 A2978 RMK AO2 PK WND 23026/2054 SLP082 T01781022 56008,0,16.0,1,16090,0,0,0,
2026-05-01 19:54:00,METAR KBOS 011954Z 31010G23KT 10SM SCT075 17/M02 A2978 RMK AO2 SLP083 T01721017,0,10.0,1,16090,0,0,0,
2026-05-01 18:54:00,METAR KBOS 011854Z 29016G21KT 10SM SCT070 17/M02 A2979 RMK AO2 SLP086 T01671017,0,16.0,1,16090,0,0,0,
2026-05-01 17:54:00,METAR KBOS 011754Z 27011G20KT 10SM FEW055 16/M01 A2980 RMK AO2 SLP090 T01561011 10161 20094 56010,0,11.0,1,16090,0,0,0,
2026-05-01 16:54:00,METAR KBOS 011654Z 28011G19KT 10SM FEW055 14/M01 A2981 RMK AO2 SLP093 T01441006,0,11.0,1,16090,0,0,0,
2026-05-01 15:54:00,METAR KBOS 011554Z 26009G22KT 220V290 10SM SCT055 14/01 A2982 RMK AO2 SLP097 T01390006,0,9.0,1,16090,0,0,0,
2026-05-01 14:54:00,METAR KBOS 011454Z 29011G19KT 10SM SCT049 12/00 A2983 RMK AO2 SLP100 T01220000 51004,0,11.0,1,16090,0,0,0,
2026-05-01 13:54:00,METAR KBOS 011354Z 29015G27KT 10SM FEW055 12/M01 A2983 RMK AO2 PK WND 32027/1351 SLP100 T01221006,0,15.0,1,16090,0,0,0,
2026-05-01 12:54:00,METAR KBOS 011254Z 31016G23KT 10SM FEW055 11/01 A2983 RMK AO2 SLP099 T01060011,0,16.0,1,16090,0,0,0,
2026-05-01 11:54:00,METAR KBOS 011154Z 30015G22KT 10SM BKN055 09/02 A2982 RMK AO2 SLP097 70010 T00940017 10111 20083 52013,0,15.0,1,16090,0,0,0,
2026-05-01 10:54:00,METAR KBOS 011054Z 30011KT 10SM SCT048 08/02 A2981 RMK AO2 SLP093 T00830022,0,11.0,0,16090,0,0,0,
2026-05-01 09:54:00,METAR KBOS 010954Z 30013G21KT 10SM BKN048 09/03 A2979 RMK AO2 SLP087 T00890028,0,13.0,1,16090,0,0,0,
2026-05-01 08:54:00,METAR KBOS 010854Z 30008G18KT 10SM BKN050 09/03 A2978 RMK AO2 SLP084 T00890028 53009,0,8.0,1,16090,0,0,0,
2026-05-01 07:54:00,METAR KBOS 010754Z 30013G19KT 10SM OVC050 09/03 A2977 RMK AO2 SLP079 T00940028,0,13.0,1,16090,0,0,0,
2026-05-01 06:54:00,METAR KBOS 010654Z 31016G26KT 10SM FEW020 OVC045 11/05 A2975 RMK AO2 PK WND 31026/0654 SLP074 T01060050,0,16.0,1,16090,0,0,0,
2026-05-01 06:15:00,SPECI KBOS 010615Z 32008KT 10SM SCT018 OVC036 11/07 A2975 RMK AO2 T01110072,0,8.0,0,16090,0,0,0,
2026-05-01 05:54:00,METAR KBOS 010554Z 32006KT 10SM BKN016 BKN036 OVC046 09/08 A2975 RMK AO2 SLP075 T00940083 10128 20089 53008,0,6.0,0,16090,0,0,0,
2026-05-01 04:54:00,METAR KBOS 010454Z 03005KT 10SM BKN013 BKN020 OVC027 09/08 A2974 RMK AO2 SLP072 T00940083 401330078,0,5.0,0,16090,0,0,0,
2026-05-01 03:54:00,METAR KBOS 010354Z 09005KT 10SM FEW016 BKN027 OVC075 09/08 A2973 RMK AO2 SLP067 T00890083,0,5.0,0,16090,0,0,0,
2026-05-01 02:54:00,METAR KBOS 010254Z 09004KT 10SM FEW018 BKN030 OVC060 10/08 A2973 RMK AO2 SLP066 T01000083 50005,0,4.0,0,16090,0,0,0,
2026-05-01 01:54:00,METAR KBOS 010154Z 31005KT 10SM OVC030 12/09 A2974 RMK AO2 SLP069 T01220089,0,5.0,0,16090,0,0,0,
2026-05-01 00:54:00,METAR KBOS 010054Z 29005KT 10SM SCT020 OVC032 12/09 A2973 RMK AO2 SLP065 T01220089,0,5.0,0,16090,0,0,0,
2026-05-01 00:27:00,SPECI KBOS 010027Z 31005KT 10SM BKN032 BKN040 12/09 A2972 RMK AO2 T01220089,0,5.0,0,16090,0,0,0,
2026-04-30 23:54:00,METAR KBOS 302354Z 29005KT 10SM BKN025 BKN043 13/09 A2971 RMK AO2 SLP061 60000 T01280089 10133 20100 53008,0,5.0,0,16090,0,0,0,
2026-04-30 23:30:00,SPECI KBOS 302330Z 30006KT 10SM BKN026 BKN038 13/09 A2971 RMK AO2 T01280089,0,6.0,0,16090,0,0,0,
2026-04-30 22:54:00,METAR KBOS 302254Z 30007KT 10SM FEW025 OVC041 13/09 A2970 RMK SLP058 T01280089,0,7.0,0,16090,0,0,0,
2026-04-30 22:45:00,SPECI KBOS 302245Z 29005KT 10SM FEW027 OVC041 13/09 A2970 RMK AO2 T01280089,0,5.0,0,16090,0,0,0,
2026-04-30 21:54:00,METAR KBOS 302154Z 30006KT 10SM FEW019 OVC029 13/09 A2969 RMK AO2 SLP054 T01280089,0,6.0,0,16090,0,0,0,
2026-04-30 20:54:00,METAR KBOS 302054Z 27005KT 10SM SCT016 OVC023 12/09 A2969 RMK AO2 CIG 017 E SLP053 60000 T01220089 56012,0,5.0,0,16090,0,0,0,
2026-04-30 19:54:00,METAR KBOS 301954Z 17003KT 10SM OVC016 12/09 A2970 RMK AO2 SLP055 T01170089,0,3.0,0,16090,0,0,0,
2026-04-30 19:30:00,SPECI KBOS 301930Z 15003KT 10SM OVC014 11/09 A2970 RMK AO2 T01110089,0,3.0,0,16090,0,0,0,
2026-04-30 18:54:00,METAR KBOS 301854Z 15004KT 10SM BKN015 OVC035 11/09 A2971 RMK AO2 RAE08 SLP059 P0000 T01060089,0,4.0,0,16090,0,0,0,
2026-04-30 18:29:00,SPECI KBOS 301829Z 13005KT 10SM FEW010 BKN017 OVC035 11/09 A2971 RMK AO2 RAE08 P0000 T01060094,0,5.0,0,16090,0,0,0,
2026-04-30 17:54:00,METAR KBOS 301754Z 16003KT 10SM -RA SCT007 OVC039 11/09 A2972 RMK AO2 RAE25B54 SLP065 P0001 60010 T01060094 10106 20083 58011,0,3.0,0,16090,0,0,0,"-RA,RA"
2026-04-30 17:35:00,SPECI KBOS 301735Z 17004KT 10SM BKN007 OVC044 11/09 A2973 RMK AO2 RAE25 P0001 T01060089,0,4.0,0,16090,0,0,0,
2026-04-30 17:02:00,SPECI KBOS 301702Z 19003KT 5SM -RA BR SCT009 BKN018 OVC055 10/09 A2974 RMK AO2 P0001 T01000089,0,3.0,0,8045,0,0,1,"-RA,BR"
2026-04-30 16:54:00,METAR KBOS 301654Z 00000KT 5SM -RA BR SCT008 SCT015 OVC035 09/09 A2974 RMK AO2 SLP071 P0004 T00940089,0,0.0,0,8045,0,0,1,"-RA,BR"
2026-04-30 15:54:00,METAR KBOS 301554Z 00000KT 7SM -RA FEW008 OVC034 09/08 A2974 RMK AO2 SLP071 P0002 T00940083,0,0.0,0,11263,0,0,0,-RA
2026-04-30 14:54:00,METAR KBOS 301454Z 00000KT 8SM -RA FEW008 OVC032 09/08 A2976 RMK AO2 RAE29B46 SLP076 P0001 60003 T00890078 58009,0,0.0,0,12872,0,0,0,"-RA,RA"
2026-04-30 13:54:00,METAR KBOS 301354Z 07003KT 3SM -RA BR SCT009 BKN060 OVC075 09/07 A2977 RMK AO2 SFC VIS 6 RAB25 SLP079 P0002 T00890072,0,3.0,0,4827,0,0,1,"-RA,BR,FC"
2026-04-30 12:54:00,METAR KBOS 301254Z 08003KT 10SM OVC008 08/07 A2978 RMK AO2 SLP082 T00830072,0,3.0,0,16090,0,0,0,
2026-04-30 11:54:00,METAR KBOS 301154Z 03005KT 10SM OVC009 08/07 A2978 RMK AO2 SLP085 60005 70007 T00830072 10083 20078 53001 $,0,5.0,0,16090,0,0,0,
2026-04-30 10:54:00,METAR KBOS 301054Z 02007KT 10SM BKN007 OVC080 08/07 A2976 RMK AO2 RAE45 SLP077 P0002 T00830072 $,0,7.0,0,16090,0,0,0,
2026-04-30 10:13:00,SPECI KBOS 301013Z 36005KT 10SM -RA BKN009 BKN060 OVC080 08/07 A2977 RMK AO2 P0002 T00780072 $,0,5.0,0,16090,0,0,0,-RA
2026-04-30 09:54:00,METAR KBOS 300954Z 33004KT 10SM -RA SCT007 SCT065 OVC080 08/07 A2977 RMK AO2 SLP081 P0001 T00780072 $,0,4.0,0,16090,0,0,0,-RA
2026-04-30 09:16:00,SPECI KBOS 300916Z 35005KT 7SM -RA SCT007 BKN032 BKN090 OVC250 08/07 A2977 RMK AO2 P0000 T00780072 $,0,5.0,0,11263,0,0,0,-RA
2026-04-30 09:06:00,SPECI KBOS 300906Z 35006KT 6SM -RA BR BKN007 BKN033 OVC100 08/07 A2977 RMK AO2 P0000 T00780072 $,0,6.0,0,9654,0,0,1,"-RA,BR"
