Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:20:00,METAR EGKB 021520Z 16010KT 120V190 CAVOK 20/09 Q1013,1,0,0,9999,0,0,0,
2026-05-02 14:50:00,METAR EGKB 021450Z 17009KT 120V230 9999 FEW049 20/09 Q1014,0,9,0,10000,0,0,0,
2026-05-02 14:20:00,METAR EGKB 021420Z 14007KT 050V170 CAVOK 21/09 Q1014,1,0,0,9999,0,0,0,
2026-05-02 13:50:00,METAR EGKB 021350Z 12006KT 080V160 CAVOK 20/08 Q1015,1,0,0,9999,0,0,0,
2026-05-02 13:20:00,METAR EGKB 021320Z 20007KT 120V250 CAVOK 20/09 Q1015,1,0,0,9999,0,0,0,
2026-05-02 12:50:00,METAR EGKB 021250Z 18007KT 140V220 CAVOK 19/07 Q1016,1,0,0,9999,0,0,0,
2026-05-02 12:20:00,METAR EGKB 021220Z VRB05KT CAVOK 19/07 Q1016,1,0,0,9999,0,0,0,
2026-05-02 11:50:00,METAR EGKB 021150Z 19006KT 120V250 CAVOK 19/06 Q1016,1,0,0,9999,0,0,0,
2026-05-02 11:20:00,METAR EGKB 021120Z 12006KT 030V190 CAVOK 18/07 Q1017,1,0,0,9999,0,0,0,
2026-05-02 10:50:00,METAR EGKB 021050Z VRB04KT CAVOK 17/07 Q1017,1,0,0,9999,0,0,0,
2026-05-02 10:20:00,METAR EGKB 021020Z 24005KT 170V280 CAVOK 17/09 Q1017,1,0,0,9999,0,0,0,
2026-05-02 09:50:00,METAR EGKB 020950Z 20004KT 100V270 CAVOK 15/09 Q1018,1,0,0,9999,0,0,0,
2026-05-02 09:20:00,METAR EGKB 020920Z VRB04KT CAVOK 15/09 Q1018,1,0,0,9999,0,0,0,
2026-05-02 08:50:00,METAR EGKB 020850Z 23003KT 180V280 CAVOK 14/10 Q1018,1,0,0,9999,0,0,0,
2026-05-02 08:20:00,METAR EGKB 020820Z 19004KT 150V230 CAVOK 14/10 Q1018,1,0,0,9999,0,0,0,
2026-05-02 07:50:00,METAR EGKB 020750Z 24003KT 200V290 9000 NSC 12/09 Q1018,0,3,0,9000,0,0,0,
2026-05-02 07:20:00,METAR EGKB 020720Z 22005KT 8000 NSC 11/09 Q1018,0,5,0,8000,0,0,0,
2026-05-02 06:50:00,METAR EGKB 020650Z 21006KT 6000 NSC 10/09 Q1018,0,6,0,6000,0,0,0,
2026-05-02 06:20:00,METAR EGKB 020620Z AUTO 21006KT 9999 NCD 10/09 Q1018,0,6,0,10000,0,0,0,
2026-05-02 05:50:00,METAR EGKB 020550Z AUTO 20005KT 8000 NCD 09/08 Q1018,0,5,0,8000,0,0,0,
2026-05-02 05:20:00,METAR EGKB 020520Z AUTO 21005KT 7000 NCD 09/08 Q1018,0,5,0,7000,0,0,0,
2026-05-02 04:50:00,METAR EGKB 020450Z AUTO 21006KT 5000 BR FEW002/// 09/08 Q1018,0,6,0,5000,0,0,1,BR
2026-05-02 04:20:00,METAR EGKB 020420Z AUTO 21006KT 3300 BR BKN002/// 09/08 Q1018,0,6,0,3300,0,0,1,BR
2026-05-02 03:50:00,METAR EGKB 020350Z AUTO 21006KT 1500 BR VV/// 09/09 Q1018,0,6,0,1500,0,0,1,BR
2026-05-02 03:20:00,METAR EGKB 020320Z AUTO 20007KT 1900 BR BKN002/// 09/09 Q1019,0,7,0,1900,0,0,1,BR
2026-05-02 02:50:00,METAR EGKB 020250Z AUTO 19006KT 2400 BR OVC002/// 09/09 Q1019,0,6,0,2400,0,0,1,BR
2026-05-02 02:20:00,METAR EGKB 020220Z AUTO 19006KT 4400 BR SCT002/// 10/09 Q1019,0,6,0,4400,0,0,1,BR
2026-05-02 01:50:00,METAR EGKB 020150Z AUTO 19005KT 9000 NCD 09/08 Q1019,0,5,0,9000,0,0,0,
2026-05-02 01:20:00,METAR EGKB 020120Z AUTO 21003KT 8000 NCD 10/08 Q1019,0,3,0,8000,0,0,0,
2026-05-02 00:50:00,METAR EGKB 020050Z AUTO 20004KT 170V230 9999 NCD 10/08 Q1019,0,4,0,10000,0,0,0,
2026-05-02 00:20:00,METAR EGKB 020020Z AUTO 22006KT 9999 NCD 10/08 Q1020,0,6,0,10000,0,0,0,
2026-05-01 23:50:00,METAR EGKB 012350Z AUTO 20006KT 170V230 9999 NCD 11/09 Q1020,0,6,0,10000,0,0,0,
2026-05-01 23:20:00,METAR EGKB 012320Z AUTO 19008KT 160V220 9999 NCD 12/10 Q1020,0,8,0,10000,0,0,0,
2026-05-01 22:50:00,METAR EGKB 012250Z AUTO 19006KT 160V220 9999 NCD 13/09 Q1020,0,6,0,10000,0,0,0,
2026-05-01 22:20:00,METAR EGKB 012220Z AUTO 20008KT 9999 NCD 13/10 Q1020,0,8,0,10000,0,0,0,
2026-05-01 21:50:00,METAR EGKB 012150Z 21007KT 180V240 CAVOK 14/10 Q1020,1,0,0,9999,0,0,0,
2026-05-01 21:20:00,METAR EGKB 012120Z 21006KT 170V230 CAVOK 15/11 Q1020,1,0,0,9999,0,0,0,
2026-05-01 20:50:00,METAR EGKB 012050Z 21006KT CAVOK 15/11 Q1020,1,0,0,9999,0,0,0,
2026-05-01 20:20:00,METAR EGKB 012020Z 23004KT CAVOK 16/11 Q1020,1,0,0,9999,0,0,0,
2026-05-01 19:50:00,METAR EGKB 011950Z 21005KT CAVOK 16/12 Q1020,1,0,0,9999,0,0,0,
2026-05-01 19:20:00,METAR EGKB 011920Z 21006KT 9999 FEW042 17/12 Q1020,0,6,0,10000,0,0,0,
2026-05-01 18:50:00,METAR EGKB 011850Z 21006KT 180V240 9999 FEW042 17/12 Q1019,0,6,0,10000,0,0,0,
2026-05-01 18:20:00,METAR EGKB 011820Z 21008KT 180V240 9999 -SHRA FEW030 18/12 Q1020,0,8,0,10000,0,0,0,RA
2026-05-01 17:50:00,METAR EGKB 011750Z 22008KT 9999 FEW030 19/12 Q1019,0,8,0,10000,0,0,0,
2026-05-01 17:20:00,METAR EGKB 011720Z 22009KT 180V250 9999 FEW030 19/12 Q1019,0,9,0,10000,0,0,0,
2026-05-01 16:50:00,METAR EGKB 011650Z 22009KT 180V250 9999 FEW025 19/12 Q1019,0,9,0,10000,0,0,0,
2026-05-01 16:20:00,METAR EGKB 011620Z 19010KT 170V230 9999 FEW025 19/13 Q1020,0,10,0,10000,0,0,0,
2026-05-01 15:50:00,METAR EGKB 011550Z 18012KT 150V220 9999 FEW027 20/13 Q1020,0,12,0,10000,0,0,0,
2026-05-01 15:20:00,METAR EGKB 011520Z 20011KT 150V240 9999 FEW040 21/13 Q1020,0,11,0,10000,0,0,0,
2026-05-01 14:50:00,METAR EGKB 011450Z 19011KT 150V220 9999 FEW040 22/12 Q1020,0,11,0,10000,0,0,0,
2026-05-01 14:20:00,METAR EGKB 011420Z 19009KT 150V230 CAVOK 22/12 Q1020,1,0,0,9999,0,0,0,
2026-05-01 13:50:00,METAR EGKB 011350Z 21012KT 150V250 CAVOK 22/10 Q1020,1,0,0,9999,0,0,0,
2026-05-01 13:20:00,METAR EGKB 011320Z 19010KT 150V220 CAVOK 22/08 Q1020,1,0,0,9999,0,0,0,
2026-05-01 12:50:00,METAR EGKB 011250Z 16009KT 130V200 CAVOK 22/07 Q1020,1,0,0,9999,0,0,0,
2026-05-01 12:20:00,METAR EGKB 011220Z 17009KT 140V200 CAVOK 21/07 Q1020,1,0,0,9999,0,0,0,
2026-05-01 11:50:00,METAR EGKB 011150Z 14008KT 100V200 CAVOK 21/07 Q1020,1,0,0,9999,0,0,0,
2026-05-01 11:20:00,METAR EGKB 011120Z 14008KT 100V170 CAVOK 21/06 Q1020,1,0,0,9999,0,0,0,
2026-05-01 10:50:00,METAR EGKB 011050Z 13006KT 090V190 CAVOK 20/06 Q1021,1,0,0,9999,0,0,0,
2026-05-01 10:20:00,METAR EGKB 011020Z 14007KT 100V170 CAVOK 19/06 Q1021,1,0,0,9999,0,0,0,
2026-05-01 09:50:00,METAR EGKB 010950Z 12007KT 090V170 CAVOK 19/05 Q1021,1,0,0,9999,0,0,0,
2026-05-01 09:20:00,METAR EGKB 010920Z 13007KT 100V160 CAVOK 18/04 Q1021,1,0,0,9999,0,0,0,
2026-05-01 08:50:00,METAR EGKB 010850Z 13004KT 100V160 CAVOK 17/04 Q1021,1,0,0,9999,0,0,0,
2026-05-01 08:20:00,METAR EGKB 010820Z 14006KT 110V170 CAVOK 16/03 Q1021,1,0,0,9999,0,0,0,
2026-05-01 07:50:00,METAR EGKB 010750Z 16007KT 130V190 CAVOK 15/02 Q1021,1,0,0,9999,0,0,0,
2026-05-01 07:20:00,METAR EGKB 010720Z 16011KT CAVOK 14/02 Q1021,1,0,0,9999,0,0,0,
2026-05-01 06:50:00,METAR EGKB 010650Z 16011KT CAVOK 13/01 Q1021,1,0,0,9999,0,0,0,
2026-05-01 06:20:00,METAR EGKB 010620Z 15011KT CAVOK 13/01 Q1021,1,0,0,9999,0,0,0,
2026-05-01 05:50:00,METAR EGKB 010550Z 14014KT CAVOK 12/M00 Q1020,1,0,0,9999,0,0,0,
2026-05-01 05:20:00,METAR EGKB 010520Z 14014KT CAVOK 11/M00 Q1020,1,0,0,9999,0,0,0,
2026-05-01 04:50:00,METAR EGKB 010450Z AUTO 14012KT 9999 NCD 11/M00 Q1020,0,12,0,10000,0,0,0,
2026-05-01 04:20:00,METAR EGKB 010420Z AUTO 14012KT 9999 NCD 11/00 Q1020,0,12,0,10000,0,0,0,
2026-05-01 03:50:00,METAR EGKB 010350Z AUTO 14012KT 9999 NCD 11/01 Q1020,0,12,0,10000,0,0,0,
2026-05-01 03:20:00,METAR EGKB 010320Z AUTO 14013KT 9999 NCD 12/M00 Q1020,0,13,0,10000,0,0,0,
2026-05-01 02:50:00,METAR EGKB 010250Z AUTO 15012KT 9999 NCD 12/M01 Q1020,0,12,0,10000,0,0,0,
2026-05-01 02:20:00,METAR EGKB 010220Z AUTO 14013KT 9999 NCD 13/M00 Q1021,0,13,0,10000,0,0,0,
2026-05-01 01:50:00,METAR EGKB 010150Z AUTO 14012KT 9999 NCD 12/00 Q1021,0,12,0,10000,0,0,0,
2026-05-01 01:20:00,METAR EGKB 010120Z AUTO 14012KT 9999 NCD 12/01 Q1021,0,12,0,10000,0,0,0,
2026-05-01 00:50:00,METAR EGKB 010050Z AUTO 14010KT 9999 NCD 12/01 Q1021,0,10,0,10000,0,0,0,
2026-05-01 00:20:00,METAR EGKB 010020Z AUTO 14009KT 9999 NCD 12/01 Q1021,0,9,0,10000,0,0,0,
2026-04-30 23:50:00,METAR EGKB 302350Z AUTO 14011KT 9999 NCD 13/01 Q1021,0,11,0,10000,0,0,0,
2026-04-30 23:20:00,METAR EGKB 302320Z AUTO 13009KT 9999 NCD 12/01 Q1021,0,9,0,10000,0,0,0,
2026-04-30 22:50:00,METAR EGKB 302250Z AUTO 12007KT 9999 NCD 12/02 Q1021,0,7,0,10000,0,0,0,
2026-04-30 22:20:00,METAR EGKB 302220Z AUTO 11006KT 9999 NCD 11/02 Q1021,0,6,0,10000,0,0,0,
2026-04-30 21:50:00,METAR EGKB 302150Z 10004KT CAVOK 12/02 Q1021,1,0,0,9999,0,0,0,
2026-04-30 21:20:00,METAR EGKB 302120Z VRB02KT CAVOK 10/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 20:50:00,METAR EGKB 302050Z 09005KT CAVOK 10/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 20:20:00,METAR EGKB 302020Z 08006KT CAVOK 10/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 19:50:00,METAR EGKB 301950Z 06007KT CAVOK 11/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 19:20:00,METAR EGKB 301920Z 06005KT CAVOK 12/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 18:50:00,METAR EGKB 301850Z 07006KT CAVOK 14/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 18:20:00,METAR EGKB 301820Z 06008KT CAVOK 15/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 17:50:00,METAR EGKB 301750Z 07009KT CAVOK 16/03 Q1021,1,0,0,9999,0,0,0,
2026-04-30 17:20:00,METAR EGKB 301720Z 06010KT 030V090 CAVOK 16/03 Q1021,1,0,0,9999,0,0,0,
2026-04-30 16:50:00,METAR EGKB 301650Z 07011KT CAVOK 17/04 Q1021,1,0,0,9999,0,0,0,
2026-04-30 16:20:00,METAR EGKB 301620Z 07013KT CAVOK 17/04 Q1021,1,0,0,9999,0,0,0,
