Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:00:00,METAR RPVM 021500Z 33003KT 9000 FEW035 28/25 Q1010 NOSIG RMK A2983,0,3,0,9000,0,0,0,
2026-05-02 14:00:00,METAR RPVM 021400Z 35003KT 310V020 9999 FEW007CB SCT010 BKN015 28/26 Q1010 NOSIG RMK A2983 CB SE-SW,0,3,0,10000,0,0,0,
2026-05-02 13:00:00,METAR RPVM 021300Z 33004KT 9999 FEW003 28/26 Q1010 NOSIG RMK A2983,0,4,0,10000,0,0,0,
2026-05-02 12:00:00,METAR RPVM 021200Z 03007KT 9999 FEW004 SCT049 28/25 Q1009 NOSIG RMK A2980,0,7,0,10000,0,0,0,
2026-05-02 11:00:00,METAR RPVM 021100Z 04008KT 9999 FEW003CB SCT004 BKN045 28/26 Q1008 NOSIG RMK A2977,0,8,0,10000,0,0,0,
2026-05-02 10:00:00,METAR RPVM 021000Z 02009KT 9999 FEW003CB SCT005 BKN020 28/26 Q1008 RESHRA NOSIG RMK A2977 CB SW,0,9,0,10000,0,0,0,RA
2026-05-02 09:16:00,SPECI RPVM 020916Z 04015KT 3000 +SHRA SCT005CB BKN007 BKN017 29/25 Q1008 NOSIG RMK A2977 CB OHD,0,15,0,3000,0,0,0,RA
2026-05-02 09:00:00,"METAR RPVM 020900Z 03015KT 9999 VCSH SCT004CB SCT007 BKN021 30/26 Q1007 NOSIG RMK A2974 CB/VCSH N-NE,SE-S",0,15,0,10000,0,0,0,"SH,VC"
2026-05-02 08:00:00,"METAR RPVM 020800Z 03016KT 9999 FEW017CB SCT045 30/25 Q1007 NOSIG RMK A2974 CB NE-SE,SW",0,16,0,10000,0,0,0,
2026-05-02 07:00:00,"METAR RPVM 020700Z 04014KT 9999 FEW011CB SCT032 29/26 Q1007 NOSIG RMK A2974 CB SE-S,SW-NW",0,14,0,10000,0,0,0,
2026-05-02 06:41:00,"SPECI RPVM 020641Z 04014KT 9999 DZ FEW011CB BKN032 31/25 Q1007 NOSIG RMK A2974 CB S-SW,W-N",0,14,0,10000,0,0,0,DZ
2026-05-02 06:00:00,"METAR RPVM 020600Z 03013KT 9999 VCSH FEW019CB 32/25 Q1008 NOSIG RMK A2977 VCSH E,SW-N",0,13,0,10000,0,0,0,"SH,VC"
2026-05-02 05:00:00,"METAR RPVM 020500Z 04013KT 010V070 9999 FEW018CB 32/25 Q1008 NOSIG RMK A2977 CB NE,W-NW",0,13,0,10000,0,0,0,
2026-05-02 04:00:00,"METAR RPVM 020400Z 04012KT 9999 FEW033CB 32/25 Q1009 NOSIG RMK A2980 CB NE,S,W-NW",0,12,0,10000,0,0,0,
2026-05-02 03:00:00,"METAR RPVM 020300Z 05009KT 010V080 9999 FEW026CB 32/23 Q1010 NOSIG RMK A2983 CB NE,SE,W-NW",0,9,0,10000,0,0,0,
2026-05-02 02:00:00,METAR RPVM 020200Z 05008KT 020V100 9999 FEW017TCU 32/25 Q1010 NOSIG RMK A2983 TCU SW-NW,0,8,0,10000,0,0,0,
2026-05-02 01:00:00,METAR RPVM 020100Z 04006KT 360V070 CAVOK 31/24 Q1010 NOSIG RMK A2983,1,0,0,9999,0,0,0,
2026-05-02 00:00:00,"METAR RPVM 020000Z 05005KT 010V080 9999 FEW014TCU SCT019 31/25 Q1010 NOSIG RMK A2983 TCU S,SW,W",0,5,0,10000,0,0,0,
2026-05-01 23:00:00,METAR RPVM 012300Z 35006KT 330V030 9999 FEW005CB 29/26 Q1010 NOSIG RMK A2983 CB SE,0,6,0,10000,0,0,0,
2026-05-01 22:00:00,METAR RPVM 012200Z 02003KT 9999 FEW004CB 27/25 Q1009 NOSIG RMK A2980 CB S,0,3,0,10000,0,0,0,
2026-05-01 21:00:00,METAR RPVM 012100Z 04003KT 360V080 9999 FEW004 26/25 Q1008 NOSIG RMK A2977,0,3,0,10000,0,0,0,
2026-05-01 20:00:00,METAR RPVM 012000Z VRB02KT 5000 NSC 26/25 Q1008 NOSIG RMK A2977,0,2,0,5000,0,0,0,
2026-05-01 19:00:00,METAR RPVM 011900Z 36002KT 7000 NSC 27/25 Q1008 NOSIG RMK A2977,0,2,0,7000,0,0,0,
2026-05-01 18:00:00,METAR RPVM 011800Z VRB01KT 9999 FEW005CB 27/25 Q1008 NOSIG RMK A2977 CB SE,0,1,0,10000,0,0,0,
2026-05-01 17:00:00,METAR RPVM 011700Z 33004KT 310V030 9999 FEW006CB SCT016 BKN049 27/25 Q1009 NOSIG RMK A2980 CB N/S-SW,0,4,0,10000,0,0,0,
2026-05-01 16:23:00,SPECI RPVM 011623Z 34003KT 310V030 8000 -SHRA SCT003CB SCT006 BKN015 28/25 Q1009 NOSIG RMK A2980 CB OHD/W-N,0,3,0,8000,0,0,0,RA
2026-05-01 16:00:00,METAR RPVM 011600Z COR 02005KT 350V050 9999 FEW004CB SCT009 29/25 Q1010 NOSIG RMK A2983 CB N,0,5,0,10000,0,0,0,
2026-05-01 15:00:00,METAR RPVM 011500Z 03010KT 9999 FEW006CB SCT030 29/25 Q1010 NOSIG RMK A2983 CB S,0,10,0,10000,0,0,0,
2026-05-01 14:00:00,METAR RPVM 011400Z 05011KT 9999 FEW010CB SCT013 30/25 Q1010 NOSIG RMK A2983 CB S,0,11,0,10000,0,0,0,
2026-05-01 13:00:00,METAR RPVM 011300Z 04012KT 9999 FEW012 30/25 Q1010 NOSIG RMK A2983,0,12,0,10000,0,0,0,
2026-05-01 12:00:00,METAR RPVM 011200Z 05010KT 9999 FEW015 30/25 Q1009 NOSIG RMK A2980,0,10,0,10000,0,0,0,
2026-05-01 11:00:00,METAR RPVM 011100Z 04007KT 9999 SCT025 30/25 Q1009 NOSIG RMK A2980,0,7,0,10000,0,0,0,
2026-05-01 10:00:00,METAR RPVM 011000Z 03006KT CAVOK 30/24 Q1008 NOSIG RMK A2977,1,0,0,9999,0,0,0,
2026-05-01 09:00:00,METAR RPVM 010900Z 05007KT 020V080 CAVOK 32/24 Q1008 NOSIG RMK A2977,1,0,0,9999,0,0,0,
2026-05-01 08:00:00,METAR RPVM 010800Z 04009KT CAVOK 33/23 Q1008 NOSIG RMK A2977,1,0,0,9999,0,0,0,
2026-05-01 07:00:00,METAR RPVM 010700Z 04010KT CAVOK 33/23 Q1008 NOSIG RMK A2977,1,0,0,9999,0,0,0,
2026-05-01 06:00:00,METAR RPVM 010600Z 03009KT 360V060 CAVOK 33/23 Q1008 NOSIG RMK A2977,1,0,0,9999,0,0,0,
2026-05-01 05:00:00,METAR RPVM 010500Z 04009KT 010V070 CAVOK 33/23 Q1009 NOSIG RMK A2980,1,0,0,9999,0,0,0,
2026-05-01 04:00:00,METAR RPVM 010400Z 05009KT 020V080 9999 FEW047 32/24 Q1010 NOSIG RMK A2983,0,9,0,10000,0,0,0,
2026-05-01 03:00:00,METAR RPVM 010300Z 03008KT 360V070 CAVOK 32/24 Q1011 NOSIG RMK A2985,1,0,0,9999,0,0,0,
2026-05-01 02:00:00,METAR RPVM 010200Z 03009KT 340V060 9999 FEW020 31/25 Q1011 NOSIG RMK A2985,0,9,0,10000,0,0,0,
2026-05-01 01:00:00,METAR RPVM 010100Z 03010KT 9999 FEW020 31/25 Q1011 NOSIG RMK A2985,0,10,0,10000,0,0,0,
2026-05-01 00:00:00,METAR RPVM 010000Z 03013KT CAVOK 30/25 Q1011 NOSIG RMK A2985,1,0,0,9999,0,0,0,
