Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:35:00,METAR KMQS 021535Z AUTO 34007KT 10SM BKN200 BKN220 11/01 A2992 RMK AO2 T01150011,0,7,0,16090,0,0,0,
2026-05-02 15:15:00,METAR KMQS 021515Z AUTO VRB06KT 10SM BKN200 11/02 A2993 RMK AO2 T01090019,0,6,0,16090,0,0,0,
2026-05-02 14:55:00,METAR KMQS 021455Z AUTO 35008KT 10SM BKN210 11/02 A2992 RMK AO2 T01070022 58002,0,8,0,16090,0,0,0,
2026-05-02 14:35:00,METAR KMQS 021435Z AUTO 02009KT 10SM BKN220 10/02 A2992 RMK AO2 T01020019,0,9,0,16090,0,0,0,
2026-05-02 14:15:00,METAR KMQS 021415Z AUTO 02009KT 10SM FEW200 SCT230 10/02 A2992 RMK AO2 T00990016,0,9,0,16090,0,0,0,
2026-05-02 13:55:00,METAR KMQS 021355Z AUTO 36007KT 10SM FEW022 BKN230 09/04 A2992 RMK AO2 T00920044,0,7,0,16090,0,0,0,
2026-05-02 13:35:00,METAR KMQS 021335Z AUTO 33010KT 10SM BKN021 BKN230 09/05 A2993 RMK AO2 CIG 018V024 BKN021 V SCT T00920048,0,10,0,16090,0,0,0,
2026-05-02 13:15:00,METAR KMQS 021315Z AUTO 35011KT 10SM BKN020 BKN075 09/05 A2993 RMK AO2 CIG 018V023 T00860048,0,11,0,16090,0,0,0,
2026-05-02 12:55:00,METAR KMQS 021255Z AUTO 36010KT 10SM BKN018 BKN024 OVC080 08/05 A2993 RMK AO2 CIG 017V021 T00840051,0,10,0,16090,0,0,0,
2026-05-02 12:35:00,METAR KMQS 021235Z AUTO 35010G17KT 10SM SCT018 SCT024 BKN090 08/05 A2993 RMK AO2 T00820050,0,10,1,16090,0,0,0,
2026-05-02 12:15:00,METAR KMQS 021215Z AUTO 33009KT 10SM BKN015 BKN095 08/05 A2992 RMK AO2 CIG 014V019 T00810052,0,9,0,16090,0,0,0,
2026-05-02 11:55:00,METAR KMQS 021155Z AUTO 32012KT 10SM BKN015 07/05 A2992 RMK AO2 CIG 014V018 T00740051 10101 20074 53013,0,12,0,16090,0,0,0,
2026-05-02 11:35:00,METAR KMQS 021135Z AUTO 32010KT 10SM SCT015 07/05 A2992 RMK AO2 T00740054,0,10,0,16090,0,0,0,
2026-05-02 11:15:00,METAR KMQS 021115Z AUTO 32008KT 10SM FEW017 SCT250 08/05 A2991 RMK AO2 T00770053,0,8,0,16090,0,0,0,
2026-05-02 10:55:00,METAR KMQS 021055Z AUTO 31009KT 9SM FEW016 BKN085 08/06 A2990 RMK AO2 T00780057,0,9,0,14481,0,0,0,
2026-05-02 10:35:00,METAR KMQS 021035Z AUTO 31012KT 9SM SCT016 BKN023 OVC095 08/06 A2990 RMK AO2 T00790063,0,12,0,14481,0,0,0,
2026-05-02 10:15:00,METAR KMQS 021015Z AUTO 30014KT 10SM BKN019 BKN025 08/06 A2989 RMK AO2 CIG 016V023 T00810062,0,14,0,16090,0,0,0,
2026-05-02 09:55:00,METAR KMQS 020955Z AUTO 29007KT 10SM FEW075 08/06 A2989 RMK AO2 T00800062,0,7,0,16090,0,0,0,
2026-05-02 09:35:00,METAR KMQS 020935Z AUTO 30010KT 10SM BKN075 08/07 A2989 RMK AO2 T00830066,0,10,0,16090,0,0,0,
2026-05-02 09:15:00,METAR KMQS 020915Z AUTO 28009KT 10SM SCT021 BKN075 09/08 A2989 RMK AO2 T00870077,0,9,0,16090,0,0,0,
2026-05-02 08:55:00,METAR KMQS 020855Z AUTO 25003KT 10SM FEW023 OVC070 09/07 A2989 RMK AO2 T00890075 55000,0,3,0,16090,0,0,0,
2026-05-02 08:35:00,METAR KMQS 020835Z AUTO 00000KT 10SM OVC070 09/08 A2988 RMK AO2 T00900075,0,0,0,16090,0,0,0,
2026-05-02 08:15:00,METAR KMQS 020815Z AUTO 31003KT 10SM OVC070 09/07 A2987 RMK AO2 T00850074,0,3,0,16090,0,0,0,
2026-05-02 07:55:00,METAR KMQS 020755Z AUTO 00000KT 10SM OVC060 10/07 A2987 RMK AO2 T00960074,0,0,0,16090,0,0,0,
2026-05-02 07:35:00,METAR KMQS 020735Z AUTO 35003KT 10SM BKN055 OVC065 10/07 A2987 RMK AO2 T00980073,0,3,0,16090,0,0,0,
2026-05-02 07:15:00,METAR KMQS 020715Z AUTO 33004KT 10SM BKN047 OVC065 10/07 A2988 RMK AO2 T00970073,0,4,0,16090,0,0,0,
2026-05-02 06:55:00,METAR KMQS 020655Z AUTO 00000KT 10SM SCT046 BKN110 OVC130 09/08 A2989 RMK AO2 T00930075,0,0,0,16090,0,0,0,
2026-05-02 06:35:00,METAR KMQS 020635Z AUTO 33003KT 10SM FEW042 SCT075 BKN110 OVC130 10/07 A2988 RMK AO2 T00980071,0,3,0,16090,0,0,0,
2026-05-02 06:15:00,METAR KMQS 020615Z AUTO 34006KT 10SM BKN075 OVC130 10/07 A2988 RMK AO2 T01000072,0,6,0,16090,0,0,0,
2026-05-02 05:55:00,METAR KMQS 020555Z AUTO 31009KT 10SM FEW060 SCT080 OVC130 10/07 A2989 RMK AO2 RAB0525E0539 P0000 60000 T01000075 10133 20094 401660025 50000,0,9,0,16090,0,0,0,RA
2026-05-02 05:35:00,METAR KMQS 020535Z AUTO 30007KT 9SM -RA SCT065 BKN080 BKN140 10/08 A2989 RMK AO2 RAB0525 P0000 T00960080,0,7,0,14481,0,0,0,"-RA,RA"
2026-05-02 05:15:00,METAR KMQS 020515Z AUTO 28004KT 10SM BKN065 OVC085 11/07 A2989 RMK AO2 T01070074,0,4,0,16090,0,0,0,
2026-05-02 04:55:00,METAR KMQS 020455Z AUTO VRB03KT 10SM OVC065 11/08 A2989 RMK AO2 T01050082,0,3,0,16090,0,0,0,
2026-05-02 04:35:00,METAR KMQS 020435Z AUTO 00000KT 10SM OVC070 11/08 A2989 RMK AO2 T01070080,0,0,0,16090,0,0,0,
2026-05-02 04:15:00,METAR KMQS 020415Z AUTO 28003KT 9SM OVC065 10/09 A2989 RMK AO2 T01020090,0,3,0,14481,0,0,0,
2026-05-02 03:55:00,METAR KMQS 020355Z AUTO 00000KT 9SM OVC065 10/09 A2989 RMK AO2 RAB0311E0324 P0000 T00980091,0,0,0,14481,0,0,0,RA
2026-05-02 03:35:00,METAR KMQS 020335Z AUTO 00000KT 10SM BKN070 OVC090 10/09 A2989 RMK AO2 RAB0311E0324 P0000 T01020089,0,0,0,16090,0,0,0,RA
2026-05-02 03:15:00,METAR KMQS 020315Z AUTO 00000KT 8SM -RA FEW046 BKN070 BKN080 10/09 A2988 RMK AO2 RAB0311 P0000 T01050085,0,0,0,12872,0,0,0,"-RA,RA"
2026-05-02 02:55:00,METAR KMQS 020255Z AUTO 00000KT 10SM BKN075 OVC100 11/08 A2988 RMK AO2 T01080080 51008,0,0,0,16090,0,0,0,
2026-05-02 02:35:00,METAR KMQS 020235Z AUTO 00000KT 10SM SCT075 OVC100 11/08 A2988 RMK AO2 T01070075,0,0,0,16090,0,0,0,
2026-05-02 02:15:00,METAR KMQS 020215Z AUTO 00000KT 10SM OVC070 11/07 A2989 RMK AO2 T01110067,0,0,0,16090,0,0,0,
2026-05-02 01:55:00,METAR KMQS 020155Z AUTO 00000KT 10SM BKN070 OVC090 12/05 A2989 RMK AO2 T01160054,0,0,0,16090,0,0,0,
2026-05-02 01:35:00,METAR KMQS 020135Z AUTO 17003KT 10SM BKN080 OVC100 12/04 A2988 RMK AO2 T01190041,0,3,0,16090,0,0,0,
2026-05-02 01:15:00,METAR KMQS 020115Z AUTO VRB05KT 10SM BKN080 OVC110 12/03 A2987 RMK AO2 T01210026,0,5,0,16090,0,0,0,
2026-05-02 00:55:00,METAR KMQS 020055Z AUTO 00000KT 10SM BKN085 13/02 A2986 RMK AO2 T01250022,0,0,0,16090,0,0,0,
2026-05-02 00:35:00,METAR KMQS 020035Z AUTO 00000KT 10SM SCT095 13/03 A2986 RMK AO2 T01260025,0,0,0,16090,0,0,0,
2026-05-02 00:15:00,METAR KMQS 020015Z AUTO 00000KT 10SM BKN100 13/02 A2985 RMK AO2 T01300025,0,0,0,16090,0,0,0,
2026-05-01 23:55:00,METAR KMQS 012355Z AUTO VRB03KT 9SM CLR 14/02 A2986 RMK AO2 T01360020 10166 20136 53001,0,3,0,14481,0,0,0,
2026-05-01 23:35:00,METAR KMQS 012335Z AUTO VRB05KT 10SM CLR 14/02 A2985 RMK AO2 T01400020,0,5,0,16090,0,0,0,
2026-05-01 23:15:00,METAR KMQS 012315Z AUTO VRB03KT 10SM CLR 14/02 A2985 RMK AO2 T01440020,0,3,0,16090,0,0,0,
2026-05-01 22:55:00,METAR KMQS 012255Z AUTO VRB04KT 10SM CLR 15/02 A2984 RMK AO2 T01480023,0,4,0,16090,0,0,0,
2026-05-01 22:35:00,METAR KMQS 012235Z AUTO VRB06KT 10SM CLR 15/02 A2985 RMK AO2 T01500022,0,6,0,16090,0,0,0,
2026-05-01 22:15:00,METAR KMQS 012215Z AUTO 18006KT 10SM CLR 15/02 A2985 RMK AO2 T01530024,0,6,0,16090,0,0,0,
2026-05-01 21:55:00,METAR KMQS 012155Z AUTO 20006KT 10SM CLR 16/02 A2985 RMK AO2 T01580025,0,6,0,16090,0,0,0,
2026-05-01 21:35:00,METAR KMQS 012135Z AUTO VRB06KT 10SM CLR 16/02 A2985 RMK AO2 T01580023,0,6,0,16090,0,0,0,
2026-05-01 21:15:00,METAR KMQS 012115Z AUTO 20007KT 160V230 10SM CLR 16/02 A2985 RMK AO2 T01580023,0,7,0,16090,0,0,0,
2026-05-01 20:55:00,METAR KMQS 012055Z AUTO VRB05KT 10SM FEW060 16/02 A2986 RMK AO2 T01560022 56015,0,5,0,16090,0,0,0,
2026-05-01 20:35:00,METAR KMQS 012035Z AUTO VRB05KT 10SM SCT060 16/03 A2986 RMK AO2 T01630028,0,5,0,16090,0,0,0,
2026-05-01 20:15:00,METAR KMQS 012015Z AUTO VRB05KT 10SM FEW060 16/02 A2986 RMK AO2 T01610022,0,5,0,16090,0,0,0,
2026-05-01 19:55:00,METAR KMQS 011955Z AUTO 24006G19KT 210V270 10SM CLR 16/01 A2986 RMK AO2 T01610007,0,6,1,16090,0,0,0,
2026-05-01 19:35:00,METAR KMQS 011935Z AUTO 27006KT 10SM CLR 16/01 A2987 RMK AO2 T01610006,0,6,0,16090,0,0,0,
2026-05-01 19:15:00,METAR KMQS 011915Z AUTO 26006KT 10SM CLR 16/01 A2988 RMK AO2 T01580013,0,6,0,16090,0,0,0,
2026-05-01 18:55:00,METAR KMQS 011855Z AUTO VRB04KT 10SM CLR 16/01 A2989 RMK AO2 T01560009,0,4,0,16090,0,0,0,
2026-05-01 18:35:00,METAR KMQS 011835Z AUTO 30007KT 10SM CLR 16/01 A2989 RMK AO2 T01570013,0,7,0,16090,0,0,0,
2026-05-01 17:55:00,METAR KMQS 011755Z AUTO 00000KT 10SM CLR 15/01 A2990 RMK AO2 T01460008 10149 20078 56015,0,0,0,16090,0,0,0,
2026-05-01 17:35:00,METAR KMQS 011735Z AUTO 30008KT 270V330 10SM FEW380 15/01 A2990 RMK AO2 T01480013,0,8,0,16090,0,0,0,
2026-05-01 17:15:00,METAR KMQS 011715Z AUTO 14003KT 10SM CLR 14/00 A2991 RMK AO2 T01370004,0,3,0,16090,0,0,0,
2026-05-01 16:55:00,METAR KMQS 011655Z AUTO 25004KT 10SM CLR 14/00 A2991 RMK AO2 T01410004,0,4,0,16090,0,0,0,
