Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:20:00,METAR EGLF 021520Z 14007KT 110V190 9999 VCSH FEW040 19/11 Q1013,0,7,0,10000,0,0,0,"SH,VC"
2026-05-02 14:50:00,METAR EGLF 021450Z 15008KT 130V190 9999 FEW040 20/11 Q1013,0,8,0,10000,0,0,0,
2026-05-02 14:20:00,METAR EGLF 021420Z 11008KT 080V150 9999 FEW045 20/10 Q1013,0,8,0,10000,0,0,0,
2026-05-02 13:50:00,METAR EGLF 021350Z 15006KT 100V200 9999 FEW045 20/09 Q1014,0,6,0,10000,0,0,0,
2026-05-02 13:20:00,METAR EGLF 021320Z AUTO 14005KT 070V200 9999 NCD 21/10 Q1014,0,5,0,10000,0,0,0,
2026-05-02 12:50:00,METAR EGLF 021250Z AUTO 10006KT 040V190 9999 NCD 20/09 Q1015,0,6,0,10000,0,0,0,
2026-05-02 12:20:00,METAR EGLF 021220Z AUTO VRB04KT 9999 NCD 20/09 Q1015,0,4,0,10000,0,0,0,
2026-05-02 11:50:00,METAR EGLF 021150Z AUTO VRB03KT 9999 NCD 18/09 Q1016,0,3,0,10000,0,0,0,
2026-05-02 11:20:00,METAR EGLF 021120Z AUTO VRB03KT 9999 NCD 17/09 Q1016,0,3,0,10000,0,0,0,
2026-05-02 10:50:00,METAR EGLF 021050Z AUTO VRB04KT 9999 NCD 17/10 Q1017,0,4,0,10000,0,0,0,
2026-05-02 10:20:00,METAR EGLF 021020Z AUTO 17004KT 120V280 9999 FEW024/// 17/10 Q1017,0,4,0,10000,0,0,0,
2026-05-02 09:50:00,METAR EGLF 020950Z AUTO 18004KT 110V250 9999 NCD 15/09 Q1017,0,4,0,10000,0,0,0,
2026-05-02 09:20:00,METAR EGLF 020920Z AUTO VRB02KT 9999 NCD 14/09 Q1018,0,2,0,10000,0,0,0,
2026-05-02 08:50:00,METAR EGLF 020850Z 17003KT 080V230 CAVOK 13/09 Q1018,1,0,0,9999,0,0,0,
2026-05-02 08:20:00,METAR EGLF 020820Z VRB02KT 9999 FEW006 11/09 Q1018,0,2,0,10000,0,0,0,
2026-05-02 07:50:00,METAR EGLF 020750Z VRB02KT 9999 FEW004 SCT007 10/09 Q1018,0,2,0,10000,0,0,0,
2026-05-02 07:20:00,METAR EGLF 020720Z VRB02KT 4800 BR BKN002 10/09 Q1018,0,2,0,4800,0,0,1,BR
2026-05-02 06:50:00,METAR EGLF 020650Z VRB02KT 4000 BR BKN001 09/09 Q1018,0,2,0,4000,0,0,1,BR
2026-05-02 06:20:00,METAR EGLF 020620Z AUTO VRB02KT 3300 BR BKN001/// 09/09 Q1018,0,2,0,3300,0,0,1,BR
2026-05-02 05:50:00,METAR EGLF 020550Z AUTO 18003KT 150V220 2300 BR OVC001/// 09/09 Q1018,0,3,0,2300,0,0,1,BR
