Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR RJFF 021530Z AUTO 15017KT 9999 NSC 20/10 Q1010 NOSIG,0,17,0,10000,0,0,0,
2026-05-02 15:00:00,METAR RJFF 021500Z AUTO 17013KT 9999 NSC 20/11 Q1010 NOSIG,0,13,0,10000,0,0,0,
2026-05-02 14:30:00,METAR RJFF 021430Z AUTO VRB01KT 9999 NSC 19/12 Q1011 BECMG 14008KT,0,1,0,10000,0,0,0,
2026-05-02 14:00:00,METAR RJFF 021400Z AUTO VRB02KT 9999 NSC 19/11 Q1011 BECMG 14008KT,0,2,0,10000,0,0,0,
2026-05-02 13:30:00,METAR RJFF 021330Z VRB01KT CAVOK 19/10 Q1011 BECMG 09006KT,1,0,0,9999,0,0,0,
2026-05-02 13:00:00,METAR RJFF 021300Z 10003KT 070V130 CAVOK 19/11 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 12:30:00,METAR RJFF 021230Z 05003KT 010V150 CAVOK 19/11 Q1012 BECMG 09006KT,1,0,0,9999,0,0,0,
2026-05-02 12:00:00,METAR RJFF 021200Z 05004KT 010V070 CAVOK 19/11 Q1012 BECMG 09006KT,1,0,0,9999,0,0,0,
2026-05-02 11:30:00,METAR RJFF 021130Z 06004KT 030V090 CAVOK 19/11 Q1011 BECMG 09006KT,1,0,0,9999,0,0,0,
2026-05-02 11:00:00,METAR RJFF 021100Z 02004KT 350V070 CAVOK 19/12 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 10:30:00,METAR RJFF 021030Z 35005KT 280V040 CAVOK 20/12 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 10:00:00,METAR RJFF 021000Z 31006KT 270V340 CAVOK 20/11 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 09:30:00,METAR RJFF 020930Z 32008KT 260V340 CAVOK 21/08 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 09:00:00,METAR RJFF 020900Z 31007KT 270V350 CAVOK 22/10 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 08:30:00,METAR RJFF 020830Z 32005KT 280V360 CAVOK 23/09 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 08:00:00,METAR RJFF 020800Z 31007KT 230V330 CAVOK 23/09 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 07:30:00,METAR RJFF 020730Z 31007KT 270V340 9999 FEW045 BKN/// 23/10 Q1011 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 07:00:00,METAR RJFF 020700Z 32008KT 290V350 CAVOK 23/11 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 06:30:00,METAR RJFF 020630Z 32008KT CAVOK 24/11 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 06:00:00,METAR RJFF 020600Z 32009KT CAVOK 23/11 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 05:30:00,METAR RJFF 020530Z 31010KT CAVOK 24/13 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 05:00:00,METAR RJFF 020500Z 32010KT CAVOK 24/12 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 04:30:00,METAR RJFF 020430Z 32009KT CAVOK 24/12 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 04:00:00,METAR RJFF 020400Z 30007KT 260V330 CAVOK 24/12 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 03:30:00,METAR RJFF 020330Z VRB04KT CAVOK 24/12 Q1013 BECMG 31011KT,1,0,0,9999,0,0,0,
2026-05-02 03:00:00,METAR RJFF 020300Z 15013KT CAVOK 24/12 Q1013 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 02:30:00,METAR RJFF 020230Z 15017KT CAVOK 22/11 Q1013 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 02:00:00,METAR RJFF 020200Z 15017KT CAVOK 22/12 Q1013 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 01:30:00,METAR RJFF 020130Z 16014KT CAVOK 21/12 Q1013 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 01:00:00,METAR RJFF 020100Z 16007KT 130V200 CAVOK 21/12 Q1014 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 00:30:00,METAR RJFF 020030Z 16010KT CAVOK 20/12 Q1014 BECMG 30008KT,1,0,0,9999,0,0,0,
2026-05-02 00:00:00,METAR RJFF 020000Z 15013KT CAVOK 19/12 Q1014 BECMG 27008KT,1,0,0,9999,0,0,0,
2026-05-01 23:30:00,METAR RJFF 012330Z 16013KT CAVOK 18/12 Q1014 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 23:00:00,METAR RJFF 012300Z 16012KT CAVOK 17/11 Q1014 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 22:30:00,METAR RJFF 012230Z 14011KT CAVOK 16/11 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 22:00:00,METAR RJFF 012200Z 15012KT CAVOK 15/11 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 21:30:00,METAR RJFF 012130Z 15009KT 9999 FEW020 BKN/// 15/11 Q1013 NOSIG,0,9,0,10000,0,0,0,
2026-05-01 21:00:00,METAR RJFF 012100Z 16010KT CAVOK 14/10 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 20:30:00,METAR RJFF 012030Z AUTO 15007KT 9999 NCD 14/10 Q1012 NOSIG,0,7,0,10000,0,0,0,
2026-05-01 20:00:00,METAR RJFF 012000Z AUTO 15007KT 9999 NCD 14/10 Q1013 NOSIG,0,7,0,10000,0,0,0,
2026-05-01 19:30:00,METAR RJFF 011930Z AUTO 12003KT 9999 NCD 14/10 Q1012 NOSIG,0,3,0,10000,0,0,0,
2026-05-01 19:00:00,METAR RJFF 011900Z AUTO 15008KT 9999 NCD 14/11 Q1013 NOSIG,0,8,0,10000,0,0,0,
2026-05-01 18:30:00,METAR RJFF 011830Z AUTO 15011KT 9999 NCD 14/11 Q1012 NOSIG,0,11,0,10000,0,0,0,
2026-05-01 18:00:00,METAR RJFF 011800Z AUTO 16008KT 9999 NCD 14/10 Q1012 NOSIG,0,8,0,10000,0,0,0,
2026-05-01 17:30:00,METAR RJFF 011730Z AUTO 15004KT 9999 NCD 14/10 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-01 17:00:00,METAR RJFF 011700Z AUTO 13004KT 9999 NCD 13/10 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-01 16:30:00,METAR RJFF 011630Z AUTO 16006KT 9999 NCD 13/10 Q1012 NOSIG,0,6,0,10000,0,0,0,
2026-05-01 16:00:00,METAR RJFF 011600Z AUTO 15004KT 9999 NCD 13/09 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-01 15:30:00,METAR RJFF 011530Z AUTO 15004KT 9999 NCD 13/09 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-01 15:00:00,METAR RJFF 011500Z AUTO 15004KT 9999 NCD 14/09 Q1013 NOSIG,0,4,0,10000,0,0,0,
2026-05-01 14:30:00,METAR RJFF 011430Z AUTO 15007KT 9999 NCD 14/09 Q1012 NOSIG,0,7,0,10000,0,0,0,
2026-05-01 14:00:00,METAR RJFF 011400Z AUTO 17005KT 130V240 9999 NCD 15/09 Q1012 NOSIG,0,5,0,10000,0,0,0,
2026-05-01 13:30:00,METAR RJFF 011330Z 16004KT 120V210 CAVOK 15/08 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 13:00:00,METAR RJFF 011300Z VRB03KT CAVOK 15/09 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 12:30:00,METAR RJFF 011230Z VRB04KT CAVOK 15/09 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 12:00:00,METAR RJFF 011200Z 23004KT 170V280 CAVOK 16/08 Q1011 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 11:30:00,METAR RJFF 011130Z 23005KT 190V270 CAVOK 18/08 Q1011 BECMG 25008KT,1,0,0,9999,0,0,0,
2026-05-01 11:00:00,METAR RJFF 011100Z 25005KT 180V320 CAVOK 17/09 Q1010 NOSIG,1,0,0,9999,0,0,0,
2026-05-01 10:30:00,METAR RJFF 011030Z 24008KT 200V280 9999 FEW025 18/09 Q1010 BECMG 25010KT,0,8,0,10000,0,0,0,
2026-05-01 10:00:00,METAR RJFF 011000Z 25011G21KT 210V310 9999 FEW030 18/10 Q1010 NOSIG,0,11,1,10000,0,0,0,
2026-05-01 09:30:00,METAR RJFF 010930Z 27010KT 240V300 9999 FEW035 18/10 Q1010 TEMPO 26015G26KT,0,10,0,10000,0,0,0,
2026-05-01 09:00:00,METAR RJFF 010900Z 28013KT 250V310 9999 FEW030 19/10 Q1010 TEMPO 26015G26KT,0,13,0,10000,0,0,0,
2026-05-01 08:30:00,METAR RJFF 010830Z 28016KT 9999 FEW025 19/09 Q1010 TEMPO 26015G26KT,0,16,0,10000,0,0,0,
2026-05-01 08:00:00,METAR RJFF 010800Z 28017KT 9999 FEW025 20/08 Q1009 TEMPO 26015G25KT,0,17,0,10000,0,0,0,
2026-05-01 07:30:00,METAR RJFF 010730Z 29017KT 9999 FEW030 19/07 Q1009 TEMPO 27016G26KT,0,17,0,10000,0,0,0,
2026-05-01 07:00:00,METAR RJFF 010700Z 28015KT 240V310 9999 FEW030 19/09 Q1008 TEMPO 27016G26KT,0,15,0,10000,0,0,0,
2026-05-01 06:30:00,METAR RJFF 010630Z 27015KT 250V310 9999 FEW030 19/07 Q1008 TEMPO 28016G26KT,0,15,0,10000,0,0,0,
