Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 14:50:00,METAR KGYY 021450Z VRB06KT 10SM CLR 10/M01 A3013,0,6.0,0,16090,0,0,0,
2026-05-02 13:50:00,METAR KGYY 021350Z 33007KT 10SM CLR 08/M02 A3012,0,7.0,0,16090,0,0,0,
2026-05-02 12:50:00,METAR KGYY 021250Z 27004KT 10SM CLR 05/05 A3012,0,4.0,0,16090,0,0,0,
2026-05-02 11:50:00,METAR KGYY 021150Z 00000KT 9SM CLR 01/01 A3011,0,0.0,0,14481,0,0,0,
2026-05-02 10:50:00,METAR KGYY 021050Z 00000KT 7SM FEW030 00/00 A3010,0,0.0,0,11263,0,0,0,
2026-05-02 09:15:00,METAR KGYY 020915Z AUTO 00000KT 7SM BKN019 M01/M01 A3009 RMK AO2,0,0.0,0,11263,0,0,0,
2026-05-02 08:55:00,METAR KGYY 020855Z AUTO 00000KT 10SM BKN021 M00/M00 A3009 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 08:35:00,METAR KGYY 020835Z AUTO 00000KT 10SM SCT019 M00/M00 A3010 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 08:15:00,METAR KGYY 020815Z AUTO 00000KT 9SM SCT019 00/00 A3010 RMK AO2,0,0.0,0,14481,0,0,0,
2026-05-02 07:55:00,METAR KGYY 020755Z AUTO 00000KT 8SM FEW019 FEW026 01/01 A3009 RMK AO2,0,0.0,0,12872,0,0,0,
2026-05-02 07:35:00,METAR KGYY 020735Z AUTO 00000KT 4SM BR FEW020 FEW026 01/01 A3009 RMK AO2,0,0.0,0,6436,0,0,1,BR
2026-05-02 07:15:00,METAR KGYY 020715Z AUTO 00000KT 10SM FEW020 01/01 A3010 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 06:55:00,METAR KGYY 020655Z AUTO 00000KT 10SM FEW020 01/01 A3010 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 06:35:00,METAR KGYY 020635Z AUTO 00000KT 10SM CLR 01/01 A3010 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 06:15:00,METAR KGYY 020615Z AUTO 00000KT 10SM CLR 01/01 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 05:55:00,METAR KGYY 020555Z AUTO 00000KT 10SM CLR 01/01 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 05:35:00,METAR KGYY 020535Z AUTO 00000KT 10SM FEW050 01/01 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 05:15:00,METAR KGYY 020515Z AUTO 00000KT 10SM FEW055 02/02 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 04:55:00,METAR KGYY 020455Z AUTO 00000KT 10SM SCT055 SCT070 02/02 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 04:35:00,METAR KGYY 020435Z AUTO 00000KT 9SM FEW060 FEW070 03/03 A3011 RMK AO2,0,0.0,0,14481,0,0,0,
2026-05-02 04:15:00,METAR KGYY 020415Z AUTO 00000KT 10SM BKN060 03/02 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 03:55:00,METAR KGYY 020355Z AUTO 00000KT 10SM BKN060 04/M01 A3011 RMK AO2,0,0.0,0,16090,0,0,0,
2026-05-02 03:50:00,METAR KGYY 020350Z 00000KT 10SM SCT060 04/M01 A3011,0,0.0,0,16090,0,0,0,
2026-05-02 03:35:00,METAR KGYY 020335Z AUTO 04003KT 10SM FEW050 04/M01 A3011 RMK AO2,0,3.0,0,16090,0,0,0,
2026-05-02 03:15:00,METAR KGYY 020315Z AUTO 03004KT 10SM FEW050 04/M01 A3010 RMK AO2,0,4.0,0,16090,0,0,0,
2026-05-02 02:50:00,METAR KGYY 020250Z 03004KT 10SM BKN050 04/M02 A3010,0,4.0,0,16090,0,0,0,
2026-05-02 01:50:00,METAR KGYY 020150Z 04010KT 10SM BKN049 05/M01 A3009,0,10.0,0,16090,0,0,0,
2026-05-02 00:50:00,METAR KGYY 020050Z 05009KT 10SM FEW055 05/00 A3007,0,9.0,0,16090,0,0,0,
2026-05-01 23:50:00,METAR KGYY 012350Z 03009KT 10SM CLR 07/01 A3006,0,9.0,0,16090,0,0,0,
2026-05-01 22:50:00,METAR KGYY 012250Z 02008KT 10SM FEW049 08/01 A3006,0,8.0,0,16090,0,0,0,
2026-05-01 21:50:00,METAR KGYY 012150Z 02007KT 10SM SCT050 08/02 A3006,0,7.0,0,16090,0,0,0,
2026-05-01 20:50:00,METAR KGYY 012050Z 02008KT 10SM BKN065 08/02 A3006,0,8.0,0,16090,0,0,0,
2026-05-01 19:50:00,METAR KGYY 011950Z 03009KT 10SM BKN055 08/03 A3005,0,9.0,0,16090,0,0,0,
2026-05-01 17:50:00,METAR KGYY 011750Z 04012KT 10SM OVC075 09/07 A3004,0,12.0,0,16090,0,0,0,
2026-05-01 15:50:00,METAR KGYY 011550Z 36012KT 340V040 10SM BKN018 08/08 A3003,0,12.0,0,16090,0,0,0,
2026-05-01 14:50:00,METAR KGYY 011450Z 36009KT 10SM BKN017 OVC024 08/08 A3002,0,9.0,0,16090,0,0,0,
2026-05-01 13:50:00,METAR KGYY 011350Z 36011KT 10SM BKN018 BKN023 08/08 A3001,0,11.0,0,16090,0,0,0,
2026-05-01 12:50:00,METAR KGYY 011250Z 36009KT 10SM BKN015 BKN021 07/07 A3000,0,9.0,0,16090,0,0,0,
2026-05-01 11:50:00,METAR KGYY 011150Z 36010KT 10SM SCT016 BKN024 BKN035 05/05 A2998,0,10.0,0,16090,0,0,0,
2026-05-01 10:50:00,METAR KGYY 011050Z 35008KT 6SM -RA BR FEW012 BKN017 BKN026 06/06 A2997,0,8.0,0,9654,0,0,1,"-RA,BR"
