Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR VHHH 021530Z 10005KT 9999 FEW020 26/22 Q1011 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 15:00:00,METAR VHHH 021500Z 11005KT 090V150 9999 FEW020 26/22 Q1011 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 14:30:00,METAR VHHH 021430Z VRB02KT 9999 FEW015 26/22 Q1011 NOSIG,0,2,0,10000,0,0,0,
2026-05-02 14:00:00,METAR VHHH 021400Z 08006KT 020V160 9999 FEW015 26/22 Q1011 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 13:30:00,METAR VHHH 021330Z 08005KT 040V110 9999 FEW012 26/21 Q1011 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:00:00,METAR VHHH 021300Z 14008KT 110V180 9999 FEW012 26/22 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 12:30:00,METAR VHHH 021230Z 12008KT 090V190 9999 FEW012 26/22 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 12:00:00,METAR VHHH 021200Z 15007KT 110V180 9999 FEW012 26/22 Q1009 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 11:30:00,METAR VHHH 021130Z 15005KT 120V200 9999 FEW012 26/22 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 11:00:00,METAR VHHH 021100Z 16008KT 130V200 9999 FEW012 26/22 Q1009 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 10:30:00,METAR VHHH 021030Z 16008KT 130V190 9999 FEW015 SCT035 27/22 Q1009 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 10:00:00,METAR VHHH 021000Z 15006KT 120V190 9999 FEW015 SCT035 27/22 Q1009 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 09:30:00,METAR VHHH 020930Z 15007KT 060V190 9999 FEW015 SCT035 27/22 Q1009 NOSIG,0,7,0,10000,0,0,0,
