Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR VVCI 021530Z 12004KT 9999 FEW014 SCT019 OVC031 27/25 Q1010 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 15:00:00,METAR VVCI 021500Z 11004KT 090V150 9999 FEW014 BKN029 27/25 Q1009 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 14:30:00,METAR VVCI 021430Z 16005KT 130V190 9999 FEW019 27/25 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 14:00:00,METAR VVCI 021400Z 14005KT 9999 SCT030 27/25 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:30:00,METAR VVCI 021330Z 14009KT 9999 FEW017 27/25 Q1009 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 13:00:00,METAR VVCI 021300Z 14006KT 110V170 9999 FEW012 BKN031 27/25 Q1009 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 12:30:00,METAR VVCI 021230Z 12005KT 9999 SCT012 BKN027 27/25 Q1008 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 12:00:00,METAR VVCI 021200Z 14008KT 110V180 9999 FEW013 SCT015 BKN027 27/24 Q1007 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 11:30:00,METAR VVCI 021130Z 14009KT 100V160 9999 FEW015 BKN032 28/24 Q1006 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 11:00:00,METAR VVCI 021100Z 15010KT 9999 FEW012 BKN017 BKN023 28/25 Q1005 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 10:30:00,METAR VVCI 021030Z 16009KT 9999 FEW014 SCT016 BKN024 28/24 Q1006 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 10:00:00,METAR VVCI 021000Z 17010KT 130V190 9999 SCT017 SCT030 29/24 Q1006 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 09:30:00,METAR VVCI 020930Z 17011KT 9999 FEW018 SCT021 29/24 Q1006 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 09:00:00,METAR VVCI 020900Z 17010KT 9999 BKN018 29/24 Q1006 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 08:30:00,METAR VVCI 020830Z 17011KT 140V200 9999 BKN019 29/25 Q1007 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 08:00:00,METAR VVCI 020800Z 19011KT 160V220 9999 FEW019 BKN045 30/25 Q1007 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 07:30:00,METAR VVCI 020730Z 19011KT 160V220 9999 FEW019 BKN045 30/25 Q1007 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 07:00:00,METAR VVCI 020700Z 17011KT 150V210 9999 SCT020 SCT039 30/25 Q1008 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 06:30:00,METAR VVCI 020630Z 17011KT 150V210 9999 SCT020 SCT039 30/25 Q1008 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 06:00:00,METAR VVCI 020600Z 18012KT 9999 BKN019 BKN045 30/24 Q1009 NOSIG,0,12,0,10000,0,0,0,
2026-05-02 05:30:00,METAR VVCI 020530Z 19008KT 140V220 9999 SCT016 BKN048 30/24 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 05:00:00,METAR VVCI 020500Z 20008KT 160V240 9999 BKN017 BKN022 OVC025 28/24 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 04:30:00,METAR VVCI 020430Z 19009KT 9999 BKN017 OVC038 29/24 Q1010 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 04:00:00,METAR VVCI 020400Z 20009KT 160V220 9999 BKN018 OVC038 29/24 Q1011 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 03:30:00,METAR VVCI 020330Z 19009KT 160V220 9999 SCT017 OVC021 29/24 Q1011 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 03:00:00,METAR VVCI 020300Z 18007KT 150V210 9999 SCT015 BKN017 OVC023 28/24 Q1011 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 02:30:00,METAR VVCI 020230Z 19008KT 9999 SCT017 BKN020 BKN037 28/23 Q1011 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 02:00:00,METAR VVCI 020200Z 18007KT 150V220 9999 BKN016 BKN019 OVC037 28/24 Q1011 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 01:30:00,METAR VVCI 020130Z 20007KT 9999 BKN015 BKN025 OVC029 27/24 Q1011 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 01:00:00,METAR VVCI 020100Z 20006KT 9999 FEW015 BKN020 OVC028 27/24 Q1011 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 00:30:00,METAR VVCI 020030Z 19004KT 150V220 9999 SCT017 BKN021 OVC024 27/24 Q1010 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 00:00:00,METAR VVCI 020000Z 21006KT 9999 BKN017 OVC022 27/23 Q1010 NOSIG,0,6,0,10000,0,0,0,
