Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR RJBB 021530Z AUTO 11004KT 9999 NSC 18/13 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 15:00:00,METAR RJBB 021500Z AUTO 11005KT 9999 NSC 18/13 Q1012 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 14:30:00,METAR RJBB 021430Z AUTO 12004KT 9999 NSC 18/14 Q1012 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 14:00:00,METAR RJBB 021400Z AUTO 14005KT 100V160 9999 NSC 18/14 Q1013 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:30:00,METAR RJBB 021330Z 16004KT 070V190 CAVOK 18/15 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 13:00:00,METAR RJBB 021300Z 19003KT 100V250 CAVOK 17/14 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 12:30:00,METAR RJBB 021230Z 23004KT CAVOK 18/15 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 12:00:00,METAR RJBB 021200Z 24003KT CAVOK 18/14 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 11:30:00,METAR RJBB 021130Z 22003KT 180V250 CAVOK 19/15 Q1013 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 11:00:00,METAR RJBB 021100Z 19005KT 150V210 CAVOK 19/14 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 10:30:00,METAR RJBB 021030Z 21005KT 170V240 CAVOK 19/14 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 10:00:00,METAR RJBB 021000Z VRB01KT CAVOK 18/13 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 09:30:00,METAR RJBB 020930Z 02003KT CAVOK 18/14 Q1012 NOSIG,1,0,0,9999,0,0,0,
2026-05-02 09:00:00,METAR RJBB 020900Z 36004KT CAVOK 18/15 Q1011 NOSIG,1,0,0,9999,0,0,0,
