Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR LCLK 021530Z 25003KT 220V280 9999 FEW030 21/17 Q1010 NOSIG,0,3,0,10000,0,0,0,
2026-05-02 15:00:00,METAR LCLK 021500Z 23007KT 9999 FEW030 21/18 Q1010 NOSIG,0,7,0,10000,0,0,0,
2026-05-02 14:30:00,METAR LCLK 021430Z 20006KT 9999 FEW030 22/17 Q1010 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 14:00:00,METAR LCLK 021400Z 17005KT 9999 FEW050 22/17 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:30:00,METAR LCLK 021330Z 16005KT 120V180 9999 FEW050 22/18 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:00:00,METAR LCLK 021300Z VRB05KT 9999 FEW030 25/13 Q1009 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 12:30:00,METAR LCLK 021230Z 32005KT 270V350 9999 FEW025 25/13 Q1010 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 12:00:00,METAR LCLK 021200Z 29006KT 250V350 9999 FEW025 25/13 Q1010 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 11:30:00,METAR LCLK 021130Z 26006KT 190V350 9999 FEW018 24/16 Q1011 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 11:00:00,METAR LCLK 021100Z 20007KT 9999 -RA FEW018 23/18 Q1011 NOSIG,0,7,0,10000,0,0,0,-RA
2026-05-02 10:30:00,METAR LCLK 021030Z 21004KT 180V240 9999 FEW018 23/17 Q1011 NOSIG,0,4,0,10000,0,0,0,
2026-05-02 10:00:00,METAR LCLK 021000Z 22007KT 180V240 9999 -RA FEW018 22/18 Q1011 NOSIG,0,7,0,10000,0,0,0,-RA
2026-05-02 09:30:00,METAR LCLK 020930Z 21009KT 9999 FEW018 22/17 Q1011 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 09:00:00,METAR LCLK 020900Z 20009KT 9999 FEW018 21/17 Q1011 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 08:30:00,METAR LCLK 020830Z 23012KT 9999 FEW012 21/17 Q1011 NOSIG,0,12,0,10000,0,0,0,
2026-05-02 08:00:00,METAR LCLK 020800Z 22011KT 9999 FEW012 21/17 Q1011 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 07:30:00,METAR LCLK 020730Z 22012KT 9999 FEW018 SCT040 21/17 Q1011 NOSIG,0,12,0,10000,0,0,0,
2026-05-02 07:00:00,METAR LCLK 020700Z 21015KT 9999 FEW018 SCT040 22/17 Q1011 NOSIG,0,15,0,10000,0,0,0,
2026-05-02 06:30:00,METAR LCLK 020630Z 21012KT 9999 FEW018 SCT040 22/17 Q1011 NOSIG,0,12,0,10000,0,0,0,
