Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR VMMC 021530Z 15005KT 9999 FEW010 SCT022 25/24 Q1011 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 15:00:00,METAR VMMC 021500Z 14006KT 9999 FEW010 SCT022 25/24 Q1011 NOSIG,0,6,0,10000,0,0,0,
2026-05-02 14:30:00,METAR VMMC 021430Z 15003KT 110V190 9999 FEW007 SCT022 25/24 Q1011 NOSIG,0,3,0,10000,0,0,0,
2026-05-02 14:00:00,METAR VMMC 021400Z 17005KT 150V220 9999 FEW007 SCT022 25/24 Q1011 NOSIG,0,5,0,10000,0,0,0,
2026-05-02 13:30:00,METAR VMMC 021330Z 15008KT 9999 FEW010 SCT022 25/24 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 13:00:00,METAR VMMC 021300Z 15008KT 9999 FEW008 SCT025 25/24 Q1010 NOSIG,0,8,0,10000,0,0,0,
2026-05-02 12:30:00,METAR VMMC 021230Z 14010KT 9999 FEW008 SCT025 25/24 Q1009 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 12:00:00,METAR VMMC 021200Z 14010KT 9999 FEW008 SCT025 25/24 Q1009 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 11:30:00,METAR VMMC 021130Z 14011KT 9999 FEW008 SCT025 25/24 Q1009 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 11:00:00,METAR VMMC 021100Z 14010KT 9999 FEW012 SCT022 25/23 Q1009 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 10:30:00,METAR VMMC 021030Z 14011KT 9999 FEW010 SCT022 25/24 Q1009 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 10:00:00,METAR VMMC 021000Z 14011KT 9999 FEW010 SCT022 25/24 Q1009 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 09:30:00,METAR VMMC 020930Z 14012KT 9999 -SHRA FEW010 SCT022 25/24 Q1008 NOSIG,0,12,0,10000,0,0,0,RA
2026-05-02 09:00:00,METAR VMMC 020900Z 13011KT 9999 -SHRA FEW010 SCT022 25/23 Q1008 NOSIG,0,11,0,10000,0,0,0,RA
2026-05-02 08:30:00,METAR VMMC 020830Z 13009KT 9999 FEW010 SCT022 25/24 Q1009 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 08:00:00,METAR VMMC 020800Z 14010KT 9999 FEW010 SCT022 26/23 Q1009 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 07:30:00,METAR VMMC 020730Z 14011KT 9999 FEW012 SCT022 26/24 Q1009 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 07:00:00,METAR VMMC 020700Z 14007KT 9999 -SHRA FEW010 SCT022 26/23 Q1010 NOSIG,0,7,0,10000,0,0,0,RA
2026-05-02 06:30:00,METAR VMMC 020630Z 13008KT 9999 -SHRA FEW012 SCT022 26/23 Q1010 NOSIG,0,8,0,10000,0,0,0,RA
2026-05-02 06:00:00,METAR VMMC 020600Z 14009KT 9999 VCSH FEW012 SCT022 26/23 Q1011 NOSIG,0,9,0,10000,0,0,0,"SH,VC"
2026-05-02 05:30:00,METAR VMMC 020530Z 13009KT 9999 FEW012 SCT025 26/23 Q1011 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 05:00:00,METAR VMMC 020500Z 13009KT 9999 FEW012 SCT025 26/24 Q1012 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 04:30:00,METAR VMMC 020430Z 13009KT 9999 FEW012 SCT025 26/24 Q1012 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 04:00:00,METAR VMMC 020400Z 14011KT 9999 FEW012 SCT025 26/24 Q1012 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 03:30:00,METAR VMMC 020330Z 13010KT 9999 FEW012 SCT025 27/24 Q1012 NOSIG,0,10,0,10000,0,0,0,
2026-05-02 03:00:00,METAR VMMC 020300Z 14009KT 9999 FEW012 SCT025 26/23 Q1013 NOSIG,0,9,0,10000,0,0,0,
2026-05-02 02:30:00,METAR VMMC 020230Z 13011KT 9999 FEW012 SCT025 25/23 Q1013 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 02:00:00,METAR VMMC 020200Z 13011KT 9999 FEW012 SCT025 25/23 Q1013 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 01:30:00,METAR VMMC 020130Z 13011KT 9999 FEW012 SCT025 25/23 Q1012 NOSIG,0,11,0,10000,0,0,0,
2026-05-02 01:00:00,METAR VMMC 020100Z 13013KT 9999 FEW009 SCT020 25/23 Q1012 NOSIG,0,13,0,10000,0,0,0,
2026-05-02 00:30:00,METAR VMMC 020030Z 11013KT 9999 FEW009 SCT020 25/23 Q1012 NOSIG,0,13,0,10000,0,0,0,
2026-05-02 00:00:00,METAR VMMC 020000Z 11012KT 9999 FEW010 SCT020 25/23 Q1012 NOSIG,0,12,0,10000,0,0,0,
2026-05-01 23:30:00,METAR VMMC 012330Z 11012KT 9999 FEW010 SCT028 25/23 Q1012 NOSIG,0,12,0,10000,0,0,0,
2026-05-01 23:00:00,METAR VMMC 012300Z 12013KT 9999 FEW010 SCT030 25/23 Q1012 NOSIG,0,13,0,10000,0,0,0,
2026-05-01 22:30:00,METAR VMMC 012230Z 12012KT 9999 FEW010 SCT030 25/23 Q1011 NOSIG,0,12,0,10000,0,0,0,
2026-05-01 22:00:00,METAR VMMC 012200Z 11012KT 9999 FEW010 SCT030 25/23 Q1011 NOSIG,0,12,0,10000,0,0,0,
2026-05-01 21:30:00,METAR VMMC 012130Z 12010KT 9999 FEW010 SCT030 25/23 Q1011 NOSIG,0,10,0,10000,0,0,0,
2026-05-01 21:00:00,METAR VMMC 012100Z 11011KT 070V130 9999 FEW010 SCT025 25/23 Q1011 NOSIG,0,11,0,10000,0,0,0,
2026-05-01 20:30:00,METAR VMMC 012030Z 11010KT 080V140 9999 FEW010 SCT025 24/23 Q1011 NOSIG,0,10,0,10000,0,0,0,
2026-05-01 20:00:00,METAR VMMC 012000Z 11012KT 9999 VCSH FEW010 SCT025 25/22 Q1011 NOSIG,0,12,0,10000,0,0,0,"SH,VC"
2026-05-01 19:30:00,METAR VMMC 011930Z 11011KT 9999 FEW012 SCT030 25/23 Q1011 NOSIG,0,11,0,10000,0,0,0,
