Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 14:53:00,METAR KMTJ 021453Z AUTO 23003KT 10SM CLR 10/M04 A3025 RMK AO2 SLP197 T01001039 51009,0,3.0,0,16090,0,0,0,
2026-05-02 13:53:00,METAR KMTJ 021353Z AUTO 18005KT 10SM CLR 07/M05 A3025 RMK AO2 SLP203 T00671050,0,5.0,0,16090,0,0,0,
2026-05-02 12:53:00,METAR KMTJ 021253Z AUTO 13006KT 10SM CLR 03/M04 A3023 RMK AO2 SLP200 T00281044,0,6.0,0,16090,0,0,0,
2026-05-02 11:53:00,METAR KMTJ 021153Z AUTO 14006KT 10SM CLR 03/M04 A3022 RMK AO2 SLP194 T00281044 10106 20022 51006,0,6.0,0,16090,0,0,0,
2026-05-02 10:53:00,METAR KMTJ 021053Z AUTO 16008KT 10SM CLR 04/M04 A3022 RMK AO2 SLP191 T00391039,0,8.0,0,16090,0,0,0,
2026-05-02 09:53:00,METAR KMTJ 020953Z AUTO 13004KT 10SM CLR 03/M04 A3021 RMK AO2 SLP188 T00331039,0,4.0,0,16090,0,0,0,
2026-05-02 08:53:00,METAR KMTJ 020853Z AUTO 15004KT 10SM CLR 05/M04 A3020 RMK AO2 SLP184 T00501044 51008,0,4.0,0,16090,0,0,0,
2026-05-02 07:53:00,METAR KMTJ 020753Z AUTO 20005KT 10SM CLR 06/M04 A3019 RMK AO2 SLP180 T00611039,0,5.0,0,16090,0,0,0,
2026-05-02 06:53:00,METAR KMTJ 020653Z AUTO 18006KT 10SM CLR 08/M03 A3018 RMK AO2 SLP177 T00781033 401780006,0,6.0,0,16090,0,0,0,
2026-05-02 05:53:00,METAR KMTJ 020553Z AUTO 12010G19KT 10SM CLR 11/M02 A3017 RMK AO2 SLP170 T01111022 10178 20100 51018,0,10.0,1,16090,0,0,0,
2026-05-02 04:53:00,METAR KMTJ 020453Z AUTO 13008KT 10SM CLR 10/M03 A3016 RMK AO2 SLP170 T01001033,0,8.0,0,16090,0,0,0,
2026-05-02 03:53:00,METAR KMTJ 020353Z AUTO 11009KT 10SM FEW120 11/M03 A3013 RMK AO2 SLP164 T01111028,0,9.0,0,16090,0,0,0,
2026-05-02 02:53:00,METAR KMTJ 020253Z AUTO 06004KT 10SM FEW048 BKN090 OVC110 14/M05 A3010 RMK AO2 SLP150 T01441050 51017,0,4.0,0,16090,0,0,0,
2026-05-02 01:53:00,METAR KMTJ 020153Z AUTO 09018G25KT 10SM BKN100 14/M03 A3008 RMK AO2 WSHFT 0132 SLP147 T01391033,0,18.0,1,16090,0,0,0,
2026-05-02 00:53:00,METAR KMTJ 020053Z AUTO 16012G27KT 5SM HZ FEW070 OVC090 16/M07 A3004 RMK AO2 PK WND 18027/0048 WSHFT 0011 SLP137 T01611072,0,12.0,1,8045,0,0,0,
2026-05-02 00:31:00,SPECI KMTJ 020031Z AUTO 05009G22KT 10SM BKN100 OVC110 16/M06 A3005 RMK AO2 WSHFT 0011 T01611061,0,9.0,1,16090,0,0,0,
2026-05-01 23:53:00,METAR KMTJ 012353Z AUTO 31004KT 10SM FEW120 17/M07 A3004 RMK AO2 SLP132 T01721072 10178 20122 56007,0,4.0,0,16090,0,0,0,
2026-05-01 22:53:00,METAR KMTJ 012253Z AUTO 27005KT 10SM CLR 17/M08 A3004 RMK AO2 SLP133 T01721083,0,5.0,0,16090,0,0,0,
2026-05-01 21:53:00,METAR KMTJ 012153Z AUTO 31010G23KT 10SM CLR 18/M07 A3004 RMK AO2 SLP134 T01781072,0,10.0,1,16090,0,0,0,
2026-05-01 20:53:00,METAR KMTJ 012053Z AUTO 31009G19KT 10SM CLR 16/M09 A3006 RMK AO2 SLP140 T01611089 56016,0,9.0,1,16090,0,0,0,
2026-05-01 19:53:00,METAR KMTJ 011953Z AUTO 34009KT 10SM CLR 16/M06 A3007 RMK AO2 SLP145 T01561061,0,9.0,0,16090,0,0,0,
2026-05-01 18:53:00,METAR KMTJ 011853Z AUTO 36006G15KT 10SM CLR 14/M04 A3009 RMK AO2 SLP150 T01391044,0,6.0,1,16090,0,0,0,
2026-05-01 17:53:00,METAR KMTJ 011753Z AUTO 32007KT 10SM CLR 12/M02 A3011 RMK AO2 SLP158 T01221017 10122 20011 58003,0,7.0,0,16090,0,0,0,
2026-05-01 16:53:00,METAR KMTJ 011653Z AUTO 34007KT 10SM CLR 11/M02 A3013 RMK AO2 SLP162 T01061017,0,7.0,0,16090,0,0,0,
2026-05-01 15:53:00,METAR KMTJ 011553Z AUTO 34007KT 10SM CLR 09/M02 A3012 RMK AO2 SLP162 T00891017,0,7.0,0,16090,0,0,0,
2026-05-01 14:53:00,METAR KMTJ 011453Z AUTO 34005KT 10SM CLR 08/M02 A3012 RMK AO2 SLP161 T00781022 51008,0,5.0,0,16090,0,0,0,
2026-05-01 13:53:00,METAR KMTJ 011353Z AUTO 15004KT 10SM CLR 05/M03 A3012 RMK AO2 SLP165 T00501033,0,4.0,0,16090,0,0,0,
2026-05-01 12:53:00,METAR KMTJ 011253Z AUTO 15006KT 10SM CLR 02/M04 A3011 RMK AO2 SLP161 T00171039,0,6.0,0,16090,0,0,0,
2026-05-01 11:53:00,METAR KMTJ 011153Z AUTO 15008KT 10SM CLR 02/M04 A3010 RMK AO2 SLP155 T00171039 10072 20006 51002,0,8.0,0,16090,0,0,0,
2026-05-01 10:53:00,METAR KMTJ 011053Z AUTO 16007KT 10SM CLR 01/M04 A3010 RMK AO2 SLP155 T00111039,0,7.0,0,16090,0,0,0,
2026-05-01 09:53:00,METAR KMTJ 010953Z AUTO 15005KT 10SM CLR 01/M04 A3009 RMK AO2 SLP155 T00111039,0,5.0,0,16090,0,0,0,
2026-05-01 08:53:00,METAR KMTJ 010853Z AUTO 17005KT 10SM CLR 02/M03 A3009 RMK AO2 SLP150 T00221033 50005,0,5.0,0,16090,0,0,0,
2026-05-01 07:53:00,METAR KMTJ 010753Z AUTO 11004KT 10SM CLR 03/M03 A3009 RMK AO2 SLP151 T00331028,0,4.0,0,16090,0,0,0,
2026-05-01 06:53:00,METAR KMTJ 010653Z AUTO 12005KT 10SM CLR 06/M03 A3009 RMK AO2 SLP145 T00611028 401780022,0,5.0,0,16090,0,0,0,
2026-05-01 05:53:00,METAR KMTJ 010553Z AUTO 24004KT 10SM CLR 07/M03 A3007 RMK AO2 SLP140 T00721028 10167 20067 51013,0,4.0,0,16090,0,0,0,
2026-05-01 04:53:00,METAR KMTJ 010453Z AUTO 26004KT 10SM CLR 09/M03 A3006 RMK AO2 SLP137 T00891028,0,4.0,0,16090,0,0,0,
2026-05-01 03:53:00,METAR KMTJ 010353Z AUTO VRB03KT 10SM FEW090 10/M04 A3005 RMK AO2 SLP135 T01001039,0,3.0,0,16090,0,0,0,
2026-05-01 02:53:00,METAR KMTJ 010253Z AUTO 06007KT 10SM BKN080 BKN095 12/M04 A3003 RMK AO2 SLP127 T01171039 53017,0,7.0,0,16090,0,0,0,
2026-05-01 01:53:00,METAR KMTJ 010153Z AUTO 33006KT 10SM FEW100 12/M04 A3000 RMK AO2 SLP119 T01221039,0,6.0,0,16090,0,0,0,
2026-05-01 00:53:00,METAR KMTJ 010053Z AUTO 30019G26KT 10SM FEW090 SCT100 14/M04 A2998 RMK AO2 PK WND 31027/0036 SLP115 T01441044,0,19.0,1,16090,0,0,0,
2026-04-30 23:53:00,METAR KMTJ 302353Z AUTO 27008KT 10SM BKN110 16/M06 A2997 RMK AO2 PK WND 32031/2309 SLP108 T01611061 10178 20133 55006,0,8.0,0,16090,0,0,0,
2026-04-30 22:53:00,METAR KMTJ 302253Z AUTO 32009G19KT 10SM FEW110 16/M11 A2997 RMK AO2 SLP106 T01611106,0,9.0,1,16090,0,0,0,
2026-04-30 21:53:00,METAR KMTJ 302153Z AUTO 21007KT 10SM BKN110 15/M07 A2998 RMK AO2 PK WND 21028/2128 SLP111 T01501067,0,7.0,0,16090,0,0,0,
2026-04-30 20:53:00,METAR KMTJ 302053Z AUTO 36003KT 10SM FEW090 16/M06 A2999 RMK AO2 SLP112 T01611061 56016,0,3.0,0,16090,0,0,0,
2026-04-30 19:53:00,METAR KMTJ 301953Z AUTO VRB04G17KT 10SM CLR 16/M06 A3000 RMK AO2 SLP115 T01561061,0,4.0,1,16090,0,0,0,
2026-04-30 18:53:00,METAR KMTJ 301853Z AUTO 02009KT 10SM CLR 15/M03 A3002 RMK AO2 SLP119 T01501033,0,9.0,0,16090,0,0,0,
2026-04-30 17:53:00,METAR KMTJ 301753Z AUTO 31005KT 10SM CLR 13/M02 A3005 RMK AO2 SLP128 T01331022 10133 20022 58004,0,5.0,0,16090,0,0,0,
2026-04-30 16:53:00,METAR KMTJ 301653Z AUTO 10SM CLR 12/M02 A3006 RMK AO2 SLP129 T01221017,0,,0,16090,0,0,0,
2026-04-30 15:53:00,METAR KMTJ 301553Z AUTO 36006KT 10SM CLR 10/M02 A3006 RMK AO2 SLP131 T01001022,0,6.0,0,16090,0,0,0,
2026-04-30 14:53:00,METAR KMTJ 301453Z AUTO 00000KT 10SM SCT095 08/M03 A3006 RMK AO2 SLP137 T00831028 50002,0,0.0,0,16090,0,0,0,
2026-04-30 13:53:00,METAR KMTJ 301353Z AUTO 15006KT 10SM BKN100 06/M02 A3007 RMK AO2 SLP140 T00611022,0,6.0,0,16090,0,0,0,
2026-04-30 12:53:00,METAR KMTJ 301253Z AUTO 13004KT 10SM CLR 03/M02 A3006 RMK AO2 SLP141 T00281022,0,4.0,0,16090,0,0,0,
2026-04-30 11:53:00,METAR KMTJ 301153Z AUTO 15006KT 10SM CLR 02/M02 A3006 RMK AO2 SLP139 T00221022 10100 20022 50001,0,6.0,0,16090,0,0,0,
2026-04-30 10:53:00,METAR KMTJ 301053Z AUTO 16006KT 10SM CLR 03/M02 A3006 RMK AO2 SLP140 T00331022,0,6.0,0,16090,0,0,0,
2026-04-30 09:53:00,METAR KMTJ 300953Z AUTO 16005KT 10SM CLR 04/M03 A3006 RMK AO2 SLP134 T00441028,0,5.0,0,16090,0,0,0,
2026-04-30 08:53:00,METAR KMTJ 300853Z AUTO 16006KT 10SM CLR 05/M02 A3005 RMK AO2 SLP133 T00501017 58006,0,6.0,0,16090,0,0,0,
2026-04-30 07:53:00,METAR KMTJ 300753Z AUTO 14006KT 10SM CLR 06/M02 A3007 RMK AO2 SLP135 T00611017,0,6.0,0,16090,0,0,0,
2026-04-30 06:53:00,METAR KMTJ 300653Z AUTO 13005KT 10SM CLR 08/M01 A3007 RMK AO2 SLP138 T00781011 401780022,0,5.0,0,16090,0,0,0,
2026-04-30 05:53:00,METAR KMTJ 300553Z AUTO 11005KT 10SM CLR 10/M01 A3007 RMK AO2 SLP137 T01001011 10161 20100 50004,0,5.0,0,16090,0,0,0,
2026-04-30 04:53:00,METAR KMTJ 300453Z AUTO 08005KT 10SM OVC095 12/M01 A3008 RMK AO2 SLP138 T01171011,0,5.0,0,16090,0,0,0,
2026-04-30 03:53:00,METAR KMTJ 300353Z AUTO 15013KT 10SM OVC085 13/M02 A3008 RMK AO2 SLP142 T01281017,0,13.0,0,16090,0,0,0,
2026-04-30 02:53:00,METAR KMTJ 300253Z AUTO 23005KT 10SM BKN100 13/M04 A3006 RMK AO2 SLP138 T01281039 53012,0,5.0,0,16090,0,0,0,
2026-04-30 01:53:00,METAR KMTJ 300153Z AUTO 30011KT 10SM CLR 14/M04 A3004 RMK AO2 SLP131 T01441044,0,11.0,0,16090,0,0,0,
2026-04-30 00:53:00,METAR KMTJ 300053Z AUTO 31011KT 10SM CLR 16/M04 A3002 RMK AO2 SLP125 T01561044,0,11.0,0,16090,0,0,0,
2026-04-29 23:53:00,METAR KMTJ 292353Z AUTO 32017KT 10SM BKN110 16/M05 A3002 RMK AO2 SLP125 T01611050 10178 20128 55007,0,17.0,0,16090,0,0,0,
2026-04-29 22:53:00,METAR KMTJ 292253Z AUTO 30012G22KT 10SM FEW120 16/M05 A3001 RMK AO2 SLP123 T01611050,0,12.0,1,16090,0,0,0,
