Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:00:00,METAR MYNN 021500Z 19013KT 160V220 9999 SCT020 28/22 A2997,0,13,0,10000.0,0,0,0,
2026-05-02 14:00:00,METAR MYNN 021400Z 19013KT 9999 SCT018 28/22 A2997,0,13,0,10000.0,0,0,0,
2026-05-02 13:00:00,METAR MYNN 021300Z 20012KT 9999 BKN018 27/22 A2997,0,12,0,10000.0,0,0,0,
2026-05-02 12:00:00,METAR MYNN 021200Z 19009KT 9999 SCT018 26/22 A2996,0,9,0,10000.0,0,0,0,
2026-05-02 11:00:00,METAR MYNN 021100Z 19007KT 9999 SCT018 25/22 A2995,0,7,0,10000.0,0,0,0,
2026-05-02 10:00:00,METAR MYNN 021000Z 19007KT 9999 SCT018 25/22 A2994,0,7,0,10000.0,0,0,0,
2026-05-02 09:00:00,METAR MYNN 020900Z 19006KT 9999 SCT020 25/22 A2993,0,6,0,10000.0,0,0,0,
2026-05-02 08:00:00,METAR MYNN 020800Z 18008KT 9999 SCT020 25/22 A2992,0,8,0,10000.0,0,0,0,
2026-05-02 07:00:00,METAR MYNN 020700Z 17006KT 9999 FEW018 25/22 A2991,0,6,0,10000.0,0,0,0,
2026-05-02 06:00:00,METAR MYNN 020600Z 18005KT 9999 FEW018 25/22 A2994,0,5,0,10000.0,0,0,0,
2026-05-02 05:00:00,METAR MYNN 020500Z 18004KT 9999 FEW035 25/22 A2996,0,4,0,10000.0,0,0,0,
2026-05-02 04:00:00,METAR MYNN 020400Z 18007KT 9999 FEW035 26/22 A2996,0,7,0,10000.0,0,0,0,
2026-05-02 03:00:00,METAR MYNN 020300Z 18007KT 9999 BKN035 26/21 A2997,0,7,0,10000.0,0,0,0,
2026-05-02 02:00:00,METAR MYNN 020200Z 18006KT 9999 BKN035 26/21 A2995,0,6,0,10000.0,0,0,0,
2026-05-02 01:00:00,METAR MYNN 020100Z 17007KT 9999 BKN035 26/21 A2993,0,7,0,10000.0,0,0,0,
2026-05-02 00:00:00,METAR MYNN 020000Z 18006KT 9999 SCT035 26/21 A2992,0,6,0,10000.0,0,0,0,
2026-05-01 23:00:00,METAR MYNN 012300Z 17008KT 9999 BKN035 27/21 A2990,0,8,0,10000.0,0,0,0,
2026-05-01 22:00:00,METAR MYNN 012200Z 18007KT 130V200 9999 FEW028 BKN030 27/20 A2990,0,7,0,10000.0,0,0,0,
2026-05-01 21:00:00,METAR MYNN 012100Z 17007KT 140V220 9999 FEW028 BKN030 28/20 A2990,0,7,0,10000.0,0,0,0,
2026-05-01 20:00:00,METAR MYNN 012000Z 16009KT 9999 FEW030 29/20 A2990,0,9,0,10000.0,0,0,0,
2026-05-01 19:00:00,METAR MYNN 011900Z 17008KT 140V230 9999 FEW030 29/20 A2992,0,8,0,10000.0,0,0,0,
2026-05-01 18:00:00,METAR MYNN 011800Z 18008KT 140V230 9999 FEW030 29/20 A2993,0,8,0,10000.0,0,0,0,
2026-05-01 17:00:00,METAR MYNN 011700Z 20008KT 150V240 9999 SCT025 29/21 A2995,0,8,0,10000.0,0,0,0,
2026-05-01 16:00:00,METAR MYNN 011600Z 23007KT 190V260 9999 BKN020 BKN250 27/21 A2997,0,7,0,10000.0,0,0,0,
2026-05-01 15:00:00,METAR MYNN 011500Z 19006KT 160V240 9999 SCT020 BKN250 28/21 A2997,0,6,0,10000.0,0,0,0,
2026-05-01 14:00:00,METAR MYNN 011400Z 22006KT 180V260 9999 SCT020 BKN220 28/21 A2997,0,6,0,10000.0,0,0,0,
2026-05-01 13:00:00,METAR MYNN 011300Z 24006KT 200V280 9999 FEW018 BKN220 26/21 A2996,0,6,0,10000.0,0,0,0,
2026-05-01 12:00:00,METAR MYNN 011200Z 28003KT 250V320 9999 FEW018 BKN220 25/22 A2997,0,3,0,10000.0,0,0,0,
2026-05-01 11:00:00,METAR MYNN 011100Z 23004KT 190V250 9999 SCT016 BKN220 24/22 A2994,0,4,0,10000.0,0,0,0,
2026-05-01 10:00:00,METAR MYNN 011000Z 22004KT 9999 SCT016 BKN250 24/22 A2992,0,4,0,10000.0,0,0,0,
2026-05-01 09:00:00,METAR MYNN 010900Z 21005KT 9999 BKN018 BKN250 25/22 A2990,0,5,0,10000.0,0,0,0,
2026-05-01 08:00:00,METAR MYNN 010800Z 20006KT 9999 SCT018 SCT250 24/22 A2989,0,6,0,10000.0,0,0,0,
2026-05-01 07:00:00,METAR MYNN 010700Z 20005KT 9999 FEW020 SCT250 24/22 A2990,0,5,0,10000.0,0,0,0,
2026-05-01 06:00:00,METAR MYNN 010600Z 17004KT 9999 FEW020 24/22 A2992,0,4,0,10000.0,0,0,0,
2026-05-01 05:00:00,METAR MYNN 010500Z 19004KT 9999 FEW020 25/22 A2995,0,4,0,10000.0,0,0,0,
2026-05-01 04:00:00,METAR MYNN 010400Z 18004KT 9999 FEW022 SCT030 25/22 A2995,0,4,0,10000.0,0,0,0,
2026-05-01 03:00:00,METAR MYNN 010300Z 17005KT 9999 FEW022 BKN030 26/22 A2994,0,5,0,10000.0,0,0,0,
2026-05-01 02:00:00,METAR MYNN 010200Z VRB02KT 9999 FEW025 BKN045 26/21 A2994,0,2,0,10000.0,0,0,0,
2026-05-01 01:00:00,METAR MYNN 010100Z COR VRB01KT 9999 SCT045 26/21 A2992,0,1,0,10000.0,0,0,0,
2026-05-01 00:00:00,METAR MYNN 010000Z 20002KT 9999 SCT045 26/20 A2990,0,2,0,10000.0,0,0,0,
2026-04-30 23:00:00,METAR MYNN 302300Z 20005KT 9999 FEW025 SCT045 27/21 A2990,0,5,0,10000.0,0,0,0,
2026-04-30 22:00:00,METAR MYNN 302200Z 21007KT 9999 FEW025 SCT045 27/21 A2989,0,7,0,10000.0,0,0,0,
2026-04-30 21:00:00,METAR MYNN 302100Z 19009KT 160V240 9999 FEW030 SCT040 28/21 A2989,0,9,0,10000.0,0,0,0,
