Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:53:00,METAR KPBI 021553Z 22012G21KT 10SM SCT044 SCT250 33/21 A2989 RMK AO2 SLP120 T03280206 $,0,12.0,1,16090,0,0,0,
2026-05-02 14:53:00,METAR KPBI 021453Z 22013KT 10SM SCT036 SCT250 31/21 A2989 RMK AO2 SLP122 T03110211 53001 $,0,13.0,0,16090,0,0,0,
2026-05-02 13:53:00,METAR KPBI 021353Z 18015G18KT 10SM FEW025 BKN250 29/22 A2988 RMK AO2 SLP118 T02940222 $,0,15.0,1,16090,0,0,0,
2026-05-02 12:53:00,METAR KPBI 021253Z 18007KT 10SM FEW075 BKN250 28/23 A2989 RMK AO2 SLP120 T02780228 $,0,7.0,0,16090,0,0,0,
2026-05-02 11:53:00,METAR KPBI 021153Z 17005KT 10SM SCT075 BKN250 25/21 A2989 RMK AO2 SLP120 T02500211 10250 20228 50002 $,0,5.0,0,16090,0,0,0,
2026-05-02 10:53:00,METAR KPBI 021053Z 17003KT 10SM BKN075 OVC250 23/21 A2989 RMK AO2 SLP121 T02330206 $,0,3.0,0,16090,0,0,0,
2026-05-02 09:53:00,METAR KPBI 020953Z 17004KT 10SM FEW250 23/20 A2989 RMK AO2 SLP119 T02330200 $,0,4.0,0,16090,0,0,0,
2026-05-02 08:53:00,METAR KPBI 020853Z 22004KT 10SM CLR 23/19 A2988 RMK AO2 SLP119 T02280194 55006 $,0,4.0,0,16090,0,0,0,
2026-05-02 07:53:00,METAR KPBI 020753Z 26007KT 10SM CLR 23/19 A2988 RMK AO2 SLP118 T02330194 $,0,7.0,0,16090,0,0,0,
2026-05-02 06:53:00,METAR KPBI 020653Z 22005KT 10SM CLR 24/20 A2989 RMK AO2 SLP121 T02390200 $,0,5.0,0,16090,0,0,0,
2026-05-02 05:53:00,METAR KPBI 020553Z 25005KT 10SM CLR 24/20 A2990 RMK AO2 SLP125 T02440200 10278 20244 58001 $,0,5.0,0,16090,0,0,0,
2026-05-02 04:53:00,METAR KPBI 020453Z 21009KT 10SM CLR 26/21 A2990 RMK AO2 SLP125 T02610211 403170217 $,0,9.0,0,16090,0,0,0,
2026-05-02 03:53:00,METAR KPBI 020353Z 18009KT 10SM CLR 27/22 A2991 RMK AO2 SLP126 T02670217 $,0,9.0,0,16090,0,0,0,
