Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:30:00,METAR VDSA 021530Z 23005KT 9999 SCT017 31/24 Q1009,0,5,0,10000,0,0,0,
2026-05-02 15:00:00,METAR VDSA 021500Z 25005KT 9999 SCT017 31/24 Q1008,0,5,0,10000,0,0,0,
2026-05-02 14:30:00,METAR VDSA 021430Z 26004KT 9999 SCT017 31/25 Q1008,0,4,0,10000,0,0,0,
2026-05-02 14:00:00,METAR VDSA 021400Z 24003KT 9999 SCT017 31/25 Q1007,0,3,0,10000,0,0,0,
2026-05-02 13:30:00,METAR VDSA 021330Z 20004KT 9999 SCT017 31/25 Q1007,0,4,0,10000,0,0,0,
2026-05-02 13:00:00,METAR VDSA 021300Z 21004KT 9999 SCT017 31/25 Q1007,0,4,0,10000,0,0,0,
2026-05-02 12:30:00,METAR VDSA 021230Z 21005KT 9999 SCT017 32/25 Q1007,0,5,0,10000,0,0,0,
2026-05-02 12:00:00,METAR VDSA 021200Z 21004KT 9999 SCT017 32/24 Q1006,0,4,0,10000,0,0,0,
2026-05-02 11:30:00,METAR VDSA 021130Z 21004KT 9999 SCT017 33/23 Q1006,0,4,0,10000,0,0,0,
2026-05-02 11:00:00,METAR VDSA 021100Z 20004KT 9999 SCT017 34/23 Q1005,0,4,0,10000,0,0,0,
2026-05-02 10:30:00,METAR VDSA 021030Z 22006KT 9999 SCT017 34/23 Q1005,0,6,0,10000,0,0,0,
2026-05-02 10:00:00,METAR VDSA 021000Z 14004KT 050V200 9999 SCT017 34/23 Q1005,0,4,0,10000,0,0,0,
2026-05-02 09:30:00,METAR VDSA 020930Z 13006KT 100V200 9999 SCT017 34/24 Q1005,0,6,0,10000,0,0,0,
2026-05-02 09:00:00,METAR VDSA 020900Z 20009KT 170V240 9999 SCT017 35/23 Q1005,0,9,0,10000,0,0,0,
2026-05-02 08:30:00,METAR VDSA 020830Z VRB04KT 9999 SCT017 35/23 Q1005,0,4,0,10000,0,0,0,
2026-05-02 08:00:00,METAR VDSA 020800Z VRB03KT 9999 SCT017 36/23 Q1006,0,3,0,10000,0,0,0,
2026-05-02 07:30:00,METAR VDSA 020730Z 08004KT 010V110 9999 SCT017 35/23 Q1006,0,4,0,10000,0,0,0,
2026-05-02 07:00:00,METAR VDSA 020700Z VRB02KT 9999 SCT017 35/23 Q1007,0,2,0,10000,0,0,0,
2026-05-02 06:30:00,METAR VDSA 020630Z VRB02KT 9999 SCT017 34/22 Q1007,0,2,0,10000,0,0,0,
2026-05-02 06:00:00,METAR VDSA 020600Z 06005KT 020V110 9999 SCT017 34/23 Q1008,0,5,0,10000,0,0,0,
2026-05-02 05:30:00,METAR VDSA 020530Z VRB03KT 9999 SCT017 34/23 Q1009,0,3,0,10000,0,0,0,
2026-05-02 05:00:00,METAR VDSA 020500Z VRB03KT 9999 SCT017 33/23 Q1009,0,3,0,10000,0,0,0,
2026-05-02 04:30:00,METAR VDSA 020430Z VRB03KT 9999 SCT040 33/23 Q1010,0,3,0,10000,0,0,0,
2026-05-02 04:00:00,METAR VDSA 020400Z VRB03KT 9999 SCT040 32/23 Q1010,0,3,0,10000,0,0,0,
2026-05-02 03:30:00,METAR VDSA 020330Z 03005KT 290V080 9999 SCT040 32/25 Q1011,0,5,0,10000,0,0,0,
2026-05-02 03:00:00,METAR VDSA 020300Z VRB02KT 9999 SCT015 SCT040 32/24 Q1011,0,2,0,10000,0,0,0,
2026-05-02 02:30:00,METAR VDSA 020230Z VRB03KT 9999 SCT015 SCT040 31/24 Q1011,0,3,0,10000,0,0,0,
2026-05-02 02:00:00,METAR VDSA 020200Z VRB02KT 9999 SCT015 SCT040 30/24 Q1012,0,2,0,10000,0,0,0,
2026-05-02 01:30:00,METAR VDSA 020130Z 20004KT 160V250 9999 SCT015 SCT040 29/25 Q1011,0,4,0,10000,0,0,0,
2026-05-02 01:00:00,METAR VDSA 020100Z 17005KT 9999 SCT015 SCT040 29/24 Q1011,0,5,0,10000,0,0,0,
2026-05-02 00:30:00,METAR VDSA 020030Z 17005KT 9999 SCT015 SCT040 28/24 Q1011,0,5,0,10000,0,0,0,
2026-05-02 00:00:00,METAR VDSA 020000Z 16004KT 9000 SCT015 SCT040 27/24 Q1011,0,4,0,9000,0,0,0,
2026-05-01 23:30:00,METAR VDSA 012330Z 14003KT 9000 SCT015 SCT040 26/23 Q1010,0,3,0,9000,0,0,0,
2026-05-01 23:00:00,METAR VDSA 012300Z 12003KT 9000 FEW017 25/23 Q1010,0,3,0,9000,0,0,0,
2026-05-01 22:30:00,METAR VDSA 012230Z 25002KT 9000 FEW017 27/21 Q1009,0,2,0,9000,0,0,0,
2026-05-01 22:00:00,METAR VDSA 012200Z 25002KT 9000 FEW017 27/21 Q1009,0,2,0,9000,0,0,0,
2026-05-01 21:30:00,METAR VDSA 012130Z 30002KT 9000 FEW017 27/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 21:00:00,METAR VDSA 012100Z 30002KT 9000 FEW017 27/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 20:30:00,METAR VDSA 012030Z 30002KT 9000 FEW017 27/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 19:30:00,METAR VDSA 011930Z 30002KT 9000 FEW017 28/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 19:00:00,METAR VDSA 011900Z 30002KT 9000 FEW017 28/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 18:30:00,METAR VDSA 011830Z 30002KT 9000 FEW017 28/21 Q1008,0,2,0,9000,0,0,0,
2026-05-01 18:00:00,METAR VDSA 011800Z 36002KT 9000 FEW017 27/22 Q1009,0,2,0,9000,0,0,0,
2026-05-01 17:30:00,METAR VDSA 011730Z 36002KT 9000 FEW017 27/22 Q1009,0,2,0,9000,0,0,0,
2026-05-01 17:00:00,METAR VDSA 011700Z 33003KT 9000 FEW017 28/21 Q1009,0,3,0,9000,0,0,0,
2026-05-01 16:30:00,METAR VDSA 011630Z 33003KT 9000 FEW017 28/21 Q1009,0,3,0,9000,0,0,0,
2026-05-01 16:00:00,METAR VDSA 011600Z 00000KT 9000 FEW017 28/21 Q1010,0,0,0,9000,0,0,0,
2026-05-01 15:30:00,METAR VDSA 011530Z 31004KT 9000 FEW017 29/21 Q1010,0,4,0,9000,0,0,0,
2026-05-01 15:00:00,METAR VDSA 011500Z 31004KT 9000 FEW017 29/21 Q1010,0,4,0,9000,0,0,0,
2026-05-01 14:30:00,METAR VDSA 011430Z 33007KT 9000 FEW017 29/22 Q1010,0,7,0,9000,0,0,0,
2026-05-01 14:00:00,METAR VDSA 011400Z 30007KT 9000 FEW017 28/22 Q1010,0,7,0,9000,0,0,0,
2026-05-01 13:30:00,METAR VDSA 011330Z 30007KT 9000 FEW017 28/22 Q1009,0,7,0,9000,0,0,0,
2026-05-01 13:00:00,METAR VDSA 011300Z 30007KT 9000 FEW017 28/22 Q1009,0,7,0,9000,0,0,0,
2026-05-01 12:30:00,METAR VDSA 011230Z 28004KT 9000 FEW017 29/22 Q1008,0,4,0,9000,0,0,0,
2026-05-01 12:00:00,METAR VDSA 011200Z 23006KT 9000 FEW017 29/22 Q1008,0,6,0,9000,0,0,0,
2026-05-01 11:30:00,METAR VDSA 011130Z 21004KT 9000 FEW017 30/21 Q1008,0,4,0,9000,0,0,0,
2026-05-01 11:00:00,METAR VDSA 011100Z 21005KT 9999 SCT015 30/21 Q1007,0,5,0,10000,0,0,0,
2026-05-01 10:30:00,METAR VDSA 011030Z 23010KT 9999 SCT015 30/22 Q1008,0,10,0,10000,0,0,0,
2026-05-01 10:00:00,METAR VDSA 011000Z 23011KT 9999 SCT015 31/22 Q1007,0,11,0,10000,0,0,0,
2026-05-01 09:30:00,METAR VDSA 010930Z 23009KT 9999 SCT015 31/22 Q1007,0,9,0,10000,0,0,0,
2026-05-01 09:00:00,METAR VDSA 010900Z 21007KT 9999 SCT015 32/21 Q1007,0,7,0,10000,0,0,0,
2026-05-01 08:30:00,METAR VDSA 010830Z 21009KT 9999 SCT015 32/21 Q1007,0,9,0,10000,0,0,0,
2026-05-01 08:00:00,METAR VDSA 010800Z 19008KT 9999 SCT015 32/21 Q1008,0,8,0,10000,0,0,0,
2026-05-01 07:30:00,METAR VDSA 010730Z 16007KT 9999 SCT015 SCT040 32/21 Q1008,0,7,0,10000,0,0,0,
2026-05-01 07:00:00,METAR VDSA 010700Z 17008KT 9999 SCT015 SCT040 32/22 Q1008,0,8,0,10000,0,0,0,
2026-05-01 06:30:00,METAR VDSA 010630Z 16006KT 9999 SCT015 SCT040 32/21 Q1008,0,6,0,10000,0,0,0,
2026-05-01 06:00:00,METAR VDSA 010600Z 14007KT 9999 SCT015 SCT040 31/22 Q1009,0,7,0,10000,0,0,0,
2026-05-01 05:30:00,METAR VDSA 010530Z 14008KT 9999 SCT015 SCT040 31/22 Q1010,0,8,0,10000,0,0,0,
2026-05-01 05:00:00,METAR VDSA 010500Z 14007KT 9999 SCT015 SCT040 30/23 Q1010,0,7,0,10000,0,0,0,
2026-05-01 04:30:00,METAR VDSA 010430Z 16007KT 9999 SCT015 BKN040 30/23 Q1011,0,7,0,10000,0,0,0,
2026-05-01 04:00:00,METAR VDSA 010400Z 15007KT 9999 SCT015 SCT040 29/23 Q1011,0,7,0,10000,0,0,0,
2026-05-01 03:30:00,METAR VDSA 010330Z 15005KT 9999 SCT015 SCT040 29/23 Q1012,0,5,0,10000,0,0,0,
2026-05-01 03:00:00,METAR VDSA 010300Z 15005KT 9999 SCT015 SCT040 28/23 Q1012,0,5,0,10000,0,0,0,
2026-05-01 02:30:00,METAR VDSA 010230Z 15005KT 9999 SCT015 SCT040 28/23 Q1012,0,5,0,10000,0,0,0,
2026-05-01 02:00:00,METAR VDSA 010200Z 15005KT 9999 SCT015 SCT040 27/23 Q1012,0,5,0,10000,0,0,0,
2026-05-01 01:30:00,METAR VDSA 010130Z 16005KT 9999 SCT015 SCT040 27/23 Q1012,0,5,0,10000,0,0,0,
2026-05-01 01:00:00,METAR VDSA 010100Z 19005KT 9000 FEW017 SCT040 27/24 Q1012,0,5,0,9000,0,0,0,
2026-05-01 00:30:00,METAR VDSA 010030Z 14006KT 8000 FEW017 26/24 Q1011,0,6,0,8000,0,0,0,
2026-05-01 00:00:00,METAR VDSA 010000Z 14008KT 8000 FEW017 26/24 Q1011,0,8,0,8000,0,0,0,
2026-04-30 23:30:00,METAR VDSA 302330Z 12007KT 8000 FEW017 27/24 Q1011,0,7,0,8000,0,0,0,
2026-04-30 22:30:00,METAR VDSA 302230Z 18008KT 9999 FEW017 27/24 Q1010,0,8,0,10000,0,0,0,
2026-04-30 22:00:00,METAR VDSA 302200Z 15008KT 9999 FEW017 27/24 Q1010,0,8,0,10000,0,0,0,
2026-04-30 21:30:00,METAR VDSA 302130Z 13006KT 9999 FEW017 28/24 Q1009,0,6,0,10000,0,0,0,
2026-04-30 21:00:00,METAR VDSA 302100Z 08004KT 9999 FEW017 28/24 Q1008,0,4,0,10000,0,0,0,
2026-04-30 20:30:00,METAR VDSA 302030Z 07004KT 9999 FEW017 28/24 Q1009,0,4,0,10000,0,0,0,
2026-04-30 20:00:00,METAR VDSA 302000Z VRB02KT 9999 FEW017 29/24 Q1008,0,2,0,10000,0,0,0,
2026-04-30 19:30:00,METAR VDSA 301930Z 01004KT 9999 FEW017 29/26 Q1009,0,4,0,10000,0,0,0,
2026-04-30 19:00:00,METAR VDSA 301900Z 01004KT 9999 FEW017 29/24 Q1009,0,4,0,10000,0,0,0,
2026-04-30 18:30:00,METAR VDSA 301830Z 32006KT 290V320 9999 FEW017 29/25 Q1009,0,6,0,10000,0,0,0,
2026-04-30 18:00:00,METAR VDSA 301800Z 30007KT 290V320 9999 FEW017 29/25 Q1009,0,7,0,10000,0,0,0,
2026-04-30 17:30:00,METAR VDSA 301730Z 30007KT 290V320 9999 FEW017 29/25 Q1008,0,7,0,10000,0,0,0,
