Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:50:00,METAR EGHI 021550Z VRB02KT 9999 FEW045 13/12 Q1013,0,2,0,10000,0,0,0,
2026-05-02 15:20:00,METAR EGHI 021520Z 06003KT 020V110 9999 FEW042 12/11 Q1013,0,3,0,10000,0,0,0,
2026-05-02 14:50:00,METAR EGHI 021450Z 08005KT 060V130 5000 -RA FEW053CB 12/10 Q1013 RERA,0,5,0,5000,0,0,0,"-RA,RA"
2026-05-02 14:20:00,METAR EGHI 021420Z 17004KT 140V200 7000 -RA FEW030 BKN070CB 16/11 Q1014,0,4,0,7000,0,0,0,-RA
2026-05-02 13:50:00,METAR EGHI 021350Z 13004KT 100V160 9999 -RA FEW035 SCT060TCU 17/09 Q1014,0,4,0,10000,0,0,0,-RA
2026-05-02 13:20:00,METAR EGHI 021320Z AUTO 13005KT 100V160 9999 NCD 18/07 Q1014,0,5,0,10000,0,0,0,
2026-05-02 12:50:00,METAR EGHI 021250Z AUTO 15006KT 120V200 9999 NCD 19/10 Q1015,0,6,0,10000,0,0,0,
2026-05-02 12:20:00,METAR EGHI 021220Z AUTO 14005KT 080V220 9999 NCD 20/09 Q1015,0,5,0,10000,0,0,0,
2026-05-02 11:50:00,METAR EGHI 021150Z AUTO 15004KT 040V210 9999 NCD 19/10 Q1015,0,4,0,10000,0,0,0,
2026-05-02 11:20:00,METAR EGHI 021120Z AUTO VRB04KT 9999 NCD 18/11 Q1016,0,4,0,10000,0,0,0,
2026-05-02 10:50:00,METAR EGHI 021050Z AUTO VRB02KT 9999 NCD 18/11 Q1016,0,2,0,10000,0,0,0,
2026-05-02 10:20:00,METAR EGHI 021020Z AUTO VRB02KT 9999 FEW016 16/11 Q1017,0,2,0,10000,0,0,0,
2026-05-02 09:50:00,METAR EGHI 020950Z AUTO 12003KT 060V210 9000 SCT013 15/11 Q1017,0,3,0,9000,0,0,0,
2026-05-02 09:20:00,METAR EGHI 020920Z AUTO 11003KT 050V210 8000 OVC010 13/11 Q1017,0,3,0,8000,0,0,0,
2026-05-02 08:50:00,METAR EGHI 020850Z AUTO VRB02KT 6000 OVC008 12/11 Q1018,0,2,0,6000,0,0,0,
2026-05-02 08:20:00,METAR EGHI 020820Z AUTO 19003KT 100V240 5000 HZ OVC006 12/11 Q1018,0,3,0,5000,0,0,0,
2026-05-02 07:50:00,METAR EGHI 020750Z AUTO VRB01KT 5000 BR OVC006 11/10 Q1018,0,1,0,5000,0,0,1,BR
2026-05-02 07:20:00,METAR EGHI 020720Z AUTO VRB02KT 4400 BR OVC004 11/10 Q1018,0,2,0,4400,0,0,1,BR
2026-05-02 06:50:00,METAR EGHI 020650Z AUTO VRB02KT 3000 BR OVC003 10/10 Q1018,0,2,0,3000,0,0,1,BR
2026-05-02 06:20:00,METAR EGHI 020620Z AUTO VRB01KT 3300 BR OVC003 10/10 Q1018,0,1,0,3300,0,0,1,BR
2026-05-02 05:50:00,METAR EGHI 020550Z AUTO VRB02KT 3200 BR OVC003 10/10 Q1018,0,2,0,3200,0,0,1,BR
2026-05-02 05:20:00,METAR EGHI 020520Z AUTO VRB02KT 2900 BR OVC004 10/10 Q1018,0,2,0,2900,0,0,1,BR
