Time_recorded,METAR,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,other_phenomenon
2026-05-02 15:00:00,METAR CYSJ 021500Z VRB07KT 15SM FEW170 12/M03 A2993 RMK AC1 AC TR SLP139,0,7,0,24135,0,0,0,
2026-05-02 14:00:00,METAR CYSJ 021400Z 32004KT 260V010 15SM FEW200 10/M00 A2993 RMK CI1 CI TR SLP140,0,4,0,24135,0,0,0,
2026-05-02 13:00:00,METAR CYSJ 021300Z 34006KT 300V040 15SM SKC 09/01 A2992 RMK SLP137,0,6,0,24135,0,0,0,
2026-05-02 12:00:00,METAR CYSJ 021200Z 34009KT 15SM SKC 07/01 A2992 RMK SLP135,0,9,0,24135,0,0,0,
2026-05-02 11:00:00,METAR CYSJ 021100Z 30007KT 15SM SKC 05/00 A2991 RMK SLP132,0,7,0,24135,0,0,0,
2026-05-02 10:00:00,METAR CYSJ 021000Z 29007KT 15SM SKC 03/M00 A2988 RMK SLP123,0,7,0,24135,0,0,0,
2026-05-02 09:00:00,METAR CYSJ 020900Z 28006KT 15SM SKC 03/00 A2987 RMK SLP120,0,6,0,24135,0,0,0,
2026-05-02 08:00:00,METAR CYSJ 020800Z 26003KT 230V290 15SM SKC 03/02 A2985 RMK SLP112,0,3,0,24135,0,0,0,
2026-05-02 07:00:00,METAR CYSJ 020700Z 29005KT 15SM SKC 04/02 A2983 RMK SLP106,0,5,0,24135,0,0,0,
2026-05-02 06:00:00,METAR CYSJ 020600Z 29007KT 15SM FEW036 05/02 A2981 RMK SC2 SLP099,0,7,0,24135,0,0,0,
2026-05-02 05:00:00,METAR CYSJ 020500Z 30007KT 15SM SCT036 06/04 A2980 RMK SC3 SLP097,0,7,0,24135,0,0,0,
2026-05-02 04:00:00,METAR CYSJ 020400Z 30010G15KT 15SM BKN034 07/04 A2980 RMK SC6 SLP095,0,10,1,24135,0,0,0,
2026-05-02 03:00:00,METAR CYSJ 020300Z 30009KT 15SM FEW011 BKN035 08/06 A2979 RMK SF1SC5 SLP092,0,9,0,24135,0,0,0,
2026-05-02 02:00:00,METAR CYSJ 020200Z 30006KT 15SM FEW011 OVC050 09/07 A2977 RMK SF2SC6 SLP084,0,6,0,24135,0,0,0,
